TAZ,university,gradeschool,highschool
1,0,0,0
2,0,1,0
3,0,4,0
4,0,0,0
5,4,4,0
6,0,8,0
7,0,18,0
8,0,57,0
9,190,69,1
10,45,38,0
11,0,27,0
12,186,2,0
13,170,0,28
14,33,0,0
15,0,0,0
16,0,15,0
17,0,11,0
18,0,4,0
19,0,2,0
20,0,14,0
21,0,7,0
22,0,1,0
23,0,0,0
24,0,2,0
25,0,24,0
26,0,14,0
27,0,17,0
28,0,9,0
29,0,9,0
30,0,28,0
31,0,9,0
32,0,24,0
33,0,21,0
34,0,9,0
35,0,17,0
36,0,30,0
37,14,12,0
38,0,12,0
39,25,11,0
40,0,7,61
41,0,14,0
42,0,22,0
43,0,4,0
44,0,3,0
45,0,2,0
46,0,15,0
47,0,1,20
48,0,10,23
49,0,10,7
50,0,11,0
51,0,5,0
52,0,6,0
53,0,0,0
54,0,19,0
55,0,18,0
56,0,0,0
57,0,12,0
58,0,27,0
59,0,30,72
60,0,17,0
61,0,17,0
62,0,38,0
63,0,24,0
64,0,28,0
65,0,25,0
66,0,12,0
67,0,15,0
68,0,8,0
69,251,71,48
70,0,25,0
71,0,14,0
72,0,4,16
73,0,6,0
74,0,9,0
75,0,4,0
76,0,3,81
77,0,18,0
78,0,25,0
79,0,20,34
80,0,22,0
81,0,30,0
82,0,6,0
83,0,3,0
84,0,9,0
85,0,6,0
86,0,45,0
87,0,17,0
88,0,8,7
89,0,20,6
90,0,19,0
91,155,22,0
92,0,4,0
93,0,7,0
94,0,2,0
95,0,11,0
96,0,10,0
97,0,17,0
98,0,15,0
99,0,14,20
100,0,37,0
101,88,57,0
102,0,14,0
103,0,6,47
104,0,9,0
105,0,37,0
106,0,57,0
107,14,16,0
108,43,6,0
109,0,16,0
110,0,15,0
111,0,1,0
112,16,4,0
113,0,40,0
114,0,5,0
115,0,11,0
116,0,38,0
117,0,39,0
118,0,44,0
119,0,23,0
120,0,33,0
121,0,17,0
122,0,25,0
123,0,30,0
124,0,27,0
125,0,17,0
126,0,26,0
127,0,14,0
128,0,21,0
