TAZ,work_low,work_med,work_high,work_veryhigh
1,5474.25,5513.654,5698.823,6971.763
2,8679.22,8646.389,8863.028,10753.66
3,630.1020000000001,584.2819999999999,560.085,589.207
4,4711.569,4683.451,4770.855999999999,5592.653
5,3811.166,3543.8450000000003,3393.201,3514.9960000000005
6,1050.5279999999998,951.8290000000001,889.0359999999998,853.74
7,2975.4519999999998,2749.629,2629.608999999999,2770.977
8,1053.5009999999997,973.509,926.616,932.4020000000002
9,6906.904999999999,6646.138000000001,6542.0830000000005,6586.321
10,2374.1259999999997,2310.1249999999995,2293.41,2325.331
11,2237.5299999999997,2126.6720000000005,2064.1629999999996,2078.1150000000002
12,3508.3889999999997,3338.669,3264.0249999999996,3398.915
13,4206.726,4158.761,4234.226999999999,5078.230000000002
14,5612.293000000001,5705.914999999999,5908.297,6975.98
15,3305.352,3297.7239999999997,3374.111,3980.6440000000007
16,4926.266999999999,4769.605000000001,4738.76,5223.097
17,1740.4409999999998,1745.217,1776.742,1892.227
18,1328.051,1329.33,1347.508,1415.186
19,1786.423,1849.2759999999998,1914.7569999999998,2003.829
20,800.6469999999999,776.682,765.919,774.488
21,1566.587,1514.969,1499.541,1576.1609999999998
22,4462.149,4326.228999999999,4329.655,5026.077000000001
23,2328.959,2347.587,2400.637,2690.379
24,3353.93,3355.9129999999996,3436.922,4010.7180000000003
25,392.1329999999999,362.53299999999996,343.19599999999997,333.06800000000004
26,843.06,818.8259999999998,819.766,946.6770000000001
27,421.27599999999995,382.70200000000006,357.561,339.04100000000005
28,126.822,121.256,119.01,125.52100000000002
29,1051.763,919.126,829.3859999999999,758.5860000000001
30,523.197,492.541,474.549,457.533
31,629.521,576.4390000000001,545.706,558.3969999999999
32,870.1739999999999,785.73,730.8729999999999,698.8910000000001
33,500.92799999999994,478.413,465.561,452.838
34,163.50799999999998,149.897,140.481,133.67100000000002
35,84.37499999999999,80.0,77.47299999999998,79.59800000000001
36,614.0989999999999,579.5310000000002,558.692,539.046
37,726.009,692.0219999999999,677.7259999999999,725.9710000000001
38,467.00499999999994,463.323,467.856,508.26700000000005
39,76.09399999999998,72.365,70.20499999999998,70.76200000000001
40,1302.8319999999999,1257.444,1223.984,1177.3700000000001
41,3526.781,3278.4979999999996,3128.0919999999996,3104.54
42,127.33699999999999,130.244,133.458,131.02100000000002
43,578.3839999999999,540.715,516.6899999999999,488.87700000000007
44,425.18,384.45099999999996,358.65500000000003,351.96500000000003
45,730.299,703.5129999999999,689.757,679.2360000000001
46,382.9649999999999,352.534,333.658,325.663
47,1500.2609999999997,1335.123,1223.1539999999998,1113.722
48,250.05399999999997,225.42499999999998,208.99099999999999,197.10900000000004
49,197.128,180.621,170.53999999999996,170.22699999999998
50,667.5569999999999,616.1660000000002,582.573,546.192
51,96.106,91.262,88.772,91.601
52,437.3379999999999,446.623,458.443,477.086
53,811.7109999999999,775.5970000000002,754.4409999999999,688.268
54,250.86,226.179,208.59199999999996,194.26700000000002
55,121.366,125.607,129.386,124.829
56,132.85,124.99499999999999,120.095,109.74400000000001
57,93.61800000000001,86.282,81.67000000000002,81.113
58,206.482,185.547,170.486,154.46699999999998
59,274.368,248.20000000000002,230.12199999999996,211.56500000000003
60,50.211,46.50900000000001,43.854000000000006,41.511
61,192.72099999999998,186.211,182.44899999999998,168.974
62,303.96,282.24699999999996,267.965,256.168
63,204.814,187.34,175.631,167.517
64,247.89,246.24900000000002,246.694,240.585
65,332.142,309.894,295.62,288.139
66,356.74199999999996,324.758,302.168,280.235
67,71.278,67.93199999999999,65.91499999999999,66.92500000000001
68,152.46899999999997,137.75,127.637,117.76700000000001
69,1701.939,1483.682,1331.7340000000002,1185.237
70,1067.063,999.814,958.1739999999999,921.7910000000002
71,734.3509999999999,659.1009999999999,608.6569999999999,568.248
72,421.166,375.065,344.15199999999993,319.24100000000004
73,594.463,578.3249999999999,566.446,544.475
74,1238.7499999999998,1089.5700000000002,988.305,907.6920000000001
75,617.027,593.6920000000001,583.6179999999999,596.648
76,897.0429999999999,910.7139999999999,930.3929999999999,917.991
77,384.9749999999999,349.80699999999996,326.63699999999994,307.124
78,366.393,374.64,385.045,381.56
79,1250.165,1123.0330000000001,1039.172,966.7070000000001
80,91.893,84.73400000000001,80.199,78.34000000000002
81,485.19599999999997,454.583,435.83,415.25600000000003
82,539.174,498.096,470.92299999999994,440.95400000000006
83,79.04399999999998,73.949,70.895,72.373
84,238.45299999999995,243.29100000000003,248.702,241.712
85,346.00499999999994,333.714,326.751,315.33000000000004
86,338.81199999999995,304.60600000000005,282.44,271.021
87,943.3649999999999,817.5300000000001,730.0969999999999,645.5240000000001
88,343.1309999999999,308.30499999999995,283.37799999999993,261.459
89,294.02799999999996,273.417,259.581,248.29500000000002
90,1051.0249999999999,937.645,862.8939999999998,811.0210000000001
91,2633.3629999999994,2341.3929999999996,2150.268,2033.378
92,4171.208,3751.6949999999997,3487.379,3388.6530000000002
93,133.237,125.08399999999999,120.00399999999999,120.51100000000001
94,337.24,308.89,290.792,283.13
95,374.0539999999999,360.51399999999995,354.278,348.39300000000003
96,74.47499999999998,70.223,67.699,68.014
97,266.905,257.092,251.43899999999996,237.922
98,239.205,222.721,212.78199999999998,214.53400000000002
99,287.896,260.695,242.195,225.47200000000004
100,652.0869999999999,598.172,562.8829999999999,530.948
101,600.9159999999999,557.027,528.978,510.9510000000001
102,230.087,221.259,216.428,211.79399999999998
103,247.79499999999996,225.519,210.66499999999996,200.9
104,433.637,393.55800000000005,366.611,340.03599999999994
105,311.92600000000004,287.95000000000005,272.702,263.781
106,1696.2309999999998,1686.774,1698.281,1706.394
107,2810.333,2741.056,2718.0119999999997,2806.3210000000004
108,1114.261,1121.296,1137.668,1196.3060000000003
109,1179.174,1112.959,1080.3279999999997,1131.688
110,1973.636,1915.721,1908.4299999999998,2112.601
111,1149.818,1137.5910000000001,1139.172,1168.757
112,396.35900000000004,381.889,376.426,397.25000000000006
113,524.656,486.52699999999993,461.99199999999996,442.5210000000001
114,465.5249999999999,459.555,458.075,463.569
115,7434.047999999999,6603.924,6056.221,5690.546
116,1007.796,1016.328,1031.339,1041.1190000000001
117,177.188,162.639,153.157,146.079
118,102.748,104.30099999999999,106.839,112.73400000000001
119,131.75499999999997,120.105,112.184,105.92300000000002
120,119.457,113.576,110.122,109.03399999999999
121,120.29199999999999,116.838,114.584,112.85100000000001
122,195.647,179.74099999999999,169.25900000000001,161.32300000000004
123,629.2599999999999,592.159,569.169,543.0640000000001
124,137.072,143.369,148.907,143.131
125,68.50099999999999,64.215,61.369,59.78000000000001
126,53.542,51.87799999999999,50.958999999999996,52.451
127,135.117,127.345,122.39399999999999,120.04100000000001
128,134.79899999999998,125.74499999999999,119.791,116.14600000000002
129,94.69299999999998,89.20899999999999,85.95199999999998,85.78600000000002
130,275.03799999999995,269.52,267.138,259.14700000000005
131,181.65800000000002,173.017,167.92799999999997,168.547
132,414.23699999999997,393.17300000000006,381.165,373.61600000000004
133,2234.5639999999994,1979.808,1811.2019999999998,1701.786
134,223.52799999999996,214.047,208.03199999999998,200.87800000000004
135,191.623,172.91899999999998,159.81099999999998,147.263
136,526.983,479.149,447.55199999999996,423.29300000000006
137,156.18399999999997,143.941,135.49599999999998,128.03300000000002
138,336.62800000000004,315.165,300.8,284.5830000000001
139,202.91599999999997,205.024,207.379,210.42000000000002
140,60.403999999999996,55.351,51.834,49.167
141,39.271,38.632,38.279999999999994,38.129
142,3450.2809999999995,3594.933,3721.937,3895.09
143,336.89599999999996,330.208,329.084,336.061
144,1469.3339999999998,1447.5330000000001,1467.1319999999998,1721.319
145,1485.647,1472.106,1497.463,1747.5770000000005
146,58.56499999999999,58.480000000000004,58.813,56.731
147,490.662,512.037,529.5799999999999,527.983
148,479.763,492.94,505.18,508.451
149,282.34799999999996,271.95599999999996,267.608,275.45700000000005
150,338.58299999999997,347.075,355.206,353.58000000000004
151,17.525,17.157999999999998,16.901999999999997,17.337000000000003
152,175.41,158.506,146.91699999999997,136.218
153,341.188,354.095,364.90999999999997,367.032
154,194.60699999999997,199.8,205.10299999999998,202.229
155,57.07000000000001,53.347,50.793,49.72000000000001
156,9.739999999999998,9.5,9.203999999999999,8.549
157,13.526,12.868,12.396,11.8
158,120.23199999999999,106.42500000000001,96.985,87.093
159,54.922000000000004,50.63,47.565,44.721
160,56.61,52.355000000000004,49.273999999999994,46.781000000000006
161,241.78599999999997,239.422,239.56199999999998,232.47
162,126.84299999999999,123.56800000000001,120.769,115.644
163,82.53599999999999,76.84400000000001,72.90899999999999,68.49900000000001
164,168.86199999999997,157.95700000000002,150.201,141.21699999999998
165,579.5349999999999,535.322,505.51,469.63300000000004
166,229.89599999999996,211.7,199.76099999999997,191.10100000000003
167,166.27999999999997,169.736,173.16,166.246
168,143.494,137.817,133.952,129.75900000000001
169,563.13,514.0780000000001,481.4769999999999,456.22900000000004
170,530.1829999999999,485.7939999999999,456.6859999999999,440.035
171,271.71,261.634,256.074,247.65800000000002
172,293.947,285.84,281.407,272.23499999999996
173,68.466,70.828,72.41,74.316
174,233.19199999999998,207.63500000000002,190.07599999999996,175.13600000000002
175,335.06199999999995,305.53400000000005,285.59999999999997,268.064
176,279.45199999999994,269.26599999999996,262.69,248.14000000000001
177,397.641,372.28200000000004,355.16999999999996,345.112
178,119.26299999999999,110.28200000000001,104.01999999999998,99.766
179,138.21399999999997,128.012,120.451,112.86999999999999
180,157.242,158.09000000000003,159.379,149.984
181,73.85100000000001,70.30199999999999,68.077,69.49400000000001
182,75.218,72.08999999999999,69.602,66.927
183,304.465,269.98799999999994,245.36599999999999,220.72899999999998
184,325.76499999999993,315.83799999999997,309.41799999999995,294.09200000000004
185,467.813,426.3960000000001,399.6689999999999,388.59000000000003
186,410.027,382.373,365.556,365.318
187,157.66199999999998,148.94899999999998,142.504,137.612
188,1089.9609999999998,982.491,904.5679999999998,808.127
189,50.86299999999999,48.279,47.117,50.413
190,316.24999999999994,278.622,252.569,222.18000000000004
191,158.76500000000001,153.198,149.523,145.417
192,224.902,206.145,193.26199999999997,188.488
193,443.2259999999999,422.986,412.06399999999996,414.57300000000004
194,969.0399999999998,861.883,788.108,718.498
195,83.56599999999999,76.879,72.383,70.155
196,81.963,77.08700000000002,74.20899999999999,74.831
197,132.62699999999998,129.28900000000002,127.23599999999999,121.542
198,362.606,330.247,309.594,301.98400000000004
199,723.1139999999999,657.415,609.8949999999999,565.7330000000001
200,824.426,753.2829999999999,696.251,615.2670000000002
201,273.053,264.052,258.67699999999996,255.80500000000004
202,171.447,151.784,138.261,125.57300000000001
203,345.34799999999996,327.46799999999996,317.722,323.5660000000001
204,299.56199999999995,284.468,275.233,270.728
205,70.113,64.025,60.003,58.082
