TAZ,work_low,work_med,work_high,work_veryhigh
1,139,160,257,418
2,269,281,343,657
3,18,23,25,44
4,151,159,205,342
5,116,151,162,212
6,31,38,40,49
7,84,110,127,184
8,32,41,47,73
9,226,258,316,442
10,72,90,95,133
11,59,93,101,111
12,89,93,161,223
13,126,145,197,256
14,175,183,271,419
15,87,101,136,215
16,136,163,193,317
17,48,62,71,111
18,29,41,48,69
19,41,61,87,109
20,20,34,34,56
21,44,58,73,83
22,122,149,199,299
23,49,69,93,134
24,86,120,139,242
25,5,10,16,19
26,11,27,29,68
27,12,11,11,18
28,2,3,5,4
29,27,41,39,44
30,13,17,22,27
31,21,19,17,31
32,28,31,41,40
33,10,22,18,27
34,4,6,5,10
35,1,5,5,3
36,9,23,17,38
37,17,25,25,52
38,13,8,17,22
39,0,1,1,1
40,19,31,39,40
41,67,74,88,165
42,2,5,5,7
43,15,12,20,23
44,12,13,7,22
45,19,23,32,40
46,8,10,17,18
47,28,36,40,59
48,3,5,4,9
49,3,7,3,11
50,12,17,24,33
51,4,2,3,7
52,9,15,16,23
53,15,25,37,30
54,2,8,5,5
55,4,4,6,11
56,3,1,5,5
57,7,4,8,7
58,5,13,3,14
59,3,10,8,13
60,2,3,0,1
61,1,6,6,7
62,4,7,4,17
63,5,5,5,7
64,9,13,14,20
65,5,13,8,15
66,11,9,11,17
67,0,0,3,5
68,4,4,9,12
69,39,62,52,78
70,35,39,34,51
71,19,29,27,35
72,8,12,18,24
73,15,21,19,37
74,32,36,49,67
75,25,24,32,39
76,25,43,45,65
77,9,10,20,8
78,9,8,10,15
79,39,39,58,64
80,0,4,4,7
81,10,13,23,28
82,15,24,19,29
83,2,4,2,5
84,5,7,12,17
85,7,14,14,19
86,11,16,20,24
87,21,39,32,41
88,8,11,7,15
89,7,7,18,23
90,22,35,37,47
91,61,105,110,158
92,101,123,146,192
93,4,4,11,9
94,9,15,9,10
95,5,17,13,32
96,0,4,6,6
97,6,7,10,14
98,12,11,13,26
99,9,8,11,13
100,17,26,28,31
101,13,28,16,28
102,6,6,9,13
103,10,10,17,13
104,17,21,14,17
105,14,14,12,16
106,53,66,84,122
107,67,109,135,220
108,40,42,42,77
109,24,37,33,67
110,49,58,93,123
111,15,31,41,54
