expression,household
household_id,866761.0
HHHH,0.004303177334622584
HHHM,0.0320090025801932
HHHN,0.005061370012416419
HHMH,0.010199970762501759
HHMM,0.013820436228622878
HHMN,0.0012040229270362719
HHNH,0.0037148752001059217
HHNM,0.0027732186498550535
HHNN,0.0008138563679685361
HMHH,0.01714296353782612
HMHM,0.017788484844023768
HMHN,0.0021638116846356393
HMMH,0.004369370677801321
HMMM,0.03452495921858681
HMMN,0.0023138262148026862
HMNH,0.0009538767767679608
HMNM,0.004152633653705653
HMNN,0.0009375011959482349
HNHH,0.0019379215947497878
HNHM,0.001546941235650696
HNHN,0.00044606062357294834
HNMH,0.0002960719573237103
HNMM,0.0017996834239749435
HNMN,0.0002859125683682384
HNNH,0.00022850606532557526
HNNM,0.0007652681406582422
HNNN,0.0004095447960222269
MHHH,0.023964841051923376
MHHM,0.024867241355378534
MHHN,0.0030248797399684206
MHMH,0.0061081197285053354
MHMM,0.04826383478982124
MHMN,0.0032345911100591126
MHNH,0.001333462868769767
MHNM,0.005805134289549057
MHNN,0.001310570783010399
MMHH,0.013367440480748683
MMHM,0.08088961636121672
MMHN,0.007569336920333548
MMMH,0.015315312184323552
MMMM,0.38329949439317323
MMMN,0.036384274407635225
MMNH,0.0020041366199489864
MMNM,0.0508803543547026
MMNN,0.008836553188007567
MNHH,0.0013123903787991794
MNHM,0.006109309284586142
MNHN,0.001355179240384893
MNMH,0.0009012986421929671
MNMM,0.03194912867969621
MNMN,0.003904637367371175
MNNH,0.00041696275000864584
MNNM,0.008143378469582598
MNNN,0.0033525630589926825
NHHH,0.0019379215947497878
NHHM,0.001546941235650696
NHHN,0.00044606062357294834
NHMH,0.0002960719573237103
NHMM,0.0017996834239749435
NHMN,0.0002859125683682384
NHNH,0.00022850606532557526
NHNM,0.0007652681406582422
NHNN,0.0004095447960222269
NMHH,0.0009388028221177162
NMHM,0.0043702216125717785
NMHN,0.0009694113244816442
NMMH,0.0006447332459384772
NMMM,0.022854428570365598
NMMN,0.002793135822275994
NMNH,0.0002982693356714858
NMNM,0.005825268770875854
NMNN,0.00239821604299611
NNHH,0.00032624013670134636
NNHM,0.001168290975061942
NNHN,0.0006143207961924737
NNMH,0.0001342984973683689
NNMM,0.003662233344992749
NNMN,0.001060980171646899
NNNH,0.00021964775401436677
NNNM,0.003300036058049006
NNNN,0.0008382435412747571
