expression,household
household_id,866761.0
HHHH,7.4741
HHHM,9.480763529
HHHN,7.636383535229534
HHMH,8.337131188999999
HHMM,8.640894718
HHMN,6.2004147242295335
HHNH,7.327091419229534
HHNM,7.0347549482295335
HHNN,5.808774954459068
HMHH,8.856334135215942
HMHM,8.893297664215943
HMHN,6.786617670445477
HMMH,7.489365324215942
HMMM,9.556428853215941
HMMN,6.853648859445476
HMNH,5.967525554445476
HMNM,7.438489083445477
HMNN,5.950209089675011
HNHH,6.676362391
HNHM,6.451025919999999
HNHN,5.207445926229534
HNMH,4.79759358
HNMM,6.602357109
HNMN,4.7626771152295335
HNNH,4.5385538102295335
HNNM,5.747217339229533
HNNN,5.122037345459067
MHHH,9.191334135215943
MHHM,9.22829766421594
MHHN,7.1216176704454766
MHMH,7.824365324215943
MHMM,9.891428853215942
MHMN,7.188648859445477
MHNH,6.3025255544454755
MHNM,7.773489083445476
MHNN,6.285209089675011
MMHH,8.607568270431885
MMHM,10.407831799431884
MMHN,8.03885180566142
MMMH,8.743599459431886
MMMM,11.963562988431883
MMMN,9.60888299466142
MMNH,6.709959689661419
MMNM,9.944223218661419
MMNN,8.193643224890954
MNHH,6.286596526215943
MNHM,7.824560055215942
MNHN,6.318680061445477
MNMH,5.910827715215943
MNMM,9.47889124421594
MNMN,7.376911250445477
MNNH,5.139987945445476
MNNM,8.111951474445476
MNNN,7.22447148067501
NHHH,6.676362391
NHHM,6.451025919999999
NHHN,5.207445926229534
NHMH,4.79759358
NHMM,6.602357109
NHMN,4.7626771152295335
NHNH,4.5385538102295335
NHNM,5.747217339229533
NHNN,5.122037345459067
NMHH,5.951596526215943
NMHM,7.489560055215942
NMHN,5.983680061445476
NMMH,5.575827715215942
NMMM,9.143891244215942
NMMN,7.041911250445477
NMNH,4.804987945445477
NMNM,7.776951474445476
NMNN,6.88947148067501
NNHH,4.894624782
NNHM,6.170288310999999
NNHN,5.527508317229534
NNMH,4.007055971
NNMM,7.3128195
NNMN,6.073939506229534
NNNH,4.499016201229534
NNNM,7.208679730229534
NNNN,5.838299736459067
