tour_id,tdd,start,end,duration,out_period,in_period,mode_choice_logsum
93102790,0,5,5,0,EA,EA,18.95799515270087
93102790,1,5,6,1,EA,EA,18.957995152593938
93102790,2,5,7,2,EA,AM,18.957995152473714
93102790,3,5,8,3,EA,AM,18.95799515237085
93102790,4,5,9,4,EA,AM,18.95799515226983
93102790,5,5,10,5,EA,AM,18.95799515217062
93102790,6,5,11,6,EA,AM,18.95799515207319
93102790,7,5,12,7,EA,MD,18.9579951519914
93102790,8,5,13,8,EA,MD,18.957995151897187
93102790,9,5,14,9,EA,MD,18.957995151804656
93102790,10,5,15,10,EA,MD,18.95799515171379
93102790,11,5,16,11,EA,MD,18.957995151624548
93102790,12,5,17,12,EA,PM,18.95799515152086
93102790,13,5,18,13,EA,PM,18.957995151435078
93102790,14,5,19,14,EA,PM,18.957995151350833
93102790,15,5,20,15,EA,PM,18.957995151268097
93102790,16,5,21,16,EA,EV,18.957995151201775
93102790,17,5,22,17,EA,EV,18.95799515112171
93102790,18,5,23,18,EA,EV,18.957995151043082
93102790,19,6,6,0,EA,EA,18.95799515270087
93102790,20,6,7,1,EA,AM,18.95799515257845
93102790,21,6,8,2,EA,AM,18.957995152473714
93102790,22,6,9,3,EA,AM,18.95799515237085
93102790,23,6,10,4,EA,AM,18.95799515226983
93102790,24,6,11,5,EA,AM,18.95799515217062
93102790,25,6,12,6,EA,MD,18.95799515208734
93102790,26,6,13,7,EA,MD,18.9579951519914
93102790,27,6,14,8,EA,MD,18.957995151897187
93102790,28,6,15,9,EA,MD,18.957995151804656
93102790,29,6,16,10,EA,MD,18.95799515171379
93102790,30,6,17,11,EA,PM,18.95799515160821
93102790,31,6,18,12,EA,PM,18.95799515152086
93102790,32,6,19,13,EA,PM,18.957995151435078
93102790,33,6,20,14,EA,PM,18.957995151350833
93102790,34,6,21,15,EA,EV,18.957995151283296
93102790,35,6,22,16,EA,EV,18.957995151201775
93102790,36,6,23,17,EA,EV,18.95799515112171
93102790,37,7,7,0,AM,AM,18.957995152655567
93102790,38,7,8,1,AM,AM,18.957995152549444
93102790,39,7,9,2,AM,AM,18.957995152445225
93102790,40,7,10,3,AM,AM,18.95799515234287
93102790,41,7,11,4,AM,AM,18.957995152242354
93102790,42,7,12,5,AM,MD,18.95799515215797
93102790,43,7,13,6,AM,MD,18.957995152060768
93102790,44,7,14,7,AM,MD,18.957995151965306
93102790,45,7,15,8,AM,MD,18.957995151871557
93102790,46,7,16,9,AM,MD,18.95799515177949
93102790,47,7,17,10,AM,PM,18.957995151672517
93102790,48,7,18,11,AM,PM,18.957995151584015
93102790,49,7,19,12,AM,PM,18.9579951514971
93102790,50,7,20,13,AM,PM,18.957995151411744
