tour_id,tdd,start,end,duration,out_period,in_period,mode_choice_logsum
93102716,0,5,5,0,EA,EA,4.523692146883978
93102716,1,5,6,1,EA,EA,4.52367627639724
93102716,2,5,7,2,EA,AM,4.517928475540382
93102716,3,5,8,3,EA,AM,4.517912607311409
93102716,4,5,9,4,EA,AM,4.517896757828357
93102716,5,5,10,5,EA,AM,4.5178809270688305
93102716,6,5,11,6,EA,AM,4.517865115010461
93102716,7,5,12,7,EA,MD,4.524382520474703
93102716,8,5,13,8,EA,MD,4.524366790544634
93102716,9,5,14,9,EA,MD,4.524351079196578
93102716,10,5,15,10,EA,MD,4.5243353864083335
93102716,11,5,16,11,EA,MD,4.524319712157724
93102716,12,5,17,12,EA,PM,4.517608286772052
93102716,13,5,18,13,EA,PM,4.517592599622801
93102716,14,5,19,14,EA,PM,4.517576931002974
93102716,15,5,20,15,EA,PM,4.517561280890434
93102716,16,5,21,16,EA,EV,4.523882917169162
93102716,17,5,22,17,EA,EV,4.523867349248941
93102716,18,5,23,18,EA,EV,4.523851799717023
93102716,19,6,6,0,EA,EA,4.523692146883978
93102716,20,6,7,1,EA,AM,4.517944362537697
93102716,21,6,8,2,EA,AM,4.517928475540382
93102716,22,6,9,3,EA,AM,4.517912607311409
93102716,23,6,10,4,EA,AM,4.517896757828357
93102716,24,6,11,5,EA,AM,4.5178809270688305
93102716,25,6,12,6,EA,MD,4.524398269009012
93102716,26,6,13,7,EA,MD,4.524382520474703
93102716,27,6,14,8,EA,MD,4.524366790544634
93102716,28,6,15,9,EA,MD,4.524351079196578
93102716,29,6,16,10,EA,MD,4.5243353864083335
93102716,30,6,17,11,EA,PM,4.517623992472894
93102716,31,6,18,12,EA,PM,4.517608286772052
93102716,32,6,19,13,EA,PM,4.517592599622801
93102716,33,6,20,14,EA,PM,4.517576931002974
93102716,34,6,21,15,EA,EV,4.523898503499685
93102716,35,6,22,16,EA,EV,4.523882917169162
93102716,36,6,23,17,EA,EV,4.523867349248941
93102716,37,7,7,0,AM,AM,4.5176019621263
93102716,38,7,8,1,AM,AM,4.517586055902869
93102716,39,7,9,2,AM,AM,4.517570168470734
93102716,40,7,10,3,AM,AM,4.517554299807448
93102716,41,7,11,4,AM,AM,4.517538449890587
93102716,42,7,12,5,AM,MD,4.524054532222056
93102716,43,7,13,6,AM,MD,4.5240387646108315
93102716,44,7,14,7,AM,MD,4.524023015626627
93102716,45,7,15,8,AM,MD,4.524007285247187
93102716,46,7,16,9,AM,MD,4.5239915734502825
93102716,47,7,17,10,AM,PM,4.517281431607863
93102716,48,7,18,11,AM,PM,4.5172657069031015
93102716,49,7,19,12,AM,PM,4.517250000772621
93102716,50,7,20,13,AM,PM,4.517234313194229
93102716,51,7,21,14,AM,EV,4.523554658376802
93102716,52,7,22,15,AM,EV,4.523539053169006
93102716,53,7,23,16,AM,EV,4.523523466394052
93102716,54,8,8,0,AM,AM,4.5176019621263
93102716,55,8,9,1,AM,AM,4.517586055902869
93102716,56,8,10,2,AM,AM,4.517570168470734
93102716,57,8,11,3,AM,AM,4.517554299807448
93102716,58,8,12,4,AM,MD,4.524070318482582
93102716,59,8,13,5,AM,MD,4.524054532222056
93102716,60,8,14,6,AM,MD,4.5240387646108315
93102716,61,8,15,7,AM,MD,4.524023015626627
93102716,62,8,16,8,AM,MD,4.524007285247187
93102716,63,8,17,9,AM,PM,4.517297174909123
93102716,64,8,18,10,AM,PM,4.517281431607863
93102716,65,8,19,11,AM,PM,4.5172657069031015
93102716,66,8,20,12,AM,PM,4.517250000772621
93102716,67,8,21,13,AM,EV,4.523570282039494
93102716,68,8,22,14,AM,EV,4.523554658376802
93102716,69,8,23,15,AM,EV,4.523539053169006
93102716,70,9,9,0,AM,AM,4.5176019621263
93102716,71,9,10,1,AM,AM,4.517586055902869
93102716,72,9,11,2,AM,AM,4.517570168470734
93102716,73,9,12,3,AM,MD,4.524086123414717
93102716,74,9,13,4,AM,MD,4.524070318482582
93102716,75,9,14,5,AM,MD,4.524054532222056
93102716,76,9,15,6,AM,MD,4.5240387646108315
93102716,77,9,16,7,AM,MD,4.524023015626627
93102716,78,9,17,8,AM,PM,4.517312936829127
