label,value_1,value_2
tour_id,93102716,93102839
person_id,2270797,2270800
tour_type,work,work
tour_type_count,1,1
tour_type_num,1,1
tour_num,1,1
tour_count,1,1
tour_category,mandatory,mandatory
number_of_participants,1,1
destination,913,940
origin,974,974
household_id,866761,866761
mandatory_tour_seg,work,work
hhsize,4,4
density_index,0.7773036051631254,0.7773036051631254
age,43,38
age_16_p,True,True
age_16_to_19,False,False
auto_ownership,0,0
num_workers,2,2
value_of_time,8.658925286889026,8.658925286889026
free_parking_at_work,False,False
ptype,1,1
roundtrip_auto_time_to_work,6.833333492279053,1.7933332920074463
income_in_thousands,13.7,13.7
work_and_school_and_worker,False,False
work_and_school_and_student,False,False
workplace_in_cbd,False,False
home_is_rural,False,False
mandatory_tour_frequency,work1,work1
is_worker,True,True
is_student,False,False
is_university,False,False
workplace_taz,913,940
school_taz,-1,-1
TAZ,974,974
start_previous,5,5
end_previous,5,5
