TAZ,size_term
0,47.552
1,69.59599999999999
2,2.322
3,12.288
4,42.706
5,132.826
6,198.516
7,129.52
8,1514.518
9,102.02000000000001
10,0.0
11,156.154
12,171.42000000000002
13,447.16400000000004
14,161.11
15,36.056000000000004
16,24.478
17,213.392
18,79.024
19,201.356
20,193.868
21,19.126
22,535.36
23,614.75
24,200.62800000000001
25,47.58
26,158.356
27,71.66
28,93.782
29,86.736
30,155.252
31,737.1260000000001
32,157.352
33,57.994
34,248.93400000000003
35,782.4639999999999
36,374.946
37,37.546
38,420.958
39,10.836
40,67.694
41,945.9659999999999
42,259.58799999999997
43,30.702
44,114.088
45,838.8720000000001
46,30.318
47,111.468
48,51.309999999999995
49,512.1
50,105.206
51,455.49199999999996
52,41.732000000000006
53,646.3100000000001
54,123.52000000000001
55,61.922000000000004
56,516.606
57,143.776
58,115.772
59,233.41199999999998
60,329.94
61,152.9
62,694.3820000000001
63,169.894
64,4.548
65,275.502
66,373.404
67,324.108
68,142.748
69,359.092
70,86.742
71,367.568
72,1.548
73,137.418
74,36.572
75,113.292
76,110.02199999999999
77,198.984
78,689.76
79,30.97
80,54.158
81,143.35
82,726.816
83,72.538
84,74.09
85,170.826
86,58.57
87,131.69
88,207.31799999999998
89,634.104
90,11.094000000000001
91,34.71
92,560.22
93,823.446
94,201.114
95,587.03
96,178.23000000000002
97,712.43
98,50.834
99,468.75600000000003
100,130.88
101,61.120000000000005
102,230.642
103,142.4
104,59.31
105,155.686
106,68.866
107,104.122
108,125.928
109,146.844
110,444.566
111,58.132
112,1145.134
113,278.156
114,301.702
115,996.066
116,439.42
117,361.096
118,98.56
119,415.01
120,160.812
121,188.94400000000002
122,440.446
123,142.674
124,58.248000000000005
125,86.08
126,54.956
127,53.89
128,4631.772
129,140.772
130,18.060000000000002
131,202.196
132,32.217999999999996
133,220.506
134,104.408
135,25.126
136,93.916
137,45.217999999999996
138,178.322
139,104.56
140,302.21599999999995
141,49.903999999999996
142,112.038
143,19.902
144,62.84
145,60.67
146,36.548
147,84.084
148,203.684
149,20.028
150,71.628
151,244.1
152,181.71800000000002
153,173.344
154,1375.1080000000002
155,70.908
156,42.57
157,179.546
158,46.698
159,65.28999999999999
160,529.164
161,229.118
162,108.22
163,79.72200000000001
164,112.06
165,74.21600000000001
166,192.936
167,123.056
168,586.756
169,126.06200000000001
170,158.082
171,405.25
172,426.408
173,538.8
174,97.38799999999999
175,155.88400000000001
176,117.588
177,87.90400000000001
178,110.542
179,232.72199999999998
180,1414.352
181,3.032
182,10.612
183,31.48
184,544.722
185,121.686
186,172.406
187,26.932000000000002
188,277.092
189,92.2
190,4.386
191,83.732
192,86.408
193,152.06799999999998
194,20.898
195,398.806
196,99.612
197,84.304
198,408.106
199,226.084
200,130.042
201,52.796
202,33.544
203,604.194
204,334.344
205,58.55
206,29.864000000000004
207,519.246
208,282.272
209,590.542
210,1906.47
211,1155.836
212,92.316
213,47.518
214,42.284000000000006
215,35.67
216,27.704
217,225.718
218,256.968
219,105.354
220,1685.046
221,215.246
222,37.578
223,259.24800000000005
224,144.482
225,111.844
226,85.64
227,137.858
228,22.446
229,54.644000000000005
230,85.568
231,123.542
232,67.902
233,54.31400000000001
234,34.672
235,14.448
236,1.548
237,143.524
238,14.096
239,20.805999999999997
240,63.086
241,94.828
242,363.28200000000004
243,130.80200000000002
244,177.968
245,1565.224
246,232.338
247,593.0
248,21.126
249,175.262
250,137.75199999999998
251,14.190000000000001
252,188.42000000000002
253,35.638000000000005
254,1368.2340000000002
255,25.026
256,58.858000000000004
257,26.286
258,35.088
259,540.646
260,671.21
261,186.528
262,70.74600000000001
263,103.658
264,70.584
265,477.884
266,26.804000000000002
267,114.34200000000001
268,44.188
269,1061.358
270,631.928
271,86.656
272,177.19
273,51.376000000000005
274,132.876
275,161.78199999999998
276,324.26599999999996
277,183.332
278,598.402
279,47.25
280,90.3
281,1.548
282,4.354
283,4322.6
284,18.286
285,463.36400000000003
286,126.358
287,137.096
288,582.964
289,23.64
290,358.08200000000005
291,553.45
292,433.868
293,242.332
294,190.43
295,182.31
296,12.936
297,109.02799999999999
298,97.322
299,111.062
300,567.67
301,344.1
302,36.962
303,386.342
304,419.396
305,687.21
306,47.352000000000004
307,100.614
308,73.02600000000001
309,905.716
310,181.394
311,124.812
312,179.79399999999998
313,99.318
314,1214.5159999999998
315,34.739999999999995
316,37.416
317,614.21
318,1009.744
319,216.696
320,17.226
321,184.152
322,541.354
323,96.12200000000001
324,19.608
325,17.258000000000003
326,169.622
327,136.574
328,601.904
329,155.738
330,85.44200000000001
331,438.004
332,64.214
333,16.58
334,240.05
335,264.664
336,41.256
337,75.50999999999999
338,240.384
339,93.02799999999999
340,4463.068
341,1911.808
342,1041.416
343,121.12
344,449.08
345,473.834
346,145.492
347,91.64999999999999
348,431.796
349,380.098
350,313.576
351,24.933999999999997
352,29.156
353,46.216
354,139.43
355,576.57
356,98.02799999999999
357,466.12
358,313.44599999999997
359,59.769999999999996
360,792.4639999999999
361,221.302
362,547.298
363,1775.576
364,510.876
365,1119.76
366,195.176
367,320.942
368,363.974
369,530.136
370,46.218
371,298.47400000000005
372,342.502
373,203.35600000000002
374,89.97200000000001
375,51.775999999999996
376,1525.85
377,30.678
378,791.6
379,136.998
380,1654.046
381,3694.732
382,226.836
383,234.854
384,1104.368
385,104.762
386,199.12599999999998
387,249.644
388,28.576
389,35.638000000000005
390,54.06
391,5.548
392,37.706
393,2237.528
394,378.664
395,146.272
396,828.122
397,256.332
398,21.288
399,278.85200000000003
400,96.01
401,238.08200000000002
402,15.932
403,521.9359999999999
404,29.576
405,30.253999999999998
406,459.462
407,311.792
408,85.65800000000002
409,130.11
410,1407.356
411,226.822
412,666.546
413,178.174
414,663.98
415,337.848
416,448.42
417,571.976
418,2286.794
419,135.348
420,262.424
421,392.53799999999995
422,1104.4720000000002
423,78.096
424,629.33
425,308.904
426,40.454
427,453.978
428,12.514
429,1129.962
430,1647.5900000000001
431,140.176
432,194.09
433,207.61200000000002
434,653.31
435,437.676
436,329.318
437,443.722
438,73.164
439,1057.066
440,39.186
441,311.79799999999994
442,100.606
443,230.25799999999998
444,494.098
445,3.71
446,22.158
447,62.937999999999995
448,592.24
449,113.458
450,865.798
451,343.86400000000003
452,104.51400000000001
453,41.256
454,141.45
455,353.608
456,15.062000000000001
457,60.372
458,50.252
459,8.934000000000001
460,125.226
461,7.226
462,9.934000000000001
463,27.418
464,62.61
465,216.954
466,172.056
467,144.48000000000002
468,53.482
469,33.324
470,247.924
471,20.964
472,260.6
473,2.064
474,16.706000000000003
475,71.352
476,18.836
477,1.484
478,59.1
479,20.646
480,57.342
481,3393.1220000000003
482,264.164
483,33.702
484,100.808
485,4.064
486,860.566
487,73.28200000000001
488,24.9
489,9.0
490,506.118
491,1.484
492,16.512
493,5.16
494,87.544
495,2.58
496,854.786
497,346.234
498,458.166
499,225.074
500,68.628
501,173.64600000000002
502,73.416
503,2175.382
504,497.804
505,51.568
506,1.484
507,341.98
508,6.644
509,46.32
510,133.742
511,323.192
512,111.512
513,0.0
514,78.088
515,239.43
516,1684.964
517,40.382000000000005
518,13.74
519,65.088
520,35.582
521,16.516
522,32.384
523,216.19400000000002
524,531.076
525,961.21
526,625.808
527,25.61
528,18.448
529,35.870000000000005
530,229.714
531,154.454
532,62.42
533,156.39000000000001
534,58.894
535,354.14
536,36.832
537,27.676
538,12.936
539,32.123999999999995
540,53.182
541,34.80200000000001
542,386.856
543,121.58000000000001
544,747.356
545,76.372
546,348.526
547,213.22
548,310.45799999999997
549,77.776
550,51.568
551,275.286
552,6.096
553,49.84
554,84.982
555,178.252
556,59.900000000000006
557,25.188
558,18.996
559,30.772
560,21.028000000000002
561,7.064
562,1848.0480000000002
563,209.468
564,154.054
565,19.292
566,342.01
567,116.202
568,162.022
569,50.31
570,192.714
571,104.968
572,65.152
573,31.832
574,1751.4279999999999
575,140.038
576,135.86
577,165.166
578,112.65200000000002
579,64.348
580,112.47
581,360.88
582,126.99199999999999
583,280.914
584,160.442
585,147.94400000000002
586,186.022
587,6.386
588,840.5060000000001
589,50.344
590,25.028
591,77.438
592,183.554
593,135.188
594,195.578
595,313.552
596,127.738
597,102.152
598,77.768
599,57.734
600,62.502
601,31.992
602,905.6999999999999
603,145.214
604,82.062
605,471.782
606,168.51600000000002
607,65.288
608,959.8340000000001
609,29.348
610,145.98000000000002
611,90.06
612,64.50800000000001
613,66.064
614,147.528
615,117.10400000000001
616,658.044
617,206.4
618,12.482
619,5.386
620,59.608000000000004
621,23.543999999999997
622,201.734
623,4.258
624,1.484
625,1595.172
626,508.286
627,45.248000000000005
628,164.178
629,168.45999999999998
630,26.29
631,201.82600000000002
632,182.252
633,221.89
634,34.444
635,999.412
636,3.612
637,279.65999999999997
638,65.178
639,30.898000000000003
640,202.322
641,37.378
642,13.158000000000001
643,78.798
644,29.834
645,331.88800000000003
646,1276.5320000000002
647,381.31600000000003
648,32.058
649,67.22
650,160.106
651,68.08200000000001
652,2.838
653,63.572
654,256.774
655,65.84
656,1.258
657,1128.288
658,457.18
659,255.42000000000002
660,1.29
661,182.05200000000002
662,492.28
663,264.914
664,116.26400000000001
665,136.154
666,42.032
667,88.58
668,382.13599999999997
669,95.37
670,39.64
671,73.0
672,69.402
673,48.83
674,413.964
675,2466.156
676,49.902
677,102.64
678,194.656
679,106.126
680,71.13
681,630.966
682,105.12
683,119.488
684,98.95
685,134.906
686,1212.088
687,148.42000000000002
688,50.67
689,133.702
690,1216.878
