TAZ,size_term,TAZ,tour_type,TAZ_chooser,person_id
0,47.552,0,eatout,974,2270799
1,69.59599999999999,1,eatout,974,2270799
2,2.322,2,eatout,974,2270799
3,12.288,3,eatout,974,2270799
4,42.706,4,eatout,974,2270799
5,132.826,5,eatout,974,2270799
6,198.516,6,eatout,974,2270799
7,129.52,7,eatout,974,2270799
8,1514.518,8,eatout,974,2270799
9,102.02000000000001,9,eatout,974,2270799
10,0.0,10,eatout,974,2270799
11,156.154,11,eatout,974,2270799
12,171.42000000000002,12,eatout,974,2270799
13,447.16400000000004,13,eatout,974,2270799
14,161.11,14,eatout,974,2270799
15,36.056000000000004,15,eatout,974,2270799
16,24.478,16,eatout,974,2270799
17,213.392,17,eatout,974,2270799
18,79.024,18,eatout,974,2270799
19,201.356,19,eatout,974,2270799
20,193.868,20,eatout,974,2270799
21,19.126,21,eatout,974,2270799
22,535.36,22,eatout,974,2270799
23,614.75,23,eatout,974,2270799
24,200.62800000000001,24,eatout,974,2270799
25,47.58,25,eatout,974,2270799
26,158.356,26,eatout,974,2270799
27,71.66,27,eatout,974,2270799
28,93.782,28,eatout,974,2270799
29,86.736,29,eatout,974,2270799
30,155.252,30,eatout,974,2270799
31,737.1260000000001,31,eatout,974,2270799
32,157.352,32,eatout,974,2270799
33,57.994,33,eatout,974,2270799
34,248.93400000000003,34,eatout,974,2270799
35,782.4639999999999,35,eatout,974,2270799
36,374.946,36,eatout,974,2270799
37,37.546,37,eatout,974,2270799
38,420.958,38,eatout,974,2270799
39,10.836,39,eatout,974,2270799
40,67.694,40,eatout,974,2270799
41,945.9659999999999,41,eatout,974,2270799
42,259.58799999999997,42,eatout,974,2270799
43,30.702,43,eatout,974,2270799
44,114.088,44,eatout,974,2270799
45,838.8720000000001,45,eatout,974,2270799
46,30.318,46,eatout,974,2270799
47,111.468,47,eatout,974,2270799
48,51.309999999999995,48,eatout,974,2270799
49,512.1,49,eatout,974,2270799
50,105.206,50,eatout,974,2270799
51,455.49199999999996,51,eatout,974,2270799
52,41.732000000000006,52,eatout,974,2270799
53,646.3100000000001,53,eatout,974,2270799
54,123.52000000000001,54,eatout,974,2270799
55,61.922000000000004,55,eatout,974,2270799
56,516.606,56,eatout,974,2270799
57,143.776,57,eatout,974,2270799
58,115.772,58,eatout,974,2270799
59,233.41199999999998,59,eatout,974,2270799
60,329.94,60,eatout,974,2270799
61,152.9,61,eatout,974,2270799
62,694.3820000000001,62,eatout,974,2270799
63,169.894,63,eatout,974,2270799
64,4.548,64,eatout,974,2270799
65,275.502,65,eatout,974,2270799
66,373.404,66,eatout,974,2270799
67,324.108,67,eatout,974,2270799
68,142.748,68,eatout,974,2270799
69,359.092,69,eatout,974,2270799
70,86.742,70,eatout,974,2270799
71,367.568,71,eatout,974,2270799
72,1.548,72,eatout,974,2270799
73,137.418,73,eatout,974,2270799
74,36.572,74,eatout,974,2270799
75,113.292,75,eatout,974,2270799
76,110.02199999999999,76,eatout,974,2270799
77,198.984,77,eatout,974,2270799
78,689.76,78,eatout,974,2270799
79,30.97,79,eatout,974,2270799
80,54.158,80,eatout,974,2270799
81,143.35,81,eatout,974,2270799
82,726.816,82,eatout,974,2270799
83,72.538,83,eatout,974,2270799
84,74.09,84,eatout,974,2270799
85,170.826,85,eatout,974,2270799
86,58.57,86,eatout,974,2270799
87,131.69,87,eatout,974,2270799
88,207.31799999999998,88,eatout,974,2270799
89,634.104,89,eatout,974,2270799
90,11.094000000000001,90,eatout,974,2270799
91,34.71,91,eatout,974,2270799
92,560.22,92,eatout,974,2270799
93,823.446,93,eatout,974,2270799
94,201.114,94,eatout,974,2270799
95,587.03,95,eatout,974,2270799
96,178.23000000000002,96,eatout,974,2270799
97,712.43,97,eatout,974,2270799
98,50.834,98,eatout,974,2270799
99,468.75600000000003,99,eatout,974,2270799
100,130.88,100,eatout,974,2270799
101,61.120000000000005,101,eatout,974,2270799
102,230.642,102,eatout,974,2270799
103,142.4,103,eatout,974,2270799
104,59.31,104,eatout,974,2270799
105,155.686,105,eatout,974,2270799
106,68.866,106,eatout,974,2270799
107,104.122,107,eatout,974,2270799
108,125.928,108,eatout,974,2270799
109,146.844,109,eatout,974,2270799
110,444.566,110,eatout,974,2270799
111,58.132,111,eatout,974,2270799
112,1145.134,112,eatout,974,2270799
113,278.156,113,eatout,974,2270799
114,301.702,114,eatout,974,2270799
115,996.066,115,eatout,974,2270799
116,439.42,116,eatout,974,2270799
117,361.096,117,eatout,974,2270799
118,98.56,118,eatout,974,2270799
119,415.01,119,eatout,974,2270799
120,160.812,120,eatout,974,2270799
121,188.94400000000002,121,eatout,974,2270799
122,440.446,122,eatout,974,2270799
123,142.674,123,eatout,974,2270799
124,58.248000000000005,124,eatout,974,2270799
125,86.08,125,eatout,974,2270799
126,54.956,126,eatout,974,2270799
127,53.89,127,eatout,974,2270799
128,4631.772,128,eatout,974,2270799
129,140.772,129,eatout,974,2270799
130,18.060000000000002,130,eatout,974,2270799
131,202.196,131,eatout,974,2270799
132,32.217999999999996,132,eatout,974,2270799
133,220.506,133,eatout,974,2270799
134,104.408,134,eatout,974,2270799
135,25.126,135,eatout,974,2270799
136,93.916,136,eatout,974,2270799
137,45.217999999999996,137,eatout,974,2270799
138,178.322,138,eatout,974,2270799
139,104.56,139,eatout,974,2270799
140,302.21599999999995,140,eatout,974,2270799
141,49.903999999999996,141,eatout,974,2270799
142,112.038,142,eatout,974,2270799
143,19.902,143,eatout,974,2270799
144,62.84,144,eatout,974,2270799
145,60.67,145,eatout,974,2270799
146,36.548,146,eatout,974,2270799
147,84.084,147,eatout,974,2270799
148,203.684,148,eatout,974,2270799
149,20.028,149,eatout,974,2270799
150,71.628,150,eatout,974,2270799
151,244.1,151,eatout,974,2270799
152,181.71800000000002,152,eatout,974,2270799
153,173.344,153,eatout,974,2270799
154,1375.1080000000002,154,eatout,974,2270799
155,70.908,155,eatout,974,2270799
156,42.57,156,eatout,974,2270799
157,179.546,157,eatout,974,2270799
158,46.698,158,eatout,974,2270799
159,65.28999999999999,159,eatout,974,2270799
160,529.164,160,eatout,974,2270799
161,229.118,161,eatout,974,2270799
162,108.22,162,eatout,974,2270799
163,79.72200000000001,163,eatout,974,2270799
164,112.06,164,eatout,974,2270799
165,74.21600000000001,165,eatout,974,2270799
166,192.936,166,eatout,974,2270799
167,123.056,167,eatout,974,2270799
168,586.756,168,eatout,974,2270799
169,126.06200000000001,169,eatout,974,2270799
170,158.082,170,eatout,974,2270799
171,405.25,171,eatout,974,2270799
172,426.408,172,eatout,974,2270799
173,538.8,173,eatout,974,2270799
174,97.38799999999999,174,eatout,974,2270799
175,155.88400000000001,175,eatout,974,2270799
176,117.588,176,eatout,974,2270799
177,87.90400000000001,177,eatout,974,2270799
178,110.542,178,eatout,974,2270799
179,232.72199999999998,179,eatout,974,2270799
180,1414.352,180,eatout,974,2270799
181,3.032,181,eatout,974,2270799
182,10.612,182,eatout,974,2270799
183,31.48,183,eatout,974,2270799
184,544.722,184,eatout,974,2270799
185,121.686,185,eatout,974,2270799
186,172.406,186,eatout,974,2270799
187,26.932000000000002,187,eatout,974,2270799
188,277.092,188,eatout,974,2270799
189,92.2,189,eatout,974,2270799
190,4.386,190,eatout,974,2270799
191,83.732,191,eatout,974,2270799
192,86.408,192,eatout,974,2270799
193,152.06799999999998,193,eatout,974,2270799
194,20.898,194,eatout,974,2270799
195,398.806,195,eatout,974,2270799
196,99.612,196,eatout,974,2270799
197,84.304,197,eatout,974,2270799
198,408.106,198,eatout,974,2270799
199,226.084,199,eatout,974,2270799
200,130.042,200,eatout,974,2270799
201,52.796,201,eatout,974,2270799
202,33.544,202,eatout,974,2270799
203,604.194,203,eatout,974,2270799
204,334.344,204,eatout,974,2270799
205,58.55,205,eatout,974,2270799
206,29.864000000000004,206,eatout,974,2270799
207,519.246,207,eatout,974,2270799
208,282.272,208,eatout,974,2270799
209,590.542,209,eatout,974,2270799
