TAZ,size_term,TAZ,tour_type,TAZ_chooser,person_id
0,32.992000000000004,0,othmaint,974,2270798
1,137.716,1,othmaint,974,2270798
2,4.662,2,othmaint,974,2270798
3,21.648000000000003,3,othmaint,974,2270798
4,57.526,4,othmaint,974,2270798
5,184.046,5,othmaint,974,2270798
6,199.036,6,othmaint,974,2270798
7,113.92,7,othmaint,974,2270798
8,1116.978,8,othmaint,974,2270798
9,151.42000000000002,9,othmaint,974,2270798
10,0.0,10,othmaint,974,2270798
11,185.53400000000002,11,othmaint,974,2270798
12,298.82,12,othmaint,974,2270798
13,826.244,13,othmaint,974,2270798
14,107.81000000000002,14,othmaint,974,2270798
15,70.376,15,othmaint,974,2270798
16,48.138,16,othmaint,974,2270798
17,193.632,17,othmaint,974,2270798
18,112.304,18,othmaint,974,2270798
19,196.676,19,othmaint,974,2270798
20,335.828,20,othmaint,974,2270798
21,31.346,21,othmaint,974,2270798
22,644.5600000000001,22,othmaint,974,2270798
23,972.2500000000001,23,othmaint,974,2270798
24,399.788,24,othmaint,974,2270798
25,50.18000000000001,25,othmaint,974,2270798
26,153.676,26,othmaint,974,2270798
27,141.86,27,othmaint,974,2270798
28,62.32200000000001,28,othmaint,974,2270798
29,110.656,29,othmaint,974,2270798
30,179.692,30,othmaint,974,2270798
31,749.346,31,othmaint,974,2270798
32,168.792,32,othmaint,974,2270798
33,82.174,33,othmaint,974,2270798
34,254.91400000000002,34,othmaint,974,2270798
35,992.544,35,othmaint,974,2270798
36,462.56600000000003,36,othmaint,974,2270798
37,47.166000000000004,37,othmaint,974,2270798
38,460.218,38,othmaint,974,2270798
39,21.756,39,othmaint,974,2270798
40,130.874,40,othmaint,974,2270798
41,952.9860000000001,41,othmaint,974,2270798
42,359.94800000000004,42,othmaint,974,2270798
43,61.642,43,othmaint,974,2270798
44,149.448,44,othmaint,974,2270798
45,1094.712,45,othmaint,974,2270798
46,48.778,46,othmaint,974,2270798
47,175.428,47,othmaint,974,2270798
48,102.01,48,othmaint,974,2270798
49,1019.1,49,othmaint,974,2270798
50,185.026,50,othmaint,974,2270798
51,682.7320000000001,51,othmaint,974,2270798
52,81.772,52,othmaint,974,2270798
53,1087.01,53,othmaint,974,2270798
54,237.92,54,othmaint,974,2270798
55,116.262,55,othmaint,974,2270798
56,414.42600000000004,56,othmaint,974,2270798
57,136.496,57,othmaint,974,2270798
58,124.612,58,othmaint,974,2270798
59,263.052,59,othmaint,974,2270798
60,441.74,60,othmaint,974,2270798
61,295.90000000000003,61,othmaint,974,2270798
62,844.922,62,othmaint,974,2270798
63,207.074,63,othmaint,974,2270798
64,6.1080000000000005,64,othmaint,974,2270798
65,332.442,65,othmaint,974,2270798
66,305.284,66,othmaint,974,2270798
67,278.868,67,othmaint,974,2270798
68,248.30800000000002,68,othmaint,974,2270798
69,378.332,69,othmaint,974,2270798
70,86.482,70,othmaint,974,2270798
71,548.528,71,othmaint,974,2270798
72,3.108,72,othmaint,974,2270798
73,142.87800000000001,73,othmaint,974,2270798
74,71.412,74,othmaint,974,2270798
75,106.53200000000001,75,othmaint,974,2270798
76,151.362,76,othmaint,974,2270798
77,263.464,77,othmaint,974,2270798
78,746.96,78,othmaint,974,2270798
79,21.87,79,othmaint,974,2270798
80,67.418,80,othmaint,974,2270798
81,162.85000000000002,81,othmaint,974,2270798
82,1338.336,82,othmaint,974,2270798
83,114.39800000000001,83,othmaint,974,2270798
84,101.39000000000001,84,othmaint,974,2270798
85,222.04600000000002,85,othmaint,974,2270798
86,101.47000000000001,86,othmaint,974,2270798
87,210.99,87,othmaint,974,2270798
88,225.77800000000002,88,othmaint,974,2270798
89,604.984,89,othmaint,974,2270798
90,22.274,90,othmaint,974,2270798
91,33.41,91,othmaint,974,2270798
92,713.6200000000001,92,othmaint,974,2270798
93,586.066,93,othmaint,974,2270798
94,391.694,94,othmaint,974,2270798
95,596.13,95,othmaint,974,2270798
96,291.33000000000004,96,othmaint,974,2270798
97,539.53,97,othmaint,974,2270798
98,69.81400000000001,98,othmaint,974,2270798
99,412.076,99,othmaint,974,2270798
100,224.48000000000002,100,othmaint,974,2270798
101,97.52,101,othmaint,974,2270798
102,243.382,102,othmaint,974,2270798
103,220.4,103,othmaint,974,2270798
104,110.00999999999999,104,othmaint,974,2270798
105,251.106,105,othmaint,974,2270798
106,88.886,106,othmaint,974,2270798
107,132.462,107,othmaint,974,2270798
108,156.08800000000002,108,othmaint,974,2270798
109,125.52400000000002,109,othmaint,974,2270798
110,373.586,110,othmaint,974,2270798
111,46.172000000000004,111,othmaint,974,2270798
112,865.114,112,othmaint,974,2270798
113,429.47600000000006,113,othmaint,974,2270798
114,332.64200000000005,114,othmaint,974,2270798
115,1900.0860000000002,115,othmaint,974,2270798
116,436.82000000000005,116,othmaint,974,2270798
117,624.216,117,othmaint,974,2270798
118,181.76,118,othmaint,974,2270798
119,374.71000000000004,119,othmaint,974,2270798
120,268.452,120,othmaint,974,2270798
121,284.624,121,othmaint,974,2270798
122,463.06600000000003,122,othmaint,974,2270798
123,286.454,123,othmaint,974,2270798
124,98.808,124,othmaint,974,2270798
125,153.68,125,othmaint,974,2270798
126,102.276,126,othmaint,974,2270798
127,107.19,127,othmaint,974,2270798
128,6980.612,128,othmaint,974,2270798
129,149.612,129,othmaint,974,2270798
130,36.26,130,othmaint,974,2270798
131,192.31600000000003,131,othmaint,974,2270798
132,63.678000000000004,132,othmaint,974,2270798
133,261.326,133,othmaint,974,2270798
134,150.168,134,othmaint,974,2270798
135,37.346000000000004,135,othmaint,974,2270798
136,172.436,136,othmaint,974,2270798
137,76.67800000000001,137,othmaint,974,2270798
138,180.662,138,othmaint,974,2270798
139,187.76000000000002,139,othmaint,974,2270798
140,211.73600000000002,140,othmaint,974,2270798
141,46.784000000000006,141,othmaint,974,2270798
142,88.89800000000001,142,othmaint,974,2270798
143,24.842000000000002,143,othmaint,974,2270798
144,57.64,144,othmaint,974,2270798
145,90.57000000000001,145,othmaint,974,2270798
146,38.108000000000004,146,othmaint,974,2270798
147,135.564,147,othmaint,974,2270798
148,177.16400000000002,148,othmaint,974,2270798
149,37.188,149,othmaint,974,2270798
150,140.788,150,othmaint,974,2270798
151,361.1,151,othmaint,974,2270798
152,278.178,152,othmaint,974,2270798
153,217.024,153,othmaint,974,2270798
154,1459.868,154,othmaint,974,2270798
155,51.668000000000006,155,othmaint,974,2270798
156,85.47,156,othmaint,974,2270798
157,189.166,157,othmaint,974,2270798
158,93.75800000000001,158,othmaint,974,2270798
159,66.59,159,othmaint,974,2270798
160,388.244,160,othmaint,974,2270798
161,273.57800000000003,161,othmaint,974,2270798
162,131.62,162,othmaint,974,2270798
163,160.062,163,othmaint,974,2270798
164,130.26,164,othmaint,974,2270798
165,113.736,165,othmaint,974,2270798
166,190.856,166,othmaint,974,2270798
167,157.376,167,othmaint,974,2270798
168,660.076,168,othmaint,974,2270798
169,136.202,169,othmaint,974,2270798
170,217.622,170,othmaint,974,2270798
171,437.75,171,othmaint,974,2270798
172,602.168,172,othmaint,974,2270798
173,434.8,173,othmaint,974,2270798
174,93.748,174,othmaint,974,2270798
175,103.36400000000002,175,othmaint,974,2270798
176,87.94800000000001,176,othmaint,974,2270798
177,84.784,177,othmaint,974,2270798
178,136.282,178,othmaint,974,2270798
179,313.062,179,othmaint,974,2270798
180,2725.792,180,othmaint,974,2270798
181,4.072,181,othmaint,974,2270798
182,14.252,182,othmaint,974,2270798
183,47.080000000000005,183,othmaint,974,2270798
184,885.062,184,othmaint,974,2270798
185,217.10600000000002,185,othmaint,974,2270798
186,226.226,186,othmaint,974,2270798
187,40.972,187,othmaint,974,2270798
188,296.332,188,othmaint,974,2270798
189,66.2,189,othmaint,974,2270798
190,8.806000000000001,190,othmaint,974,2270798
191,123.772,191,othmaint,974,2270798
192,132.168,192,othmaint,974,2270798
193,138.02800000000002,193,othmaint,974,2270798
194,41.958,194,othmaint,974,2270798
195,270.62600000000003,195,othmaint,974,2270798
196,103.25200000000001,196,othmaint,974,2270798
197,159.184,197,othmaint,974,2270798
198,370.92600000000004,198,othmaint,974,2270798
