alternative,probability
tour_id,93102765.0
0,0.006907850193865121
1,0.004422863837901276
2,0.006555249704602793
3,0.00660502328147369
4,0.005224122686714133
5,0.0057130534859544954
6,0.006447570785930632
7,0.00924483321113645
8,0.010994789647862492
9,0.04546456978460068
10,0.024268167432190235
11,0.015127982820931403
12,0.025293413817244193
13,0.29547177667790353
14,0.01758052139034772
15,0.32569128546009407
16,0.018905658833311884
17,0.05705448262903211
18,0.019424890687830692
19,0.020271941566591324
20,0.015648403012370565
21,0.011984651045362534
22,0.017093745350033104
23,0.0071705984308969035
24,0.011132032281659902
25,0.01030052194415794
26,0.0
27,0.0
28,0.0
