alternative,probability
tour_id,93102746.0
0,0.010289152558583408
1,0.0218225200856087
2,0.013862319509259856
3,0.015743939738716305
4,0.01448062695568735
5,0.01639839163211361
6,0.027296837712091026
7,0.05192122004383143
8,0.028987937391916286
9,0.135521398808404
10,0.04973367870553109
11,0.029541476857904137
12,0.05947450954050072
13,0.05354648839764636
14,0.0828936231745335
15,0.03967240519296687
16,0.063970943719201
17,0.03505365414640661
18,0.09842610420303927
19,0.03268331793809929
20,0.023665547928303825
21,0.030748537539882735
22,0.015676704284044652
23,0.03372590510038274
24,0.014862758835345134
25,0.0
26,0.0
27,0.0
28,0.0
