alternative,probability_1,probability_2
person_id,2270797.0,2270800.0
0,0.9452047129132217,0.9196352433531909
1,0.0068591688991866025,0.01034132573452854
2,0.004643078381499555,0.007000204639913216
3,0.0001135529618066595,0.0001779022492606306
4,0.005256908287455087,0.007925654223729987
5,0.00012856502883195104,0.00020142149919792358
6,8.702767270496677e-05,0.00013634535353197264
7,1.8038229084059732e-06,3.6416517383972786e-06
8,0.009351291580356866,0.014098610734383916
9,0.0002286988864754537,0.0003583001769399794
10,0.00015480984231094265,0.0002425389766732183
11,3.2087441997200227e-06,6.477980093571757e-06
12,0.0001752762017257121,0.00027460341001017804
13,3.63295051038613e-06,7.334389911562963e-06
14,2.459200848346499e-06,4.964762894802713e-06
15,2.1145252435832824e-07,4.2689138126007825e-07
16,0.01648737171613308,0.024857425721504536
17,0.000403221685473594,0.000631723238699424
18,0.0002729470462516636,0.0004276233106089581
19,5.657374482247836e-06,1.1421402578952862e-05
20,0.00030903152425640205,0.0004841564885930682
21,6.4052975972721915e-06,1.2931348760101457e-05
22,4.335845820109827e-06,8.753431611631283e-06
23,3.72814422419859e-07,7.526571944385661e-07
24,0.0005497230944165361,0.0008612454788605991
25,1.1394112701944927e-05,2.300302880907511e-05
26,7.712852554052663e-06,1.557110888246149e-05
27,6.631837914559037e-07,1.3388700164399621e-06
28,8.732516485802605e-06,1.762965959291874e-05
29,7.508588231681921e-07,1.5158729418165077e-06
30,5.082680453930565e-07,1.0261180310172857e-06
31,2.953623499441417e-08,5.962929121915275e-08
32,0.007935122670552935,0.009968803857129276
33,0.00019406449934826345,0.0002533458262790638
34,0.0001313652856175195,0.00017149374017877785
35,2.7228087825523602e-06,4.580430948824744e-06
36,0.00014873219918023684,0.00019416576458942427
37,3.0827728670676024e-06,5.185978662547559e-06
38,2.0867770227749262e-06,3.5104698205999787e-06
39,1.7942994348566497e-07,3.018450915665105e-07
40,0.00026457341195035836,0.0003453932578454079
41,5.4838141317313575e-06,9.225117873697682e-06
42,3.7120792937790193e-06,6.244626134112285e-06
43,3.1918032958374054e-07,5.369394535708029e-07
44,4.202828123882536e-06,7.070185807604509e-06
45,3.613769964485292e-07,6.079245774925591e-07
46,2.446217237747834e-07,4.1151362575029774e-07
47,1.4215343230092753e-08,2.3913687401230876e-08
48,0.0004664724815333687,0.000608966898466245
49,9.668576927058889e-06,1.6264913376061415e-05
50,6.544810482100252e-06,1.100997347977671e-05
51,5.627505776185155e-07,9.466842397124104e-07
52,7.4100554925510275e-06,1.2465527409814288e-05
53,6.371480152134479e-07,1.0718389431409933e-06
54,4.3129542641875015e-07,7.255444935810577e-07
55,2.5063238151965573e-08,4.216250235589967e-08
56,1.3181433981420141e-05,2.21743989314556e-05
57,1.1333956280585984e-06,1.9066489153732705e-06
58,7.672131734427836e-07,1.2906403808089649e-06
59,4.458393319629639e-08,7.500109032306719e-08
60,8.686412242761897e-07,1.4612671931262081e-06
61,5.0478072659901995e-08,8.491647585758917e-08
62,3.416939447791512e-08,5.748128659351936e-08
63,0.0,0.0
64,0.0004434136533313107,0.00048234902437807966
65,9.190636505822074e-06,1.2883073149454698e-05
66,6.221285158536256e-06,8.720753098032611e-06
67,5.349324974452567e-07,7.498473571707534e-07
68,7.0437590799335266e-06,9.873664725662267e-06
69,6.056522953077536e-07,8.489795912004685e-07
70,4.099754825081633e-07,5.746875232514941e-07
71,2.3824303540359553e-08,3.339597263484752e-08
72,1.2529844801635685e-05,1.7563844139470558e-05
73,1.0773692254153863e-06,1.5102138498465467e-06
74,7.292880278851716e-07,1.0222873034217368e-06
75,4.2380044870952834e-08,5.9406681768317955e-08
76,8.257022524123632e-07,1.1574369752039803e-06
77,4.798282320465091e-08,6.726043630071482e-08
78,3.248032121373323e-08,4.552963811040002e-08
79,0.0,0.0
80,2.2091516130667115e-05,3.0967019325968394e-05
81,1.8995223004550958e-06,2.6626757276583797e-06
82,1.2858162640469804e-06,1.8024067186186787e-06
83,7.472075350548868e-08,1.0474061645064282e-07
84,1.4558053126016891e-06,2.0406906879334494e-06
85,8.459907761045169e-08,1.1858766305700588e-07
86,5.72664347709054e-08,8.027383823685008e-08
87,0.0,0.0
88,2.5896704332579234e-06,3.63009826397847e-06
89,1.5048971732157812e-07,2.1095057293001203e-07
90,1.0186883621085012e-07,1.427957321261519e-07
91,0.0,0.0
92,1.15336224226581e-07,1.6167378750662972e-07
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
