alternative,utility_1,utility_2
person_id,2270797.0,2270800.0
0,0.0,0.0
1,-4.925815248778548,-4.487829041777561
2,-5.316023940909819,-4.878037733908831
3,-9.026887458503321,-8.550498157801712
4,-5.191858455564792,-4.7538722485638045
5,-8.902721973158295,-8.426332672456686
6,-9.292930665289566,-8.816541364587957
7,-13.169248559687196,-12.439295042783085
8,-4.615887060757679,-4.177900853756691
9,-8.32675057835118,-7.850361277649572
10,-8.716959270482452,-8.240569969780843
11,-12.593277164880082,-11.863323647975971
12,-8.592793785137426,-8.116404484435817
13,-12.469111679535056,-11.739158162630945
14,-12.859320371666326,-12.129366854762216
15,-15.312911587249179,-14.58295807034507
16,-4.04880679411591,-3.6108205871149224
17,-7.759670311709412,-7.283281011007803
18,-8.149879003840683,-7.673489703139074
19,-12.026196898238313,-11.296243381334202
20,-8.025713518495657,-7.549324217794048
21,-11.902031412893287,-11.172077895989176
22,-12.292240105024558,-11.562286588120447
23,-14.745831320607412,-14.015877803703303
24,-7.449742123688543,-6.973352822986934
25,-11.326060018086173,-10.596106501182062
26,-11.716268710217443,-10.986315193313333
27,-14.169859925800301,-13.439906408896192
28,-11.592103224872417,-10.862149707968307
29,-14.045694440455273,-13.315740923551166
30,-14.435903132586548,-13.705949615682437
31,-17.281294274927212,-16.551340758023102
32,-4.780102718168972,-4.524516514243584
33,-8.490966235762473,-8.196976938136464
34,-8.881174927893746,-8.587185630267737
35,-12.757492822291374,-12.209939308462863
36,-8.757009442548718,-8.463020144922709
37,-12.633327336946348,-12.085773823117837
38,-13.023536029077619,-12.475982515249108
39,-15.477127244660478,-14.929573730831965
40,-8.181038047741605,-7.8870487501155955
41,-12.057355942139234,-11.509802428310723
42,-12.447564634270504,-11.900011120441993
43,-14.901155849853362,-14.353602336024851
44,-12.323399148925478,-11.775845635096967
45,-14.776990364508338,-14.229436850679827
46,-15.167199056639607,-14.619645542811096
47,-18.012590198980273,-17.465036685151762
48,-7.6139577810998365,-7.3199684834738274
49,-11.490275675497465,-10.942722161668954
50,-11.880484367628735,-11.332930853800224
51,-14.334075583211595,-13.786522069383082
52,-11.75631888228371,-11.208765368455198
53,-14.209910097866569,-13.662356584038058
54,-14.600118789997838,-14.052565276169327
55,-17.445509932338506,-16.897956418509995
56,-11.180347487476595,-10.632793973648084
57,-13.633938703059455,-13.086385189230942
58,-14.024147395190724,-13.476593881362213
59,-16.869538537531394,-16.321985023702887
60,-13.899981909845698,-13.352428396017187
61,-16.745373052186366,-16.197819538357855
62,-17.13558174431764,-16.58802823048913
63,-995.6814735835559,-995.4613200686306
64,-7.664653721371321,-7.553064426820912
65,-11.540971615768951,-11.17581810501604
66,-11.931180307900222,-11.56602679714731
67,-14.38477152348308,-14.019618012730168
68,-11.807014822555196,-11.441861311802285
69,-14.260606038138054,-13.895452527385142
70,-14.650814730269325,-14.285661219516413
71,-17.49620587260999,-17.13105236185708
72,-11.231043427748082,-10.86588991699517
73,-13.68463464333094,-13.319481132578028
74,-14.07484333546221,-13.709689824709299
75,-16.92023447780288,-16.555080967049967
76,-13.950677850117184,-13.585524339364273
77,-16.796068992457855,-16.430915481704943
78,-17.186277684589125,-16.821124173836214
79,-995.7321695238273,-995.6944160119776
80,-10.663963161106313,-10.298809650353402
81,-13.11755437668917,-12.75240086593626
82,-13.507763068820442,-13.14260955806753
83,-16.35315421116111,-15.988000700408199
84,-13.383597583475416,-13.018444072722504
85,-16.228988725816087,-15.863835215063174
86,-16.619197417947355,-16.254043907194443
87,-995.1650892571856,-995.1273357453359
88,-12.807626188668301,-12.44247267791539
89,-15.65301733100897,-15.287863820256058
90,-16.043226023140242,-15.678072512387331
91,-994.5891178623784,-994.5513643505287
92,-15.919060537795215,-15.553907027042303
93,-994.4649523770335,-994.4271988651838
94,-994.8551610691648,-994.817407557315
95,-994.4127523763003,-994.3749988644506
