alternative,probability
person_id,2270798.0
0,0.0
1,0.3679290787551532
2,0.11248166264482334
3,0.003901221960333786
4,0.0875832882429545
5,0.0030376671131770736
6,0.0009286622536269768
7,3.2176817318763536e-05
8,0.18349550098874018
9,0.006364207829503208
10,0.0019456376769722687
11,6.741355951093387e-05
12,0.0015149611187442473
13,5.249123346241198e-05
14,1.6047389442841074e-05
15,5.560180051064702e-07
16,0.18186965010852174
17,0.006307818147763131
18,0.0019283984710372652
19,6.681624571043783e-05
20,0.0015015378966208985
21,5.202613803680888e-05
22,1.5905202511225502e-05
23,5.510914409228877e-07
24,0.003145867826173964
25,0.00010899981554804841
26,3.332294506948326e-05
27,1.1545901286811605e-06
28,2.594674575837637e-05
29,8.990158721431907e-07
30,2.748431854989273e-07
31,0.0
32,0.03218788468490257
33,0.0011163782579027568
34,0.000341294259791296
35,1.1825357395928242e-05
36,0.00026574708115183215
37,9.207755833534546e-06
38,2.8149546887887314e-06
39,9.753396314711197e-08
40,0.0005567659626683807
41,1.9291143362527638e-05
42,5.897603655243477e-06
43,2.0434313200767882e-07
44,4.5921398095875625e-06
45,1.591107653485623e-07
46,4.8642644641324014e-08
47,0.0
48,0.0005518327712516844
49,1.9120215343871146e-05
50,5.84534829180192e-06
51,2.0253256194328435e-07
52,4.551451430247067e-06
53,1.577009739558564e-07
54,4.8211649406126926e-08
55,0.0
56,9.535733096733642e-06
57,3.3039886721505877e-07
58,1.0100809114097646e-07
59,0.0
60,7.864944874797245e-08
61,0.0
62,0.0
63,0.0
64,0.0004366120134157788
65,1.5127981071684798e-05
66,4.624859957141101e-06
67,1.6024446944631036e-07
68,3.601124247146155e-06
69,1.2477356065736842e-07
70,3.814522517312434e-08
71,0.0
72,7.544705286923727e-06
73,2.614127361770362e-07
74,7.991795402856226e-08
75,0.0
76,6.22277181799187e-08
77,0.0
78,0.0
79,0.0
80,7.477855878269907e-06
81,2.5909650430800623e-07
82,7.920984579047216e-08
83,0.0
84,6.167635321548279e-08
85,0.0
86,0.0
87,0.0
88,1.292179542407614e-07
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
