alternative,utility
person_id,2270798.0
0,-999.0
1,-3.3624998331069946
2,-4.547599822282791
3,-7.909100204706192
4,-4.797799825668335
5,-8.159300208091736
6,-9.344400197267532
7,-12.70689907670021
8,-4.058199882507324
9,-7.419700264930725
10,-8.604800254106522
11,-11.9672991335392
12,-8.855000257492065
13,-12.217499136924744
14,-13.40259912610054
15,-16.76509991288185
16,-4.0670998096466064
17,-7.428600192070007
18,-8.613700181245804
19,-11.976199060678482
20,-8.863900184631348
21,-12.226399064064026
22,-13.411499053239822
23,-16.773999840021133
24,-8.124300241470337
25,-11.486799120903015
26,-12.671899110078812
27,-16.034399896860123
28,-12.922099113464355
29,-16.284599900245667
30,-17.469699889421463
31,-991.0382000505924
32,-5.798799902200699
33,-9.1603002846241
34,-10.345400273799896
35,-13.707899153232574
36,-10.59560027718544
37,-13.958099156618118
38,-15.143199145793915
39,-18.505699932575226
40,-9.85600033402443
41,-13.218499213457108
42,-14.403599202632904
43,-17.766099989414215
44,-14.653799206018448
45,-18.01629999279976
46,-19.201399981975555
47,-992.7699001431465
48,-9.864900261163712
49,-13.22739914059639
50,-14.412499129772186
51,-17.774999916553497
52,-14.66269913315773
53,-18.02519991993904
54,-19.210299909114838
55,-992.7788000702858
56,-13.92309918999672
57,-17.28559997677803
58,-18.470699965953827
59,-992.0392001271248
60,-18.72089996933937
61,-992.2894001305103
62,-993.4745001196861
63,-991.0780001282692
64,-10.099100351333618
65,-13.461599230766296
66,-14.646699219942093
67,-18.009200006723404
68,-14.896899223327637
69,-18.259400010108948
70,-19.444499999284744
71,-993.0130001604557
72,-14.157299280166626
73,-17.519800066947937
74,-18.704900056123734
75,-992.2734002172947
76,-18.955100059509277
77,-992.5236002206802
78,-993.708700209856
79,-991.3122002184391
80,-14.166199207305908
81,-17.52869999408722
82,-18.713799983263016
83,-992.282300144434
84,-18.96399998664856
85,-992.5325001478195
86,-993.7176001369953
87,-991.3211001455784
88,-18.22440004348755
89,-991.7929002046585
90,-992.9780001938343
91,-990.5815002024174
92,-993.2282001972198
93,-990.8317002058029
94,-992.0168001949787
95,-989.6203002035618
