alternative,probability
person_id,2270799.0
0,0.9407898570819714
1,0.017130419530848803
2,0.0034016336319656207
3,8.185183826307984e-05
4,0.025052467885219684
5,0.0006028252220234181
6,0.00011970463103599164
7,1.873939582904323e-05
8,0.003061349403131868
9,7.366374610634675e-05
10,1.462760884289386e-05
11,2.2899076649506024e-06
12,0.00010772991462998834
13,1.6864790404586728e-05
14,3.3488869395746055e-06
15,0.0
16,0.008191981317621371
17,0.00019711962027981644
18,3.9142574918064e-05
19,6.1276510257739005e-06
20,0.0002882785764653192
21,4.51291341584976e-05
22,8.961413948945328e-06
23,0.0
24,3.5226926626197795e-05
25,5.514668197678173e-06
26,1.0950625451158354e-06
27,0.0
28,8.064954140275457e-06
29,0.0
30,0.0
31,0.0
32,0.0006326232003857641
33,1.52225011514617e-05
34,3.022773130932291e-06
35,4.7320593791317115e-07
36,2.2262223090505783e-05
37,3.48508329975989e-06
38,6.920423951857272e-07
39,0.0
40,2.720388413738538e-06
41,4.258685303366565e-07
42,8.456586325747517e-08
43,0.0
44,6.228135662627367e-07
45,0.0
46,0.0
47,0.0
48,7.2795908363877115e-06
49,1.139597799817195e-06
50,2.2629301026698887e-07
51,0.0
52,1.6666105129868136e-06
53,0.0
54,0.0
55,0.0
56,2.0365566867747902e-07
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,2.5234792355582453e-06
65,3.9504299752011374e-07
66,7.844475402467543e-08
67,0.0
68,5.777326113252041e-07
69,0.0
70,0.0
71,0.0
72,7.059749135108898e-08
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,1.889145125438481e-07
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
