alternative,utility
person_id,2270799.0
0,0.0
1,-4.005863992886148
2,-5.6224639997049195
3,-9.349564312414728
4,-3.625747454873074
5,-7.352847767582883
6,-8.969447774401655
7,-10.82384703826045
8,-5.727863995747171
9,-9.45496430845698
10,-11.07156431527575
11,-12.925963579134546
12,-9.074847770443906
13,-10.929247034302701
14,-12.545847041121473
15,-1992.7969474024687
16,-4.743564008192621
17,-8.47066432090243
18,-10.0872643277212
19,-11.941663591579996
20,-8.090547782889356
21,-9.944947046748151
22,-11.561547053566922
23,-1991.8126474149142
24,-10.192664323763452
25,-12.047063587622247
26,-13.663663594441019
27,-1993.9147639557882
28,-11.666947049609174
29,-1991.9180474109564
30,-1993.5346474177752
31,-1992.3186473972712
32,-7.304600090053025
33,-11.031700402762834
34,-12.648300409581605
35,-14.5026996734404
36,-10.65158386474976
37,-12.505983128608555
38,-14.122583135427327
39,-1994.3736834967747
40,-12.753700405623857
41,-14.608099669482652
42,-16.224699676301423
43,-1996.4758000376487
44,-14.227983131469578
45,-1994.479083492817
46,-1996.0956834996357
47,-1994.8796834791317
48,-11.769400418069306
49,-13.623799681928102
50,-15.240399688746873
51,-1995.4915000500941
52,-13.243683143915028
53,-1993.4947835052624
54,-1995.1113835120811
55,-1993.8953834915771
56,-15.345799684789124
57,-1995.5969000461364
58,-1997.2135000529552
59,-1995.9975000324512
60,-1995.2167835081234
61,-1994.0007834876194
62,-1995.6173834944382
63,-1993.957483484806
64,-12.82883647657065
65,-14.683235740429446
66,-16.299835747248217
67,-1996.5509361085954
68,-14.303119202416372
69,-1994.5542195637636
70,-1996.1708195705824
71,-1994.9548195500784
72,-16.40523574329047
73,-1996.6563361046376
74,-1998.2729361114564
75,-1997.0569360909524
76,-1996.2762195666246
77,-1995.0602195461206
78,-1996.6768195529394
79,-1995.0169195433073
80,-15.420935755735918
81,-1995.672036117083
82,-1997.2886361239018
83,-1996.0726361033978
84,-1995.29191957907
85,-1994.075919558566
86,-1995.6925195653848
87,-1994.0326195557527
88,-1997.394036119944
89,-1996.17803609944
90,-1997.7946361062588
91,-1996.1347360966267
92,-1995.797919561427
93,-1994.138019551795
94,-1995.7546195586137
95,-1994.5386195381097
