label,value_1,value_2
tour_id,93102746,93102765
person_id,2270798,2270799
tour_type,othmaint,eatout
tour_type_count,1,1
tour_type_num,1,1
tour_num,1,1
tour_count,1,1
tour_category,non_mandatory,non_mandatory
number_of_participants,1,1
destination,999.0,1026.0
origin,974,974
household_id,866761,866761
tdd,,
start,,
end,,
duration,,
composition,,
destination_logsum,14.614082500469461,14.179800953540829
destination_in_cbd,0,1
num_person_joint_tours,0,0
ptype,8,7
num_children,2,2
roundtrip_auto_time_to_work,0.0,0.0
num_mand,0,1
num_escort_tours,0,0
num_non_escort_tours,1,1
adult,False,False
start_previous,5,5
end_previous,5,5
