label,value_1,value_2,value_3,value_4
person_id,2270797.0,2270798.0,2270799.0,2270800.0
age,43.0,3.0,12.0,38.0
earning,11700.0,0.0,0.0,2000.0
edu,16.0,1.0,9.0,1.0
hours,22.0,0.0,0.0,40.0
household_id,866761.0,866761.0,866761.0,866761.0
PNUM,2.0,4.0,3.0,1.0
race_id,1.0,1.0,1.0,1.0
relate,1.0,2.0,2.0,0.0
sex,2.0,2.0,2.0,1.0
student,0.0,0.0,1.0,0.0
work_at_home,0.0,0.0,0.0,0.0
worker,1.0,0.0,0.0,1.0
home_x,-122.34924519200001,-122.34924519200001,-122.34924519200001,-122.34924519200001
home_y,37.9695116581,37.9695116581,37.9695116581,37.9695116581
TAZ,974.0,974.0,974.0,974.0
ptype,1.0,8.0,7.0,1.0
pemploy,1.0,4.0,4.0,1.0
pstudent,3.0,1.0,1.0,3.0
