alternative,probability_1,probability_2
person_id,2270798.0,2270799.0
0,0.010474748924336861,0.04203100268413312
1,0.002418285345521818,0.011305470864837065
2,0.004767814775027506,0.008312375768872922
3,0.022782110507251246,0.0031490894862637505
4,0.028264756991832566,0.010458364485307285
5,0.07146942430824352,0.02435512166633117
6,0.03854006638577084,0.027868581711916942
7,0.08520297694233574,0.08320185438972351
8,0.02964149960868692,0.034124037136674876
9,0.02619640991984274,0.02952904659669206
10,0.033305216594523075,0.029026656013704157
11,0.03425840348512969,0.050985011567877415
12,0.03501881732876056,0.08210430471834684
13,0.06561860076387302,0.025234091955618394
14,0.16427374717455914,0.03366993906085254
15,0.04106746753799232,0.03672709476015872
16,0.04133851943552424,0.16901953812020284
17,0.036515593147100706,0.05073081295158105
18,0.03397303920716322,0.05607121316779147
19,0.03149619554396295,0.03941727686242359
20,0.06391862572974334,0.04239833012005283
21,0.059221930145183926,0.03223129346164504
22,0.02983626534304708,0.03070606109383375
23,0.01039948485458708,0.02975072575644392
24,0.0,0.017592705598714627
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
