alternative,utility_1,utility_2
person_id,2270798.0,2270799.0
0,7.721792827696548,9.263690010572866
1,6.25588408534343,7.950569261336442
2,6.934713412701728,7.643027966221237
3,8.498800932317335,6.672395864523143
4,8.714441023808975,7.87268459290314
5,9.642095057399425,8.718024668233097
6,9.024523716713508,8.852782456229763
7,9.817861705075266,9.946552141365743
8,8.762000724445965,9.055284542780894
9,8.638447706630599,8.910656914760509
10,8.87853937042021,8.89349708614105
11,8.906757223055799,9.456814204152959
12,8.928710886191155,9.933272953155761
13,9.556684535200276,8.75347844106366
14,10.474359557576152,9.041887928725794
15,9.088041595190642,9.128797264960735
16,9.094620070493157,10.655296823868385
17,8.970564710082716,9.451815981964799
18,8.898392576770977,9.551905052015181
19,8.822692093368067,9.1994867246865
20,9.530436132591987,9.272391482950264
21,9.454117246147678,8.998220332697041
22,8.768549942651443,8.94974257032197
23,7.714581602920399,8.918136032317605
24,-999.0,8.392766866964504
25,-999.0,-999.0
26,-999.0,-999.0
27,-999.0,-999.0
28,-999.0,-999.0
29,-999.0,-999.0
