TAZ,work_low,work_med,work_high,work_veryhigh
0,0,0,0,1
1,0,2,0,5
2,0,0,0,0
3,0,0,0,0
4,0,1,2,3
5,1,1,3,1
6,1,0,2,4
7,0,1,1,0
8,0,1,10,7
9,0,1,3,1
10,0,0,0,1
11,0,2,3,4
12,0,2,4,4
13,0,5,0,12
14,0,1,0,0
15,0,1,0,2
16,0,1,0,0
17,1,0,0,3
18,0,0,0,1
19,1,0,4,4
20,2,2,2,3
21,0,0,1,1
22,7,12,14,53
23,2,2,8,13
24,0,1,4,6
25,0,3,2,5
26,0,0,0,2
27,0,1,2,0
28,1,0,0,3
29,0,3,3,3
30,0,0,0,4
31,0,1,5,8
32,3,2,1,4
33,0,0,1,1
34,1,1,3,3
35,1,8,6,23
36,0,1,4,4
37,0,0,0,1
38,0,0,0,3
39,0,0,1,1
40,0,0,0,4
41,1,3,5,9
42,0,1,5,1
43,0,1,1,1
44,0,1,0,3
45,3,5,7,14
46,0,1,2,1
47,0,3,5,14
48,0,0,0,1
49,1,2,4,6
50,1,0,2,5
51,1,3,9,8
52,0,0,0,1
53,2,1,7,9
54,0,0,1,1
55,0,2,2,1
56,0,1,3,4
57,0,0,0,0
58,1,0,1,1
59,0,1,2,5
60,1,1,4,10
61,0,2,0,7
62,2,7,13,28
63,0,1,1,4
64,0,0,0,0
65,0,0,0,3
66,1,0,0,1
67,0,1,1,2
68,1,1,1,4
69,1,4,5,15
70,0,1,0,0
71,0,2,2,1
72,0,0,0,0
73,0,0,0,1
74,0,0,0,2
75,0,0,2,2
76,0,4,3,13
77,0,1,1,5
78,6,16,23,50
79,3,4,1,3
80,0,0,2,1
81,1,1,2,3
82,1,7,5,19
83,0,2,2,3
84,0,0,1,3
85,0,0,0,3
86,1,0,1,3
87,1,0,3,12
88,0,1,1,5
89,0,1,3,3
90,0,1,0,2
91,0,0,0,0
92,0,4,6,5
93,1,4,4,1
94,1,1,1,4
95,3,3,7,9
96,1,2,1,9
97,2,3,2,6
98,0,2,0,2
99,2,1,0,1
100,1,2,4,3
101,1,0,1,0
102,0,2,3,6
103,1,0,1,2
104,0,2,1,1
105,1,0,3,4
106,0,0,0,2
107,0,1,1,2
108,1,3,2,4
109,1,0,2,4
110,0,2,6,21
111,0,0,0,2
112,1,1,2,11
113,1,7,5,21
114,2,3,6,4
115,1,6,6,20
116,0,1,0,3
117,0,2,6,8
118,0,1,2,3
119,0,1,7,6
120,0,0,3,1
121,2,1,2,7
122,1,1,4,12
123,0,1,1,3
124,1,1,2,1
125,0,0,2,1
126,0,0,0,1
127,1,1,0,0
128,13,21,32,62
129,0,1,0,0
130,0,0,0,0
131,1,1,0,2
132,0,0,1,2
133,0,0,3,0
134,1,0,0,1
135,0,0,0,3
136,0,0,1,2
137,0,0,1,0
138,2,0,0,1
139,4,5,6,20
140,0,0,1,1
141,0,0,0,0
142,0,0,0,1
143,1,0,0,3
144,0,0,2,2
145,0,1,0,3
146,0,0,0,2
147,1,0,0,1
148,0,0,0,0
149,0,0,0,0
150,1,0,1,2
151,2,5,10,20
152,1,0,0,1
153,0,0,1,4
154,3,8,13,44
155,0,0,1,0
156,0,0,0,1
157,0,1,1,3
158,1,0,0,1
159,0,0,1,0
160,0,0,0,3
161,0,1,1,5
162,0,1,1,0
163,0,1,0,4
164,0,0,1,2
165,0,0,1,5
166,0,0,2,0
167,0,0,0,1
168,3,10,10,22
169,0,0,1,0
170,0,0,0,3
171,0,1,4,7
172,0,0,3,6
173,0,0,1,3
174,0,0,0,1
175,1,1,1,2
176,0,1,0,6
177,0,0,0,0
178,1,0,1,4
179,2,5,5,15
180,4,10,8,36
181,0,0,1,1
182,1,0,1,5
183,0,0,1,0
184,2,3,3,9
185,0,0,0,1
186,0,0,2,3
187,0,0,1,0
188,2,1,0,2
189,0,0,1,3
190,0,0,0,0
191,0,0,4,1
192,1,0,0,2
193,0,0,0,2
194,0,2,3,7
195,0,0,1,6
196,0,0,0,2
197,1,0,0,2
198,0,2,1,3
199,2,1,1,4
200,1,3,2,9
201,0,0,0,1
202,0,0,0,1
203,1,3,4,9
204,0,6,7,16
205,1,1,1,1
206,0,0,0,0
207,0,2,1,4
208,0,0,1,4
209,0,2,2,3
210,1,1,4,8
211,0,3,3,3
212,0,1,0,1
213,0,0,0,1
214,0,0,0,0
215,0,1,0,0
216,1,0,2,0
217,0,2,2,5
218,2,1,2,8
219,0,0,0,1
220,3,8,3,19
221,0,1,2,8
222,0,0,0,0
223,0,0,0,0
224,0,1,0,2
225,0,0,0,1
226,0,0,0,0
227,0,1,0,3
228,0,0,0,0
229,0,1,1,4
230,0,1,1,1
231,0,0,1,1
232,0,0,1,1
233,0,0,1,1
234,0,0,0,1
235,0,0,2,0
236,0,0,0,0
237,1,2,1,2
238,0,0,0,0
239,0,0,0,0
240,0,0,1,0
241,1,0,1,0
242,1,3,3,4
243,1,0,0,1
244,0,1,2,6
245,1,3,0,7
246,0,0,2,1
247,0,1,2,6
248,0,0,1,1
249,0,0,0,1
250,0,1,0,0
251,0,0,0,0
252,1,0,0,0
253,0,0,0,1
254,0,1,1,6
255,0,0,0,2
256,0,0,2,0
257,0,0,0,0
258,0,0,0,0
259,0,1,2,3
260,1,5,10,11
261,0,0,1,0
262,0,0,0,1
263,0,2,0,1
264,0,0,0,0
265,1,3,3,3
266,0,0,0,1
267,0,0,0,1
268,0,0,0,2
269,0,2,4,3
270,1,3,5,5
271,0,0,1,0
272,1,0,0,4
273,0,0,1,0
