label,value_1,value_2,value_3,value_4,value_5
tour_id,93102716,93102790,93102765,93102839,93102746
primary_purpose,work,school,eatout,work,othmaint
distance_in_miles,3.3526482582092285,1.1791589260101318,4.155675888061523,0.7497288584709167,1.6823656558990479
is_joint,False,False,False,False,False
num_full,2,2,2,2,2
num_part,0,0,0,0,0
num_student,2,2,2,2,2
num_age_0_4,1,1,1,1,1
num_age_5_15,1,1,1,1,1
num_adult,2,2,2,2,2
more_cars_than_workers,False,False,False,False,False
tour_mode_is_transit,False,True,True,True,False
tour_mode_is_drive_transit,False,False,False,False,False
tour_mode_is_non_motorized,False,False,False,False,False
num_school_tours,0,1,1,0,0
num_univ_tours,0,0,0,0,0
num_shop_tours,0,0,0,0,0
num_maint_tours,0,0,0,0,1
num_eatout_tours,0,1,1,0,0
num_social_tours,0,0,0,0,0
num_atwork_subtours,0,0,0,0,0
num_hh_shop_tours,0,0,0,0,0
num_hh_maint_tours,0,0,0,0,0
hhacc,0.0,7.228674024292459,7.228674024292459,7.228674024292459,0.0
pracc,0.0,6.292744738531552,6.372771059207149,6.353143056093347,0.0
destination_area_type,4,3,1,4,4
