label,value_1,value_2,value_3,value_4,value_5
tour_id,93102716,93102790,93102839,93102746,93102765
person_id,2270797,2270799,2270800,2270798,2270799
tour_type,work,school,work,othmaint,eatout
tour_type_count,1,1,1,1,1
tour_type_num,1,1,1,1,1
tour_num,1,1,1,1,1
tour_count,1,1,1,1,1
tour_category,mandatory,mandatory,mandatory,non_mandatory,non_mandatory
number_of_participants,1,1,1,1,1
destination,913.0,977.0,940.0,999.0,1026.0
origin,974,974,974,974,974
household_id,866761,866761,866761,866761,866761
tdd,32.0,44.0,63.0,115.0,142.0
start,6.0,7.0,8.0,12.0,14.0
end,19.0,14.0,17.0,15.0,21.0
duration,13.0,7.0,9.0,3.0,7.0
composition,,,,,
destination_logsum,,,,14.614082500469461,14.179800953540829
tour_mode,TNC_SINGLE,WALK_LOC,WALK_LOC,SHARED2PAY,WALK_LOC
mode_choice_logsum,4.517592567516183,18.957995154911853,5.768989146689454,1.841230372283819,0.6796183476435284
