label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51,value_52,value_53,value_54,value_55,value_56,value_57,value_58,value_59,value_60,value_61,value_62,value_63,value_64,value_65,value_66,value_67,value_68,value_69,value_70,value_71,value_72,value_73
trip_id,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744821733,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822713,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717,744822717
dest_taz,17,109,114,890,904,907,912,913,924,927,930,936,940,941,948,967,973,992,994,995,1003,1004,1009,1021,1218,42,881,902,907,920,921,930,936,937,941,942,948,963,975,976,977,979,981,982,985,999,1001,1006,1011,1012,1078,93,840,930,938,941,942,945,948,953,960,965,967,973,977,985,995,1017,1019,1021,1039,1047,1158
prob,0.00012040715228067711,0.00023988615430425853,0.00011461857502581552,0.0027385209687054157,0.012683476321399212,0.0146943973377347,0.005346239544451237,0.018033847212791443,0.007433265447616577,0.004478124901652336,0.014059359207749367,0.0021416719537228346,0.019459474831819534,0.03583241626620293,0.016078704968094826,0.00971805676817894,0.020892426371574402,0.0008871432510204613,0.0003876103728543967,0.006226780824363232,0.012764337472617626,0.010877419263124466,0.021963363513350487,0.010407998226583004,0.00013021226914133877,0.0029617566615343094,0.012378809042274952,0.004395832307636738,0.016413690522313118,0.00503860879689455,0.009034485556185246,0.009085395373404026,0.0015230305725708604,0.004923705477267504,0.03016434982419014,0.02364344894886017,0.003493878524750471,0.004585603717714548,0.01376426499336958,0.020334890112280846,0.021724719554185867,0.011601862497627735,0.009365190751850605,0.013271047733724117,0.006589977536350489,0.010391232557594776,0.013109076768159866,0.009997580200433731,0.013425040990114212,0.004518910311162472,0.00010434332943987101,0.000787962693721056,0.0006616064347326756,0.025284098461270332,0.012744186446070671,0.02947305142879486,0.025998085737228394,0.024123093113303185,0.03725661709904671,0.0017332755960524082,0.0008124225423671305,0.010432057082653046,0.010025168769061565,0.08170897513628006,0.016999300569295883,0.01760021783411503,0.025693291798233986,0.01098077092319727,0.004575545899569988,0.007717427797615528,0.0031649786978960037,0.008649028837680817,0.006353582721203566
pick_count,1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,3,1,1,1,1,1,1,1,3,1
person_id,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800
household_id,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761
tour_id,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102716,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839,93102839
primary_purpose,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work,work
trip_num,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
trip_count,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
purpose,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,othmaint,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,escort,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping,shopping
