alternative,probability_1,probability_2,probability_3
trip_id,744821733.0,744822713.0,744822717.0
0,2.9506127550953713e-08,8.458906714538943e-09,1.1815267307477864e-07
1,8.2182699454666e-05,2.8034696841177155e-05,8.28351213050908e-06
2,3.8808967010996875e-06,2.860519533245482e-05,3.213556783222657e-06
3,1.2578020738143093e-05,2.6777131519783994e-05,7.172151991015118e-06
4,3.297530791772093e-05,3.2409831806994365e-05,4.615597671480271e-05
5,9.880064879747468e-05,2.918705433612073e-05,0.00012361871291050383
6,9.96749475540136e-05,6.0917799842010264e-05,0.0002746671773132443
7,5.914456459407203e-05,4.061465119945307e-05,0.00020807328931900807
8,0.0005588168028368761,6.787509794631186e-05,0.0026488516068067388
9,6.834110436015785e-05,2.8703715872068614e-05,6.768760413515086e-05
10,9.009452690499569e-07,1.835099232882185e-05,2.4952751313300936e-06
11,9.070948223820304e-05,5.0142790097681794e-05,0.00017314518622822957
12,0.00016359131891979255,5.601755542754027e-05,7.179876107632778e-05
13,0.0004795630698426342,0.00012421747911607145,0.00011981808513960866
14,6.42361289840056e-05,3.583961079566081e-05,0.00035011181671091256
15,3.992834434141894e-05,2.602127014529217e-05,6.098617654254571e-06
16,0.00011597920820228059,0.0005303121376254897,1.853091448793859e-05
17,0.00012040715455977618,4.394943837622278e-05,0.00040127513241393516
18,5.660008830094394e-05,3.6680672917827994e-05,6.667384183659481e-05
19,9.280751521570501e-05,2.7243085160390844e-05,0.0002686186262658917
20,0.00017203359034118234,2.9438523710517148e-05,7.774389344352305e-05
21,1.9043069150084236e-05,3.713927932983333e-05,1.4684506254779836e-05
22,0.00036777386948079623,7.601439720451595e-05,0.0006761258063211575
23,0.0005382509029409547,7.52011285943218e-05,0.00040186984586452194
24,0.00021528023087318373,3.2751853686175514e-05,8.200103744866777e-06
25,2.754740227767049e-05,4.2658088877868576e-05,6.87895359642011e-05
26,8.428940336790066e-05,3.614040679386736e-05,0.00024779305740621396
27,7.49492124758555e-05,3.5364504715709116e-05,6.4572001588690996e-06
28,3.309506143813353e-05,9.457930055429536e-06,0.00018159832613060456
29,5.9572419151289305e-05,3.6770775609141266e-05,9.545154966271615e-05
30,8.317172225585166e-05,2.6440742431466224e-05,0.00016886293175934254
31,0.0003794044239795766,4.365663589600193e-05,0.0010174021872284434
32,8.61787085885966e-05,3.864916859141062e-05,0.00020740701467406757
33,4.074637798901201e-05,5.3106514556374956e-05,4.942961685638679e-05
34,0.0001182035901366016,3.607679439917138e-05,0.00031247143925241014
35,0.0004760056560151456,3.584236288808264e-05,0.0007651130640318288
36,0.00023747712202793302,3.8518972210143485e-05,0.00041081089694731444
37,2.6848508914270566e-05,3.1381417411438255e-05,4.554640036365941e-05
38,0.00021862500951758696,4.7823973731647125e-05,0.0005020075281815927
39,1.0603438008784971e-05,2.4157939122346308e-05,2.854344053581099e-06
40,5.7566531796675595e-05,3.169119403364303e-05,9.549339079532186e-06
41,0.00044870959864294375,5.991990953183537e-05,0.001223825959140336
42,0.0024356497196780487,0.002961756733660667,0.0027856352942788576
43,2.5993358307979265e-05,2.239023138479046e-05,2.633642438675556e-06
44,6.486019811094743e-05,4.538383106913562e-05,9.685694556289678e-05
45,0.00044798522621866937,4.956380524566068e-05,0.0006648176684391676
46,2.2825264337532558e-05,1.6559914195549332e-05,1.744984884196783e-05
47,6.773825552951853e-05,1.7008478136075417e-05,5.2972834817291827e-05
48,4.418854866071697e-05,1.8784064197372155e-05,3.5096591750612158e-06
49,0.0004200092701770254,5.340035216300231e-05,1.4149143846301632e-05
50,6.633442364657807e-05,1.3285490882884622e-05,2.7478287785506756e-05
51,0.00023312484866321801,2.9402223954431027e-05,0.00021906260311499407
52,2.0045195606488017e-05,1.989486662323709e-05,3.2529427043117756e-06
53,0.0001745234175107065,1.4014120975293146e-05,9.386236141378482e-05
54,4.176684799334734e-05,1.5028689177123534e-05,6.261073278920341e-06
55,1.983727833139981e-05,1.5835907734927785e-05,5.373638358143134e-06
56,8.284319337873394e-05,2.1814884622862825e-05,0.00034092293656666283
57,2.971784367050778e-05,2.0839679860148648e-05,9.086513473530479e-05
58,2.9662207272013014e-05,1.8204352097430395e-05,7.075283241885177e-05
59,5.036381158492948e-05,1.8644070223401536e-05,0.00010868910171665236
60,0.00010676109448742014,2.9861124948162034e-05,0.0001477296306430006
61,7.754074723643712e-05,3.5371494590726234e-05,1.06137974136179e-05
62,0.0002346820649021636,2.230528609028265e-05,0.0004200798564178911
63,5.2429568482688965e-05,1.8539844783553966e-05,9.389515758024466e-05
64,2.286448471730511e-06,1.7551173353140767e-05,4.0317318192336e-06
65,8.181800798090662e-05,1.1346126746973515e-05,0.00014963216957688527
66,9.48303083085313e-05,2.5239323759201648e-05,0.0003786988694281163
67,8.858592502777253e-05,2.2097029106139603e-05,0.0003229941036244735
68,7.947085899791323e-05,1.754571578687026e-05,3.546781343391148e-05
69,0.0001432747127847259,2.281686651214656e-05,0.0003562078720354434
70,3.257886685378194e-05,2.0824907157699896e-05,9.073367192154243e-05
71,0.00017909673551949474,2.8553457431750433e-05,0.0001727220967404137
72,2.0414830372815678e-06,1.3058294884967028e-05,2.028796433054096e-06
73,6.162125468280093e-05,2.9025722480737563e-05,0.00015782406684608998
74,2.989874834053058e-05,2.051752493774025e-05,4.867631560303753e-06
75,5.139623002535957e-05,2.1840055555056053e-05,0.00016028620276563514
76,6.975287005599767e-05,2.663621989426464e-05,8.954234571329949e-05
77,0.00011691920636373576,3.433725479213995e-05,0.00016737891337617543
78,0.0002940726266459911,1.735130091255959e-05,0.0006901470906466825
79,1.0970610331575074e-05,1.8001305768593566e-05,5.206421077690923e-05
80,2.8576653057366985e-05,1.4665408501101455e-05,4.889541127987728e-05
81,6.804606232917239e-05,4.3799394145822634e-05,0.0001445315085493031
82,0.00053069975152197,2.9171495491256412e-05,0.00013431501139754643
83,3.937917911691828e-05,1.6632592687359077e-05,3.1235547312241455e-05
84,3.117879163229451e-05,1.1316435245777697e-05,4.085504112693497e-05
85,8.110292988643318e-05,1.8827813916189286e-05,0.00012307972346488536
86,4.132429200676245e-05,2.4738726181545326e-05,2.1363238779255895e-05
87,7.429167216555132e-05,8.46078975238382e-06,5.3377818139142616e-05
88,7.708039077016163e-05,2.0191967134778794e-05,0.00017912949695814977
89,0.00018471945537058279,3.0003712376377567e-05,0.0005603905268051926
90,7.359967219249941e-06,9.446585546800755e-06,2.3038206865070976e-06
91,1.0914303728197245e-05,9.455404542053346e-06,3.234862293720712e-05
92,0.0001931741780069745,2.519174107215244e-05,0.00030687800771830984
93,0.00015777147379374362,2.638192226426259e-05,0.0007879627206539533
94,0.00012627928072345975,2.3831212876968944e-05,1.3363228583398778e-05
95,0.00016476850333880044,1.664416649263208e-05,0.0004417045562118024
96,7.532209903938212e-05,2.448077114058132e-05,4.904986177587101e-05
97,0.00015401906150415805,1.8534655765846876e-05,0.0006991232836492549
98,2.3283619680210988e-05,1.5020448460494462e-05,3.0763865479175506e-05
99,0.00012955923294501092,1.8759356284266864e-05,0.0004566510443591829
100,6.438161270899966e-05,1.2589018792468098e-05,3.167568064043603e-05
101,3.703895201501802e-05,3.2572103814784256e-05,2.884117142003063e-05
102,8.028078975281453e-05,1.059473051051197e-05,0.00019898370335656723
103,7.520002520509167e-05,1.8147710043144904e-05,6.337203074257704e-05
104,4.150868507131843e-05,2.731595749108135e-05,1.2117304085089961e-05
105,0.00010616661564414581,3.3917401052702835e-05,7.399151416582682e-05
106,4.125720155227332e-05,4.305898136624463e-05,6.476623576501376e-05
107,6.316057327978593e-05,1.9631489816745244e-05,0.00010183319162429731
108,6.595596336226422e-05,1.4956210433882824e-05,0.000113683919557111
109,0.0002398861530433642,0.0003688318410885097,0.000885117021384566
110,0.00014870498073079239,1.4335208176838006e-05,0.0005670524432299389
111,1.6090649378455583e-05,9.254728735623952e-06,6.617806201746868e-05
112,0.00032371096690683807,3.198340070634444e-05,0.0014729553779212544
113,0.00014146598318725206,8.00528087948258e-06,0.00011814633644334147
114,0.00011461857250981349,8.980885558066535e-06,0.00025913459173638375
115,0.0006025568805276349,2.6139003176177927e-05,8.815906008145927e-05
116,0.0001616545765997222,2.7338332064604324e-05,0.00045216536342285635
117,0.00021428686889797272,2.891298697740132e-05,9.744865118623309e-05
118,6.089498252275639e-05,2.0221867292516787e-05,1.6917676815951714e-05
119,0.0001244878292351319,2.0325301568196626e-05,0.0004174596279190435
120,8.586949761180209e-05,1.4195907217327853e-05,4.932315917140311e-05
121,9.444628108768982e-05,8.448309009452034e-06,8.822771232998752e-05
122,0.000133641311174103,7.432685545801654e-06,0.0003342230450362958
123,7.55292806006268e-05,8.666279579026901e-06,1.4727258833254627e-06
124,1.7080717173334675e-05,5.6028650189503076e-06,9.745204574512287e-06
125,2.455980633663422e-05,6.439823437322353e-06,9.520257018823938e-06
126,1.8359858316686448e-05,8.941273806536415e-06,5.2033975602644704e-06
127,2.5292881129976407e-05,8.763697422052408e-06,2.1554121309506517e-06
128,0.001986249237012949,6.853965882383127e-05,0.0018165055685920024
129,3.2349532233779406e-05,3.143047799883526e-06,7.916009770745623e-05
130,6.54500388975483e-06,8.050892376813128e-07,6.754035787463042e-07
131,3.032360199218721e-05,6.6584316526027805e-06,9.231227976082836e-05
132,6.772545908367856e-08,4.611853531655983e-06,1.355485648921278e-06
133,2.2632478435577796e-05,4.441047400474921e-06,4.336679830410439e-05
134,2.6333664503406063e-05,8.959923905632296e-06,2.9283528519778968e-05
135,3.043208368680291e-08,5.6078972535457436e-06,4.556127957148184e-06
