alternative,probability_1,probability_2,probability_3
trip_id,744821733.0,744822713.0,744822717.0
0,1.7949173114841896e-05,1.2708742544856605e-06,1.0508727955140896e-05
1,0.0004650695484550032,0.0005716859458428471,0.0003451968594113249
2,5.5926441422945674e-06,0.004554040747985582,0.0021109464162687
3,0.00812198433030848,0.0058567766066016875,0.0045618275240028976
4,0.007371499547095405,0.006241184719461497,0.08019875891767861
5,0.028701110316568065,0.008029556609453911,0.044387738739420216
6,0.05990140245785577,0.0018105657669319568,0.008441125173923193
7,0.04383491070927464,0.013494954389924289,0.0009268543336798919
8,0.062079466556472875,0.006702059729058269,0.00042602957249958796
9,0.01978741515376149,0.07664023669929307,0.0007998845260089627
10,0.021637428960556922,0.2575086821642034,3.185578860252333e-07
11,0.031524976135587725,0.0018558336363527729,0.009932825321747213
12,0.15175493478716107,0.004982611134847448,0.8108642070148069
13,0.055902534710826415,0.4490750710084388,0.0210705475180107
14,0.007047528291323186,0.03071500715546008,0.0030555500085054856
15,0.02661943460124628,0.03688261355593572,0.002854420947709247
16,0.31360239286990693,0.02933387340584712,0.0017882741541573079
17,0.028389972425829774,0.01235836004865209,0.0006267712510914305
18,0.016059301942082754,0.006713926467688753,0.005396954900750335
19,0.014688400652504971,0.005136431316414647,0.0003319543845186664
20,0.03173351813661792,0.026948131123703315,0.0017744972481293923
21,0.026616977170648776,0.003543528051996779,9.48079018387201e-05
22,0.028024055769101212,0.003175373096079181,0.0
23,0.016112140298306234,0.0025852296741117266,0.0
24,2.811251025400168e-09,0.0051615247890458875,0.0
25,0.0,0.00012147128241455938,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
