alternative,utility_1,utility_2,utility_3
trip_id,744821733.0,744822713.0,744822717.0
0,1.462779060411807,-2.026049036668989,-0.19238265872323268
1,4.7174219735374034,4.082835705202706,3.299526056860295
2,0.2966872008286061,6.158016104651736,5.110302859996607
3,7.577564791518723,6.40960057442881,5.880889790601968
4,7.480611443414034,6.473171212563612,8.74767451446681
5,8.839926100551937,6.725130498993874,8.156129751338927
6,9.575690209713361,5.235640564165858,6.4962820887241515
7,9.263420839611406,7.244317056003494,4.287207611445948
8,9.611405574543973,6.5444160907150195,3.5099199584469534
9,8.468036428873637,8.981123411429298,4.139878570334605
10,8.557414928880018,10.193054625993051,-3.6885398791477115
11,8.93377041639735,5.260335184075842,6.659011435985453
12,10.505257240147637,6.247955267208312,11.061267075705954
13,9.506600014343467,10.749191259091578,7.4110426877018
14,7.4356672499215035,8.066752556894047,5.480126086492445
15,8.764631864665047,8.249741451976773,5.412035476676046
16,11.23111621031835,8.020744126518709,4.944417469619069
17,8.829026290767176,7.1563339503937335,3.8959928388446623
18,8.259278533496468,6.546185135726131,6.049001361802262
19,8.170048402592185,6.278359731229446,3.26040875902253
20,8.94036376829142,7.935915138206344,4.936683616872723
21,8.76453954324377,5.907124045017833,2.0072639540902992
22,8.816053567487314,5.797426325332081,-999.0
23,8.262563335174852,5.591815542114674,-999.0
24,-7.298890677377866,6.28323322690964,-999.0
25,-999.0,2.5339237864485664,-999.0
26,-999.0,-999.0,-999.0
27,-999.0,-999.0,-999.0
28,-999.0,-999.0,-999.0
29,-999.0,-999.0,-999.0
