label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28
trip_id,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126,744822126
dest_taz,870,875,898,905,908,922,930,938,946,947,962,964,967,968,973,975,985,997,1002,1006,1017,1018,1022,1030,1043,1048,1071,1154
prob,0.00037369850906543434,0.0008608376956544816,0.010103196837008,0.0023103656712919474,0.003508971771225333,0.00944402813911438,0.005489925853908062,0.00663645938038826,0.0010808487422764301,0.004485985264182091,0.00557676050812006,0.0020094725769013166,0.006983277387917042,0.006758688949048519,0.015398782677948475,0.005470161326229572,0.006335138808935881,0.0068330904468894005,0.0044913822785019875,0.00685522286221385,0.009616789408028126,0.0072295996360480785,0.007206473033875227,0.00847926177084446,0.007189662661403418,0.005499233957380056,0.0007129297009669244,0.0017253729747608304
pick_count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
person_id,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799,2270799
household_id,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761
tour_id,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765,93102765
primary_purpose,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout
trip_num,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
outbound,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
trip_count,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
purpose,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr,othdiscr
destination,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974,974
origin,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,1026
failed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
next_trip_id,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127,744822127
destination_logsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tour_mode,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC
trip_period,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV,EV
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
hhsize,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
age,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
auto_ownership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tour_category,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory,non_mandatory
parent_tour_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duration,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
value_of_time,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981
tour_type,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout,eatout
free_parking_at_work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
c_cost,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024
parent_tour_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
work_tour_is_bike,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
