alternative,probability
trip_id,744822126.0
0,3.684523055774349e-06
1,8.04864255803812e-05
2,3.2658730560851985e-05
3,2.7275053280087762e-05
4,4.2174815597438544e-05
5,4.3395163886363316e-05
6,8.433691132324212e-05
7,4.1537499427294536e-05
8,0.00012452112076034516
9,3.5363409906189585e-05
10,2.9055369475924088e-05
11,6.817496873197619e-05
12,7.513134891981966e-05
13,0.00014388314463341387
14,3.929775482983415e-05
15,3.4352167802608335e-05
16,0.0004621646683567196
17,4.5659997906868674e-05
18,6.424463644060072e-05
19,3.7920101064395394e-05
20,5.235419960359173e-05
21,4.399532500318165e-05
22,0.0001196654033812497
23,0.00015381075448991162
24,7.430363396626568e-05
25,8.054497664163781e-05
26,5.915378913217699e-05
27,5.496665704758199e-05
28,2.560118717003413e-05
29,7.670062541512615e-05
30,4.712792390361606e-05
31,0.00012488716598075406
32,9.755495655160795e-05
33,9.192498769996558e-05
34,9.211518738808403e-05
35,0.00017758520000439278
36,0.00011503404901469711
37,4.697570288483908e-05
38,0.00011240343567382964
39,4.287426855446313e-05
40,7.131393367802155e-05
41,0.0001332174286755109
42,0.002472317976611694
43,4.4794889350025005e-05
44,9.504699180645234e-05
45,0.00020936622395095178
46,3.693760799518523e-05
47,6.834830760281222e-05
48,3.766001458511981e-05
49,0.00014879116958997442
50,5.207641979676628e-05
51,9.115982351123975e-05
52,6.317569627281283e-05
53,7.390384741320813e-05
54,4.768586604655831e-05
55,5.9473162091008006e-05
56,7.254473132824635e-05
57,4.9994380440618464e-05
58,4.6574491327840106e-05
59,5.582058428800166e-05
60,0.00010215466863039439
61,8.768408350251999e-05
62,8.978995802357928e-05
63,5.514026005501305e-05
64,3.774060985482598e-05
65,4.354147290563432e-05
66,8.41399718515887e-05
67,0.00010503404854082682
68,5.837698319422912e-05
69,8.944590279059203e-05
70,4.905611882951422e-05
71,0.00012539364752289648
72,2.2905341664195466e-05
73,4.9984227819452635e-05
74,4.507566886910713e-05
75,4.111514480429885e-05
76,5.784363063081397e-05
77,7.058948634115888e-05
78,0.0001540492913482198
79,7.480400834603671e-05
80,2.6410162740110243e-05
81,0.00011852339430635614
82,0.0001269378754023189
83,4.2027706847068665e-05
84,2.952695959456174e-05
85,8.437276445604228e-05
86,8.84832975858355e-05
87,5.271095705094733e-05
88,7.150808733490075e-05
89,0.00011011331371285839
90,4.618820002283956e-05
91,3.990460348496256e-05
92,8.654796847007801e-05
93,9.01430169127661e-05
94,7.158303212495512e-05
95,0.00010952211899896526
96,6.429934519605523e-05
97,5.6690245041260904e-05
98,4.203561738716725e-05
99,5.3701378301486247e-05
100,3.9906133727246535e-05
101,6.211205628184883e-05
102,4.613960721206989e-05
103,5.5943969734064434e-05
104,5.6406012630970334e-05
105,7.382257440498095e-05
106,7.603659618708973e-05
107,5.657761639220939e-05
108,7.445819443402705e-05
109,0.0008404648016264704
110,8.104751704039139e-05
111,4.039721353029349e-05
112,9.743088345179842e-05
113,7.222449228756792e-05
114,8.128392332503953e-05
115,9.370784776745666e-05
116,6.721782264046641e-05
117,7.159124305565343e-05
118,3.952772056241272e-05
119,6.839019914284249e-05
120,3.959775256668401e-05
121,6.406856131346406e-05
122,7.250426595658034e-05
123,3.026988505444244e-05
124,1.573557490380482e-05
125,1.5994926152389985e-05
126,2.8220049908678248e-05
127,2.5923976274649585e-05
128,0.0003187885964008683
129,1.9952670972184167e-05
130,6.644260229592072e-06
131,2.616108576877168e-05
132,2.430116988198105e-05
133,1.6685619672775004e-05
134,2.2094712536049724e-05
135,1.448713549607932e-05
136,3.4741606295059295e-05
137,1.0780270810894153e-05
138,1.782476420642793e-05
139,2.1329332300947462e-05
140,1.9884411421867008e-05
141,1.4682523454936404e-05
142,9.207904960790544e-06
143,1.4555934250555812e-05
144,1.4733843634275446e-05
145,1.5882686865636953e-05
146,1.1120982559406853e-05
147,9.908800204016346e-06
148,1.2136601039082923e-05
149,7.809941087406199e-06
150,1.6199723218995852e-05
151,2.5857223847845065e-05
152,8.397091452044662e-06
153,2.0504567060296223e-05
154,7.333900801057054e-05
155,1.2284557492215337e-05
156,7.280774024837214e-06
157,1.0360037988586005e-05
158,8.224741475573241e-06
159,9.155425648875336e-06
160,1.5544746892497264e-05
161,1.3437699915476619e-05
162,1.2825244001014065e-05
163,1.1855158218049552e-05
164,1.1187484808035451e-05
165,9.25629139180589e-06
166,1.3190647665141667e-05
167,7.342590828919972e-06
168,2.974082902352008e-05
169,3.679787726081791e-05
170,5.482657108293947e-05
171,6.334037524354992e-05
172,4.567171057410054e-05
173,7.332695418801123e-05
174,4.266270231780115e-05
175,7.959898357067294e-05
176,7.01110952114348e-05
177,3.570761998182311e-05
178,4.824390607346383e-05
179,4.368072156406059e-05
180,0.00011109038634520188
181,2.1097671942496566e-05
182,1.012388106753487e-05
183,1.830911653534777e-05
184,8.236738987230166e-05
185,3.7642330556248053e-05
186,3.75929394590137e-05
187,1.960386631094896e-05
188,4.4243353239775405e-05
189,1.486038352955467e-05
190,2.201199155664776e-05
191,1.0216274760512875e-05
192,2.2244724187609334e-05
193,7.555773906312105e-06
194,1.1508958128609591e-05
195,1.3017906554989703e-05
196,5.566045974416583e-06
197,9.123376461918138e-06
198,1.9515828629419182e-05
199,1.9718948428982502e-05
200,7.242696158353707e-06
201,1.2326704669285466e-05
202,1.161470056766942e-05
203,2.396635233885683e-05
204,2.3348245130943448e-05
205,9.42037633091247e-06
206,1.010428295105934e-05
207,1.7130488431098295e-05
208,2.2656797444633537e-06
209,2.1715153720795327e-06
210,0.00014826489523772307
211,4.189786836732806e-06
212,1.301609410953582e-06
213,9.668428323670456e-07
214,6.019173393584365e-07
215,9.090301945243942e-07
216,1.4823912946923236e-06
217,1.0652793694743621e-05
218,7.077408989540826e-07
219,5.785085932348191e-06
220,3.3455493900398075e-05
221,8.16137354122132e-06
222,6.786579817241287e-06
223,7.500595644901821e-06
224,1.0028701117578536e-06
225,0.0003436365767148576
226,5.374255707406972e-07
227,3.407851559022808e-07
228,4.292146818105617e-07
229,1.062065731473184e-06
230,1.010910586312165e-06
231,7.584650356872168e-07
232,5.317740181199866e-07
233,8.504324872650315e-07
234,8.62462444182665e-07
235,7.62434346833284e-07
236,7.644633814870284e-07
237,2.1423786025058486e-06
238,1.6455284239975323e-06
239,9.972049343245746e-07
240,2.7744050111526757e-06
241,2.1459317007668523e-06
242,1.945349655416383e-05
243,5.972478606000833e-06
244,3.0899800302905165e-06
245,5.923629093979449e-06
246,3.4172943654151318e-06
247,7.98204288299809e-06
248,4.849413682144625e-06
249,5.381533493884664e-06
250,5.317303492305714e-06
251,4.38648115580005e-06
252,3.0230050898240278e-06
253,2.9538864632483254e-06
254,1.604873859802313e-05
255,8.986787774416436e-06
256,4.051371751811341e-06
257,5.682343219231716e-06
258,4.9189407008696405e-06
259,1.2928154095601651e-05
260,3.017666095323688e-05
261,9.665238686617734e-06
262,7.476208276118342e-06
263,8.692033594234888e-06
264,7.981822291275073e-06
265,1.729048055953831e-05
266,1.4519946509804085e-05
267,7.899383727067465e-06
268,2.3194647450716448e-05
269,3.274960478623547e-05
270,3.364659919757842e-05
271,1.0811868377821936e-05
272,2.1478028294959854e-05
273,1.5156103191405721e-05
274,5.697668808173905e-06
275,5.8727480748247156e-06
276,2.4148535293962984e-05
277,9.400700849710789e-06
278,1.5316422178432293e-05
279,1.9499047743765604e-05
280,1.4324316632502971e-05
281,3.8838877905892175e-06
282,1.124691517973131e-05
283,7.464417001078607e-05
284,4.09538298318004e-06
285,1.4357186324583903e-05
286,3.4465251264829145e-06
287,2.6591182029236753e-06
288,1.0364692126642909e-05
289,4.316078773065196e-06
290,9.055501894275064e-06
291,9.82352369194083e-06
