label,value_1,value_2,value_3,value_4
trip_id,744822121,744822125,744822126,744822127
person_id,2270799,2270799,2270799,2270799
household_id,866761,866761,866761,866761
tour_id,93102765,93102765,93102765,93102765
primary_purpose,eatout,eatout,eatout,eatout
trip_num,1,1,2,3
outbound,True,False,False,False
trip_count,1,3,3,3
purpose,eatout,othdiscr,othdiscr,Home
destination,1026,1026,973,974
origin,974,1026,1026,973
destination_logsum,,12.980204125102846,13.233100857368335,
depart,14.0,21.0,21.0,21.0
hhsize,4,4,4,4
age,12,12,12,12
auto_ownership,0,0,0,0
number_of_participants,1,1,1,1
tour_category,non_mandatory,non_mandatory,non_mandatory,non_mandatory
parent_tour_id,,,,
tour_mode,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC
duration,7.0,7.0,7.0,7.0
value_of_time,5.775503166354981,5.775503166354981,5.775503166354981,5.775503166354981
tour_type,eatout,eatout,eatout,eatout
free_parking_at_work,False,False,False,False
trip_period,MD,EV,EV,EV
is_joint,False,False,False,False
is_indiv,True,True,True,True
is_atwork_subtour,False,False,False,False
c_cost,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024,-0.002898448761576024
parent_tour_mode,,,,
work_tour_is_SOV,False,False,False,False
work_tour_is_bike,False,False,False,False
i_tour_mode,9,9,9,9
tour_mode_is_SOV,False,False,False,False
tour_mode_is_auto,False,False,False,False
tour_mode_is_walk,False,False,False,False
tour_mode_is_bike,False,False,False,False
tour_mode_is_walk_transit,True,True,True,True
tour_mode_is_drive_transit,False,False,False,False
tour_mode_is_ride_hail,False,False,False,False
inbound,False,True,True,True
first_trip,True,True,False,False
last_trip,True,False,False,True
_origin_terminal_time,0,0,0,0
_dest_terminal_time,0,0,0,0
total_terminal_time,0,0,0,0
free_parking_available,False,False,False,False
dest_hourly_peak_parking_cost,248.25111144173528,248.25111144173528,2.2102464794070875,0.0
origin_hourly_peak_parking_cost,0.0,248.25111144173528,248.25111144173528,2.2102464794070875
origin_duration,0.0,7.0,1.0,1.0
dest_duration,0.0,1.0,1.0,7.0
origin_parking_cost,0.0,1737.757780092147,248.25111144173528,2.2102464794070875
dest_parking_cost,0.0,248.25111144173528,2.2102464794070875,0.0
total_parking_cost,0.0,993.0044457669411,125.23067896057118,1.1051232397035438
trip_topology,1,1,1,1
density_index,28.35188442665775,28.35188442665775,28.35188442665775,0.6861062229749499
origin_density_index,0.7773036051631254,28.35188442665775,0.6861062229749499,0.7773036051631254
_walk_transit_origin,True,True,True,True
_walk_transit_destination,True,True,True,True
walk_transit_available,True,True,True,True
drive_transit_available,False,False,False,False
origin_walk_time,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66
origin_density_measure,15357.201270933227,96364.83696813168,96364.83696813168,2949.5672620212044
origin_density,1,1,1,3
origin_zone_taxi_wait_time_mean,5.5,5.5,5.5,13.3
origin_zone_taxi_wait_time_sd,0,0,0,0
origTaxiWaitTime,5.5,5.5,5.5,13.300000000000002
origin_zone_singleTNC_wait_time_mean,3.0,3.0,3.0,8.4
origin_zone_singleTNC_wait_time_sd,0,0,0,0
origSingleTNCWaitTime,3.0000000000000004,3.0000000000000004,3.0000000000000004,8.4
origin_zone_sharedTNC_wait_time_mean,5.0,5.0,5.0,11.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0
origSharedTNCWaitTime,4.999999999999999,4.999999999999999,4.999999999999999,11.000000000000002
sov_available,True,True,True,True
hov2_available,True,True,True,True
hov3_available,True,True,True,True
sovtoll_available,True,True,True,True
hov2toll_available,True,True,True,True
hov3toll_available,True,True,True,True
walk_local_available,True,False,True,False
walk_lrf_available,False,False,False,False
walk_express_available,False,False,False,False
walk_heavyrail_available,False,False,False,False
walk_commuter_available,False,False,False,False
drive_local_available_outbound,False,False,False,False
drive_local_available_inbound,False,False,False,False
drive_lrf_available_outbound,False,False,False,False
drive_lrf_available_inbound,False,False,False,False
drive_express_available_outbound,False,False,False,False
drive_express_available_inbound,False,False,False,False
drive_heavyrail_available_outbound,False,False,False,False
drive_heavyrail_available_inbound,False,False,False,False
drive_commuter_available_outbound,False,False,False,False
drive_commuter_available_inbound,False,False,False,False
walk_ferry_available,False,False,False,False
_drive_ferry_available_outbound,False,False,False,False
_drive_ferry_available_inbound,False,False,False,False
drive_ferry_available,False,False,False,False
