label,value_1,value_2
trip_id,744821969,744821973
person_id,2270798,2270798
household_id,866761,866761
tour_id,93102746,93102746
primary_purpose,othmaint,othmaint
trip_num,1,1
outbound,True,False
trip_count,1,1
purpose,othmaint,Home
destination,999,974
origin,974,999
destination_logsum,,
depart,12.0,15.0
hhsize,4,4
age,3,3
auto_ownership,0,0
number_of_participants,1,1
tour_category,non_mandatory,non_mandatory
parent_tour_id,,
tour_mode,SHARED2PAY,SHARED2PAY
duration,3.0,3.0
value_of_time,5.775503166354981,5.775503166354981
tour_type,othmaint,othmaint
free_parking_at_work,False,False
trip_period,MD,MD
is_joint,False,False
is_indiv,True,True
is_atwork_subtour,False,False
c_cost,-0.001818023416759155,-0.001818023416759155
parent_tour_mode,,
work_tour_is_SOV,False,False
work_tour_is_bike,False,False
i_tour_mode,4,4
tour_mode_is_SOV,False,False
tour_mode_is_auto,True,True
tour_mode_is_walk,False,False
tour_mode_is_bike,False,False
tour_mode_is_walk_transit,False,False
tour_mode_is_drive_transit,False,False
tour_mode_is_ride_hail,False,False
inbound,False,True
first_trip,True,True
last_trip,True,True
_origin_terminal_time,0,0
_dest_terminal_time,0,0
total_terminal_time,0,0
free_parking_available,False,False
dest_hourly_peak_parking_cost,6.547036656269847,0.0
origin_hourly_peak_parking_cost,0.0,6.547036656269847
origin_duration,0.0,3.0
dest_duration,0.0,3.0
origin_parking_cost,0.0,19.64110996880954
dest_parking_cost,0.0,0.0
total_parking_cost,0.0,9.82055498440477
trip_topology,1,1
density_index,1.5753364769800993,1.5753364769800993
origin_density_index,0.7773036051631254,0.7773036051631254
_walk_transit_origin,True,True
_walk_transit_destination,True,True
walk_transit_available,True,True
drive_transit_available,False,False
origin_walk_time,6.66,6.66
destination_walk_time,6.66,6.66
origin_density_measure,15357.201270933227,6356.574755049302
origin_density,1,2
origin_zone_taxi_wait_time_mean,5.5,9.5
origin_zone_taxi_wait_time_sd,0,0
origTaxiWaitTime,5.5,9.500000000000002
origin_zone_singleTNC_wait_time_mean,3.0,6.3
origin_zone_singleTNC_wait_time_sd,0,0
origSingleTNCWaitTime,3.0000000000000004,6.299999999999999
origin_zone_sharedTNC_wait_time_mean,5.0,8.0
origin_zone_sharedTNC_wait_time_sd,0,0
origSharedTNCWaitTime,4.999999999999999,7.999999999999998
sov_available,True,True
hov2_available,True,True
hov3_available,True,True
sovtoll_available,True,True
hov2toll_available,True,True
hov3toll_available,True,True
walk_local_available,True,True
walk_lrf_available,False,False
walk_express_available,False,False
walk_heavyrail_available,False,False
walk_commuter_available,False,False
drive_local_available_outbound,False,False
drive_local_available_inbound,False,False
drive_lrf_available_outbound,False,False
drive_lrf_available_inbound,False,False
drive_express_available_outbound,False,False
drive_express_available_inbound,False,False
drive_heavyrail_available_outbound,False,False
drive_heavyrail_available_inbound,False,False
drive_commuter_available_outbound,False,False
drive_commuter_available_inbound,False,False
walk_ferry_available,False,False
_drive_ferry_available_outbound,False,False
_drive_ferry_available_inbound,False,False
drive_ferry_available,False,False
