label,value_1,value_2,value_3,value_4,value_5,value_6,value_7
trip_id,744821729,744821733,744821734,744822713,744822714,744822717,744822718
person_id,2270797,2270797,2270797,2270800,2270800,2270800,2270800
household_id,866761,866761,866761,866761,866761,866761,866761
tour_id,93102716,93102716,93102716,93102839,93102839,93102839,93102839
primary_purpose,work,work,work,work,work,work,work
trip_num,1,1,2,1,2,1,2
outbound,True,False,False,True,True,False,False
trip_count,1,2,2,2,2,2,2
purpose,work,othmaint,Home,escort,work,shopping,Home
destination,913,967,974,975,940,973,974
origin,974,913,967,974,975,940,973
destination_logsum,,12.390745570528386,,11.54975646829727,,11.270921753538127,
depart,6.0,18.0,19.0,8.0,8.0,17.0,17.0
hhsize,4,4,4,4,4,4,4
age,43,43,43,38,38,38,38
auto_ownership,0,0,0,0,0,0,0
number_of_participants,1,1,1,1,1,1,1
tour_category,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory,mandatory
parent_tour_id,,,,,,,
tour_mode,TNC_SINGLE,TNC_SINGLE,TNC_SINGLE,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC
duration,13.0,13.0,13.0,9.0,9.0,9.0,9.0
value_of_time,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026,8.658925286889026
tour_type,work,work,work,work,work,work,work
free_parking_at_work,False,False,False,False,False,False,False
trip_period,EA,PM,PM,AM,AM,PM,PM
is_joint,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False
c_cost,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648,-0.001524438606715648
parent_tour_mode,,,,,,,
work_tour_is_SOV,False,False,False,False,False,False,False
work_tour_is_bike,False,False,False,False,False,False,False
i_tour_mode,20,20,20,9,9,9,9
tour_mode_is_SOV,False,False,False,False,False,False,False
tour_mode_is_auto,False,False,False,False,False,False,False
tour_mode_is_walk,False,False,False,False,False,False,False
tour_mode_is_bike,False,False,False,False,False,False,False
tour_mode_is_walk_transit,False,False,False,True,True,True,True
tour_mode_is_drive_transit,False,False,False,False,False,False,False
tour_mode_is_ride_hail,True,True,True,False,False,False,False
inbound,False,True,True,False,False,True,True
