label,value_1,value_2,value_3
trip_id,744821733,744822126,744822717
person_id,2270797,2270799,2270800
household_id,866761,866761,866761
tour_id,93102716,93102765,93102839
primary_purpose,work,eatout,work
trip_num,1,2,1
outbound,False,False,False
trip_count,2,3,2
purpose,othmaint,othdiscr,shopping
destination,967,973,973
origin,913,1026,940
destination_logsum,12.390745570528386,13.233100857368335,11.270921753538127
chunk_id,209,907,211
earliest,6.0,14.0,8.0
latest,19.0,21.0,17.0
tour_hour,19,21,17
outbound_departure,,,
max_outbound_departure,6.0,14.0,8.0
next_trip_id,0,744822125,0
HR5,0.0,0.0,0.0
HR6,0.001186239,0.0,0.0
HR7,0.0,0.0,0.0014053660000000001
HR8,0.002728595,0.0,0.004415995
HR9,0.007883348,0.0,0.00337412
HR10,0.008718809000000001,0.0,0.003812259
HR11,0.009638123,0.0,0.014084323999999999
HR12,0.011693247,0.008825951,0.008465853
HR13,0.012706395,0.0,0.012498337
HR14,0.005992435999999999,0.0,0.015584378999999999
HR15,0.024678769,0.0,0.06625893
HR16,0.039878395,0.0,0.34857546
HR17,0.101249301,0.0,0.521524978
HR18,0.453611585,0.0,0.0
HR19,0.32003475600000003,0.022560857,0.0
HR20,0.0,0.06466295400000001,0.0
HR21,0.0,0.903950239,0.0
HR22,0.0,0.0,0.0
HR23,0.0,0.0,0.0
