label,value
trip_id,744822125
person_id,2270799
household_id,866761
tour_id,93102765
primary_purpose,eatout
trip_num,1
outbound,False
trip_count,3
purpose,othdiscr
destination,1026
origin,1026
destination_logsum,12.980204125102846
chunk_id,907
earliest,14.0
latest,21.0
tour_hour,21
outbound_departure,
max_outbound_departure,14.0
next_trip_id,0
HR5,0.0
HR6,0.0
HR7,0.0
HR8,0.0
HR9,0.0
HR10,0.0
HR11,0.001992088
HR12,0.0
HR13,0.0
HR14,0.0
HR15,0.0
HR16,0.0
HR17,0.004171801
HR18,0.008609329
HR19,0.045440515
HR20,0.297500935
HR21,0.642285332
HR22,0.0
HR23,0.0
