label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49,value_50,value_51
person_id,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270797,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800,2270800
alt_dest,78,110,114,301,442,496,737,807,820,861,871,907,913,918,919,940,942,945,955,965,983,993,999,1021,1030,1200,64,67,334,348,625,809,852,896,922,923,940,941,963,967,973,974,989,995,1004,1009,1025,1026,1041,1049,1157
prob,0.005509685724973679,0.002020861953496933,0.0010657659731805325,8.599327702540904e-05,0.00014332393766380847,0.00010966853733407333,4.232941864756867e-05,0.0018442022847011685,0.00018061685841530561,0.0012712128227576613,0.002659205812960863,0.0038900100626051426,0.0038985826540738344,0.006494383793324232,0.003934519365429878,0.023008743301033974,0.003021321026608348,0.019749199971556664,0.012170144356787205,0.004189026076346636,0.015050019137561321,0.0007728259661234915,0.008598643355071545,0.007775911595672369,0.0038769871462136507,0.0002698046446312219,3.0057151889195666e-05,0.0004503396921791136,0.00016327764024026692,0.0001288332132389769,0.0003745958092622459,0.0033100484870374203,0.00014818050840403885,0.0005895665381103754,0.022099776193499565,0.004815473686903715,0.023008743301033974,0.025186555460095406,0.006903761997818947,0.007060307543724775,0.03519339859485626,0.0014949446776881814,0.0037690585013478994,0.004285316914319992,0.007555358111858368,0.017919158563017845,0.0060555594973266125,0.014257621951401234,0.0011709219543263316,0.012845327146351337,0.0013996507041156292
pick_count,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1
hhsize,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
density_index,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254,0.7773036051631254
age,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
age_16_p,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
age_16_to_19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
auto_ownership,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
