alternative,utility_1,utility_2
person_id,2270797.0,2270800.0
0,9.377420800178264,9.389406092796301
1,10.120321897240478,9.338207615856987
2,9.330551624375115,9.347071830582777
3,9.181966354880476,9.195866722333788
4,9.047128753996718,9.141094743662228
5,8.07549689173077,9.55131952703037
6,9.515706752371017,9.693891568978238
7,9.454328727484233,10.504089798002461
8,9.632385734540765,9.882667802949307
9,9.703449050295077,9.888036958847582
10,9.743729622726024,9.999384646224255
11,9.859298522364643,11.308536837493053
12,9.871147552049713,10.363614019887908
13,11.012425038560355,9.575240001071592
14,9.89944530969434,10.03952159749758
15,9.999384646224255,10.02619927296034
16,9.968871797517764,9.859047500121523
17,10.580584074419844,9.882359340399585
18,9.282661674468823,9.845771613363542
19,8.993645212850133,9.872763948461127
20,9.900989845995436,9.202698057917075
21,9.871882130793677,9.363688711633264
22,9.910441834242873,9.777959172705634
23,9.469631721347977,9.604757133324576
24,9.698329328581352,9.828597221966524
25,9.440909140506928,-999.0
26,-999.0,-999.0
27,-999.0,-999.0
28,-999.0,-999.0
29,-999.0,-999.0
