TAZ,university,gradeschool,highschool
1,0,1097,0
2,0,975,0
3,0,958,139
4,0,1289,204
5,0,1230,0
6,0,1034,548
7,0,2843,345
8,0,1756,183
9,0,1839,425
10,0,1395,519
11,0,888,0
12,0,2200,241
13,0,2172,1368
14,0,3288,845
15,0,961,0
16,0,731,100
17,0,792,241
18,0,971,525
19,0,1519,790
20,0,1047,0
21,0,869,758
22,0,1499,169
23,0,1759,588
24,0,2112,595
25,0,873,625
26,0,1720,0
27,0,1210,130
28,0,1366,358
29,0,302,0
30,0,1246,0
31,0,1100,543
32,0,934,0
33,0,906,152
34,0,1679,402
35,0,1094,480
36,0,536,0
37,0,961,222
38,0,903,0
39,0,1195,303
40,0,706,378
41,0,785,0
42,0,432,0
43,0,863,161
44,0,757,474
45,0,1334,176
46,0,1174,1163
47,0,556,0
48,0,644,0
49,0,627,169
50,0,894,293
51,0,221,60
52,0,427,242
53,0,1114,108
54,0,808,159
55,0,907,1054
56,0,1406,151
57,0,1065,153
58,0,1474,0
59,0,893,409
60,0,1554,239
61,0,1558,186
62,0,2006,1171
63,0,647,0
64,0,1136,388
65,0,618,0
66,0,441,0
67,0,1038,197
68,0,872,112
69,0,833,0
70,0,517,178
71,0,553,139
72,0,951,0
73,0,550,0
74,0,1156,273
75,0,825,0
76,0,790,138
77,0,1009,266
78,0,1206,388
79,0,227,0
80,0,734,0
81,0,969,198
82,0,2321,441
83,48531,494,0
84,0,672,419
85,0,657,614
86,0,742,156
87,0,872,531
88,0,247,0
89,0,991,471
90,0,1404,149
91,0,618,0
92,0,484,0
93,0,1051,451
94,0,1260,0
95,0,1044,78
96,0,603,0
97,0,2329,214
98,0,1100,568
99,0,1157,247
100,0,921,0
101,0,873,333
102,0,2283,1002
103,0,520,0
104,0,997,346
105,0,1729,397
106,0,1743,772
107,0,1858,289
108,0,518,138
109,0,458,0
110,0,501,452
111,0,281,0
112,0,363,0
113,0,579,0
114,0,157,0
115,0,1039,0
116,0,472,134
117,0,1101,149
118,0,1384,1143
119,0,1174,197
120,0,1100,160
121,0,763,575
122,0,1174,422
123,0,874,0
124,0,475,532
125,0,835,80
126,0,1368,464
127,0,1213,136
128,0,1056,0
129,0,212,446
130,57026,238,0
131,0,56,121
132,0,998,122
133,0,586,60
134,0,1519,625
135,0,1164,898
136,0,2100,220
137,0,808,0
138,0,1288,216
139,0,1369,211
140,0,1878,141
141,0,1980,0
142,0,226,0
143,0,646,159
144,0,314,0
145,0,357,0
146,0,561,176
147,0,482,194
148,0,640,486
149,0,543,0
150,0,676,179
151,0,826,567
152,2548,904,84
153,0,515,36
154,0,1351,194
155,0,645,90
156,0,496,0
157,0,510,0
158,0,568,0
159,0,608,481
160,0,1053,147
161,0,1370,236
162,0,1144,0
163,0,2682,356
164,0,1273,127
165,0,1099,626
166,0,643,149
167,0,1691,398
168,0,605,350
169,0,3152,1156
170,0,1576,204
171,0,1898,272
172,0,1722,685
173,0,630,606
174,0,786,0
175,0,628,223
176,0,1780,0
177,0,989,0
178,0,1144,154
179,0,1843,463
180,0,505,289
181,0,1319,173
182,0,698,0
183,0,248,154
184,0,501,32
185,0,2632,430
186,0,621,0
187,0,1995,582
188,0,738,0
189,0,1361,355
190,0,789,0
191,0,659,111
192,0,687,500
193,0,2971,316
194,0,728,0
195,0,0,0
196,0,925,0
197,0,529,122
198,0,1005,411
199,0,2719,521
200,0,609,216
201,0,329,0
202,0,338,0
203,0,1168,304
204,0,668,112
205,0,1731,132
206,0,437,0
207,0,935,396
208,0,809,0
209,0,2225,812
210,0,2425,506
211,0,646,0
212,0,1773,411
213,0,517,219
214,0,375,0
215,0,458,0
216,0,739,79
217,0,811,124
218,0,235,108
219,0,61,112
220,0,564,0
221,0,773,577
222,0,574,0
223,0,553,113
224,0,574,252
225,0,2208,565
226,0,209,0
227,0,542,178
228,0,633,216
229,0,266,123
230,0,398,0
231,0,160,44
232,0,385,0
233,0,445,148
234,0,288,136
235,0,475,0
236,0,257,73
237,0,704,0
238,0,1040,708
239,0,467,0
240,0,494,0
241,0,486,0
242,0,355,98
243,0,1636,426
244,0,745,152
