TAZ,work_low,work_med,work_high,work_veryhigh
1,80,159,230,678
2,113,234,342,929
3,12,33,49,123
4,18,31,51,122
5,83,169,205,569
6,95,195,264,654
7,188,397,602,1495
8,53,123,156,379
9,409,807,1142,2930
10,100,162,241,544
11,17,25,46,122
12,85,193,273,641
13,168,350,455,1187
14,345,670,912,2208
15,49,119,187,423
16,37,72,105,229
17,31,49,87,150
18,68,132,194,384
19,64,154,218,511
20,88,139,221,511
21,135,310,406,989
22,22,49,66,177
23,1034,2670,4358,12032
24,446,928,1308,3185
25,184,394,526,1343
26,124,289,430,1151
27,75,137,187,528
28,81,146,202,496
29,45,100,153,362
30,210,438,691,1938
31,107,210,297,840
32,262,571,782,1858
33,99,196,291,817
34,84,209,343,915
35,144,270,384,971
36,825,1631,2620,7101
37,236,425,637,1617
38,24,48,71,197
39,180,367,493,1228
40,17,32,50,124
41,61,122,154,356
42,192,421,594,1352
43,139,252,356,829
44,33,52,89,185
45,81,164,232,617
46,685,1282,1919,5144
47,38,68,122,339
48,322,656,1122,3294
49,50,101,131,338
50,428,677,1059,2505
51,116,200,329,827
52,192,389,617,1549
53,40,82,122,360
54,439,838,1398,3593
55,69,118,214,490
56,80,138,256,742
57,145,294,547,1445
58,37,86,140,401
59,39,69,117,283
60,103,241,398,1105
61,275,531,855,2542
62,160,351,594,1483
63,726,1682,2977,8453
64,136,254,429,1108
65,7,21,38,82
66,123,217,300,795
67,106,180,269,673
68,121,227,384,1019
69,167,341,459,1261
70,325,701,1109,3619
71,32,68,104,210
72,245,413,605,1573
73,10,10,19,54
74,63,127,167,457
75,31,75,111,230
76,62,142,214,546
77,289,628,1051,2824
78,145,306,417,1031
79,1710,3944,6072,17530
80,87,238,375,1152
81,37,72,104,257
82,131,262,398,993
83,686,1316,1847,4541
84,73,125,184,480
85,49,96,137,359
86,148,292,435,1158
87,80,118,183,567
88,336,668,988,3371
89,106,226,343,821
90,241,438,669,1712
91,31,68,121,273
92,22,36,69,173
93,335,522,787,1980
94,245,552,887,2243
95,174,390,579,1531
96,543,1056,1725,4625
97,182,361,481,1189
98,209,372,579,1516
99,73,155,210,575
100,135,268,356,984
101,181,341,545,1356
102,62,124,198,539
103,190,333,549,1477
104,109,197,302,654
105,114,175,287,735
106,186,363,492,1246
107,109,220,292,849
108,74,196,266,690
109,200,439,831,2282
110,166,386,683,2034
111,363,819,1519,3983
112,22,41,67,140
113,267,454,837,2056
114,537,1287,1967,6122
115,225,532,804,2101
116,765,1407,1832,4654
117,191,323,494,1242
118,304,600,795,1877
119,90,172,233,653
120,265,575,983,2690
121,182,342,510,1377
122,187,331,495,1387
123,284,611,1042,2711
124,129,237,320,748
125,49,86,160,425
126,98,179,273,737
127,77,139,207,556
128,63,114,159,430
129,2421,4226,6066,14018
130,74,122,209,598
131,12,29,25,69
132,102,220,323,894
133,40,87,113,313
134,125,198,303,689
135,48,84,162,353
136,39,63,108,276
137,103,174,249,652
138,32,63,97,243
139,75,182,268,762
140,453,1099,1978,5629
141,55,114,158,392
142,15,30,50,147
143,36,60,105,308
144,16,48,69,191
145,55,131,234,623
146,53,101,162,398
147,28,61,93,274
148,50,104,146,377
149,35,76,158,387
150,16,38,51,122
151,74,133,241,566
152,443,1058,1897,5271
153,90,171,225,600
154,82,156,234,594
155,985,1868,3221,9719
156,11,18,36,92
157,35,72,109,258
158,73,145,260,613
159,43,66,99,237
160,29,54,101,233
161,117,242,308,760
162,129,240,329,721
163,67,113,197,416
164,98,156,231,533
165,54,94,145,284
166,51,106,121,338
167,74,169,232,557
168,57,123,153,376
169,759,1773,2810,7207
170,89,200,323,863
171,108,223,299,746
172,199,372,536,1426
173,202,384,595,1306
174,125,251,365,911
175,41,71,125,238
176,60,124,219,604
177,51,122,212,558
178,35,75,123,292
179,50,114,185,462
180,295,707,1236,3561
181,939,1937,3143,7694
182,25,56,71,216
183,199,446,709,2234
184,26,29,59,164
185,503,960,1334,3325
186,113,187,270,583
187,115,220,328,823
188,24,32,47,108
189,165,339,470,1208
190,29,65,119,262
191,9,10,21,34
192,121,260,429,898
193,53,120,165,320
194,65,123,166,379
195,196,491,777,1644
196,107,235,383,906
197,32,47,84,159
198,71,155,168,315
199,157,331,522,1014
200,155,305,513,1121
201,168,421,646,1478
202,70,120,159,373
203,21,69,79,147
204,545,1022,1391,3046
205,468,1069,1581,3809
206,53,89,207,415
207,25,49,88,192
208,84,155,261,538
209,175,295,439,915
210,301,636,956,2001
211,471,958,1416,2990
212,186,388,503,1074
213,44,99,160,319
214,7,31,50,95
215,32,52,76,136
216,35,47,67,111
217,32,76,108,227
218,166,289,345,629
219,247,463,604,1220
220,60,121,171,341
221,1022,1760,2149,4243
222,163,368,514,1170
223,23,47,86,118
224,151,265,348,658
225,137,220,241,488
226,9,24,33,56
227,25,48,87,116
228,73,139,189,364
229,20,32,40,69
230,102,259,366,776
231,73,150,236,449
232,73,129,189,349
233,25,64,101,225
234,37,76,85,210
235,23,49,74,118
236,10,17,27,53
237,5,3,15,19
238,123,145,207,381
239,8,19,13,47
240,8,15,20,54
241,67,105,150,323
242,66,135,165,341
243,138,287,352,621
244,41,102,138,236
245,127,242,308,647
246,326,635,850,1474
247,83,176,234,467
248,182,413,576,1143
249,21,54,83,157
250,38,87,141,226
251,23,51,73,126
252,17,29,35,94
253,41,104,142,237
254,22,36,59,107
255,224,485,732,1406
256,15,54,66,106
257,51,72,110,181
258,16,32,28,110
259,34,47,60,126
260,176,383,458,967
261,486,1047,1400,2774
262,37,96,105,231
263,19,79,107,188
264,58,99,128,207
265,24,44,94,203
266,244,433,554,1016
267,21,32,61,122
268,55,80,117,219
269,42,80,97,273
270,374,635,876,1620
271,481,973,1399,2799
272,46,83,107,205
273,69,160,189,375
274,46,107,176,350
275,380,826,1310,2810
276,142,308,480,924
277,707,1762,2836,6259
278,227,491,768,1561
279,545,1351,2088,4734
280,173,443,632,1418
281,39,122,148,246
282,6,5,17,28
283,357,872,1381,3054
284,2832,5313,7305,14248
285,57,149,209,559
286,289,568,754,1625
287,301,706,1156,2323
288,43,116,217,398
289,470,1046,1567,3183
290,20,35,53,114
291,171,307,406,668
292,140,296,478,907
293,30,86,119,173
294,62,68,127,249
295,26,82,135,243
296,170,397,752,1671
297,0,4,3,7
298,31,37,81,140
299,8,25,36,82
300,23,46,46,105
301,172,376,551,1033
302,114,192,337,617
303,14,24,35,73
304,143,306,397,824
305,137,213,258,536
306,271,485,635,1184
307,16,53,70,125
308,45,119,174,340
309,27,72,89,118
310,214,444,622,1210
