coefficient_name,value,constrain
coef_cars1_drivers_2,0.032537516206502914,T
coef_cars1_drivers_3,-0.004732431843876839,T
coef_cars1_persons_16_17,0.0,T
coef_cars234_asc_marin,0.0,T
coef_cars1_persons_25_34,0.0,T
coef_cars1_num_workers_clip_3,0.0,T
coef_cars1_hh_income_30_up,0.0,T
coef_cars1_density_0_10_no_workers,0.0,T
coef_cars1_density_10_up_workers,-0.015200000256299973,F
coef_retail_non_motor,-0.029999999329447746,T
coef_cars4_asc,-5.29932975769043,F
coef_cars3_asc,-3.0924885272979736,F
coef_cars34_persons_16_17,-1.7312999963760376,F
coef_cars2_asc,-0.8602383136749268,F
coef_cars34_persons_18_24,-1.010699987411499,F
coef_cars2_persons_18_24,-1.0095000267028809,F
coef_cars2_persons_16_17,-0.8809999823570251,F
coef_cars34_persons_25_34,-0.8596000075340271,F
coef_cars1_asc_county,0.0,F
coef_retail_transit_workers,-0.5116999745368958,F
coef_cars2_persons_25_34,-0.48489999771118164,F
coef_cars2_asc_county,0.0,F
coef_cars1_persons_18_24,-0.40869998931884766,F
coef_cars34_density_0_10_no_workers,-0.3653999865055084,F
coef_retail_transit_no_workers,-0.3052999973297119,F
coef_cars1_asc_marin,0.0,F
coef_cars34_asc_county,0.0,F
coef_cars2_density_0_10_no_workers,-0.20280000567436218,F
coef_cars34_density_10_up_no_workers,-0.17659999430179596,F
coef_cars2_density_10_up_no_workers,-0.11060000211000443,F
coef_cars2_density_10_up_workers,,F
coef_cars1_density_10_up_no_workers,-0.015200000256299973,F
coef_cars2_hh_income_30_up,0.008299999870359898,F
coef_cars3_hh_income_30_up,0.010999999940395355,F
coef_cars4_hh_income_30_up,0.014700000174343586,F
coef_cars1_presence_children_5_17,0.015799999237060547,F
coef_cars1_hh_income_0_30k,0.03830000013113022,F
coef_cars2_hh_income_0_30k,0.05400000140070915,F
coef_cars3_hh_income_0_30k,0.05590000003576279,F
coef_cars4_hh_income_0_30k,0.061900001019239426,F
coef_retail_auto_no_workers,0.06260000169277191,F
coef_cars34_asc_san_francisco,0.0,F
coef_retail_auto_workers,0.16459999978542328,F
coef_cars2_presence_children_5_17,0.2935999929904938,F
coef_cars2_num_workers_clip_3,0.2935999929904938,F
coef_cars1_presence_children_0_4,0.3668999969959259,F
coef_cars1_asc_san_francisco,0.0,F
coef_cars2_asc_san_francisco,0.0,F
coef_cars1_auto_time_saving_per_worker,0.4706999957561493,F
coef_cars34_presence_children_5_17,0.47690001130104065,F
coef_cars3_auto_time_saving_per_worker,0.5705000162124634,F
coef_cars2_auto_time_saving_per_worker,0.6141999959945679,F
coef_cars3_num_workers_clip_3,0.6388999819755554,F
coef_cars234_presence_children_0_4,0.7627000212669373,F
coef_cars4_auto_time_saving_per_worker,0.7692999839782715,F
coef_cars4_num_workers_clip_3,0.8797000050544739,F
coef_cars1_asc,1.9508708715438843,F
coef_cars1_drivers_4_up,1.9252935647964478,F
coef_cars4_drivers_2,2.600102186203003,F
coef_cars2_drivers_2,3.511446237564087,F
coef_cars3_drivers_2,3.266700267791748,F
coef_cars2_drivers_3,3.274542808532715,F
coef_cars4_drivers_3,5.299615383148193,F
coef_cars3_drivers_3,5.911742210388184,F
coef_cars2_drivers_4_up,5.920119762420654,F
coef_cars3_drivers_4_up,8.578978538513184,F
coef_cars4_drivers_4_up,9.902994155883789,F
