coefficient_name,value,constrain
coef_nest_root,1.0,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_DRIVEACCESS,0.5,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
coef_ivt_school_univ,-0.0224,F
coef_ivt_work,-0.0134,F
coef_ivt_atwork,-0.0188,F
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15.0,F
coef_topology_walk_multiplier_atwork,7.5,F
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20.0,F
coef_topology_bike_multiplier_atwork,10.0,F
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,F
coef_topology_trn_multiplier_atwork,2.0,F
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age1619_da_multiplier_school_univ,-1.3813,F
coef_age1619_da_multiplier_atwork,0.0032336,F
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age010_trn_multiplier_school_univ,-1.5548,F
coef_age010_trn_multiplier_atwork,0.000722,F
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
coef_age16p_sr_multiplier_school_univ_work_atwork,0.0,F
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0.0,F
coef_hhsize1_sr_multiplier_work,-0.734588,F
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0.0,F
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
walk_ASC_no_auto_eatout,4.202596186,F
walk_ASC_no_auto_escort,2.2801823352,F
walk_ASC_no_auto_othdiscr,2.5218110312,F
walk_ASC_no_auto_othmaint,0.986071034,F
walk_ASC_no_auto_school,13.995063319999998,F
walk_ASC_no_auto_shopping,1.7779042204,F
walk_ASC_no_auto_social,1.823257304,F
walk_ASC_no_auto_univ,4.486276899999999,F
walk_ASC_no_auto_work,5.7672156999999995,F
walk_ASC_no_auto_atwork,5.06860188,F
walk_ASC_auto_deficient_eatout,3.19601448,F
walk_ASC_auto_deficient_escort,-0.631432592,F
walk_ASC_auto_deficient_othdiscr,1.9119963749999997,F
walk_ASC_auto_deficient_othmaint,1.327969188,F
walk_ASC_auto_deficient_school,3.061920656,F
walk_ASC_auto_deficient_shopping,2.8286359318000005,F
walk_ASC_auto_deficient_social,3.38681712,F
walk_ASC_auto_deficient_univ,3.53263344,F
walk_ASC_auto_deficient_work,2.184947947,F
walk_ASC_auto_deficient_atwork,0.83661668072,F
walk_ASC_auto_sufficient_eatout,1.4585888820000001,F
walk_ASC_auto_sufficient_escort,-0.6849959703999999,F
walk_ASC_auto_sufficient_othdiscr,1.4149493119999998,F
walk_ASC_auto_sufficient_othmaint,0.6559699880000001,F
walk_ASC_auto_sufficient_school,0.49224105599999995,F
walk_ASC_auto_sufficient_shopping,0.533824399,F
walk_ASC_auto_sufficient_social,1.502352368,F
walk_ASC_auto_sufficient_univ,1.1626000840000001,F
walk_ASC_auto_sufficient_work,0.042718800274,F
walk_ASC_auto_sufficient_atwork,0.4740512,F
bike_ASC_no_auto_eatout,0.86807096,F
bike_ASC_no_auto_escort,-0.716212,F
bike_ASC_no_auto_othdiscr,-0.3764232,F
bike_ASC_no_auto_othmaint,1.5394334,F
