Expression,eatout,escort,othdiscr,othmaint,school,shopping,social,univ,work,atwork
c_ivt,-0.0175,-0.0175,-0.0175,-0.0175,-0.0224,-0.0175,-0.0175,-0.0224,-0.0134,-0.0188
c_ivt_lrt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,0.90 * c_ivt,-0.01692
c_ivt_ferry,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,-0.01504
c_ivt_exp,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,-0.0188
c_ivt_hvy,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,0.80 * c_ivt,-0.01504
c_ivt_com,0.70 * c_ivt,0.70 * c_ivt,0.70 * c_ivt,0.70 * c_ivt,0.70 * c_ivt,0.70 * c_ivt,0.70 * c_ivt,0.70 * c_ivt,0.70 * c_ivt,-0.01316
c_walktimeshort,1.6* c_ivt,1.6* c_ivt,1.6* c_ivt,1.6* c_ivt,1.6* c_ivt,1.6* c_ivt,1.6* c_ivt,1.6* c_ivt,1.6* c_ivt,-0.0376
c_walktimelong,8.0* c_ivt,8.0* c_ivt,8.0* c_ivt,8.0* c_ivt,8.0* c_ivt,8.0* c_ivt,8.0* c_ivt,8.0* c_ivt,8.0* c_ivt,-0.188
c_biketimeshort,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,4.00 * c_ivt,-0.0752
c_biketimelong,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,-0.376
#value_of_time is a person attribute so we cant compute c_cost as scalar here,,,,,,,,,,
#c_cost,(0.60 * c_ivt) / valueOfTime,(0.60 * c_ivt) / valueOfTime,(0.60 * c_ivt) / valueOfTime,(0.60 * c_ivt) / valueOfTime,(0.60 * c_ivt) / valueOfTime,(0.60 * c_ivt) / valueOfTime,(0.60 * c_ivt) / valueOfTime,(0.60 * c_ivt) / valueOfTime,(0.60 * c_ivt) / valueOfTime,(0.6*c_ivt) / valueOfTime
c_short_i_wait,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_long_i_wait,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,1.00 * c_ivt,-0.0188
c_wacc,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,-0.0376
c_wegr,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,2.4* c_ivt,-0.0376
c_waux,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_dtim,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_xwait,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,2.00 * c_ivt,-0.0376
c_dacc_ratio,0,0,0,0,0,0,0,0,0,0
c_xfers_wlk,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,-0.188
c_xfers_drv,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,-0.376
c_drvtrn_distpen_0,270.00 * c_ivt,270.00 * c_ivt,270.00 * c_ivt,270.00 * c_ivt,270.00 * c_ivt,270.00 * c_ivt,270.00 * c_ivt,270.00 * c_ivt,270.00 * c_ivt,-5.076
c_drvtrn_distpen_max,15,15,15,15,15,15,15,15,15,15
c_topology_walk,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,-0.141
c_topology_bike,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,-0.188
c_topology_trn,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,-0.0376
c_density_index,0,0,0,0,0,0,0,0,0,0.00376
c_age1619_da,0,0,0,0,61.66517857 * c_ivt,0,0,61.66517857 * c_ivt,0,-0.172
c_age010_trn,0,0,0,0,69.41071429 * c_ivt,0,0,69.41071429 * c_ivt,0,-0.0384
c_age16p_sr,78.05714286 * c_ivt,78.05714286 * c_ivt,78.05714286 * c_ivt,78.05714286 * c_ivt,0,78.05714286 * c_ivt,78.05714286 * c_ivt,0,0,0
c_hhsize1_sr,0,0,0,0,0,0,0,0,54.82 * c_ivt,0
c_hhsize2_sr,0,0,0,0,28.38839286 * c_ivt,0,0,28.38839286 * c_ivt,0,0
#indiv tour ASCs,,,,,,,,,,
walk_ASC_no_auto,6.150140533199999,3.3614480843999996,3.919913682,1.5447588119999998,22.097468904,2.8522529075999996,2.2417097784,7.6907603208,6.9206586732,6.669212684
walk_ASC_auto_decicient,3.9295261596,-0.7216372448000001,2.6992890395999996,1.6428485064,3.9088348944,2.7242078376000003,3.444220722,5.407091863200001,2.8812499716,0.925460911
walk_ASC_auto_sufficient,1.8620284571999999,-0.6492852848,1.5160171787999999,0.9599560811999999,0.7772226996,0.8775195767999999,2.0486623368,1.2729197016,0.0639184032,0.677215999
bike_ASC_no_auto,0.868070976,-0.716211996,-0.376423218,1.539433341,12.09873445,0.834155474,0.020583211,4.29451543,3.194008732,-0.907258478
bike_ASC_auto_decicient,-1.569110587,-4.527927892,-0.092468342,-1.518464864,-0.528067855,-0.875844687,0.634521411,-0.66923499,0.253189685,-0.807408302
bike_ASC_auto_sufficient,-1.200347041,-5.063108669,-1.071459675,-2.808302294,-2.113468744,-2.566210272,-1.368070919,-1.939783244,-1.580023134,15.72017028
sr2_ASC_no_auto,0,0,0,0,0,0,0,0,0,0
sr2_ASC_auto_decicient,0.7058813543999999,0.0,0.7921815431999999,0.31458325559999994,0.149692374,0.29291706479999996,2.2270233468,-1.3537877464,-0.270424996,-2.110242203
sr2_ASC_auto_sufficient,1.035366642,0.0,0.5962154028,0.30981458399999995,-1.285012564,0.2372484816,0.6283229616,-1.487541604,-0.868596676,-1.445061795
sr3p_ASC_no_auto,0.38639973,-1.4503413360000001,0.3266028324,-0.6425483024,-4.8192662544000004,-0.22383158000000003,-1.1229521824000002,-4.844801112,-0.46650152880000006,0.582662586
sr3p_ASC_auto_decicient,0.0552628308,-0.3265501296,1.2565159056,-1.0795140072,0.8579485128,-0.058696132000000005,1.8008692439999998,-1.3821937416,-0.6821634024000001,-2.514658092
sr3p_ASC_auto_sufficient,1.0162314636,-0.04593002560000001,0.7062024708,-0.06039893760000001,-0.8161547504,-0.0620570368,0.6074146020000001,-1.5237678656,-1.1759761624,-1.652174009
walk_transit_ASC_no_auto,1.8155457123999996,-3.3258123779999997,1.5706449940999998,1.7950419577999996,14.968624572999998,1.4747233731999998,0.9670255238,6.150226401199999,3.5247915114999997,2.704187734
walk_transit_ASC_auto_decicient,-0.058444856999999996,-7.441055577,0.6671618884,-4.589588517,2.8844955832,-1.271485347,0.6821114243999999,2.1953789228,0.45712000039999995,-2.998829183
walk_transit_ASC_auto_sufficient,-1.6690358145,-7.402270518,-1.209551865,-2.3206759244999997,0.5221361236,-3.3055197555,-0.5180638605,0.3311814177,-1.337475975,-3.401027004
drive_transit_ASC_no_auto,0,0,0,0,0,0,0,0,0,0
drive_transit_ASC_auto_decicient,0.4198642672,-1.730560086,0.2239515628,-0.449148402,3.7276859375,-0.6277376565,1.093903594,1.2950823263,0.0705709655,-998.8195926
drive_transit_ASC_auto_sufficient,-1.454273748,-6.902136930000001,-0.567887511,-3.937421508,0.9809450294,-3.257840793,-0.923783673,0.9511426995,-1.5068189789999997,-999.2146659
joint_walk_ASC_no_auto,-0.170197608,-0.170197608,-0.170197608,-0.170197608,-0.170197608,-0.170197608,-0.170197608,-0.170197608,-0.170197608,-0.21274701
joint_walk_ASC_auto_decicient,-1.5686164656000001,-1.5686164656000001,-1.5686164656000001,-1.5686164656000001,-1.5686164656000001,-1.5686164656000001,-1.5686164656000001,-1.5686164656000001,-1.5686164656000001,-1.960770582
joint_walk_ASC_auto_sufficient,-2.5881724856000003,-2.5881724856000003,-2.5881724856000003,-2.5881724856000003,-2.5881724856000003,-2.5881724856000003,-2.5881724856000003,-2.5881724856000003,-2.5881724856000003,-3.235215607
joint_bike_ASC_no_auto,-2.867159872,-2.867159872,-2.867159872,-2.867159872,-2.867159872,-2.867159872,-2.867159872,-2.867159872,-2.867159872,-2.867159872
joint_bike_ASC_auto_decicient,-6.076415164,-6.076415164,-6.076415164,-6.076415164,-6.076415164,-6.076415164,-6.076415164,-6.076415164,-6.076415164,-6.076415164
joint_bike_ASC_auto_sufficient,-6.376065819,-6.376065819,-6.376065819,-6.376065819,-6.376065819,-6.376065819,-6.376065819,-6.376065819,-6.376065819,-6.376065819
joint_sr2_ASC_no_auto,0,0,0,0,0,0,0,0,0,0
joint_sr2_ASC_auto_decicient,0,0,0,0,0,0,0,0,0,0
joint_sr2_ASC_auto_sufficient,0,0,0,0,0,0,0,0,0,0
joint_sr3p_ASC_no_auto,0.563067095,0.563067095,0.563067095,0.563067095,0.563067095,0.563067095,0.563067095,0.563067095,0.563067095,0.563067095
