TAZ,work_low,work_med,work_high,work_veryhigh
0,102.003,117.751,129.188,125.96399999999998
1,199.31799999999998,197.591,197.725,194.046
2,19.375,21.415000000000003,23.054000000000002,21.641000000000002
3,25.305,24.245,23.665999999999997,22.652
4,100.066,106.063,110.61299999999999,107.457
5,149.842,137.781,129.426,114.727
6,252.373,270.843,282.764,271.49
7,78.237,75.902,74.133,67.576
8,609.288,599.89,589.789,545.385
9,129.082,118.94600000000001,111.976,100.10999999999999
10,17.285,19.779000000000003,21.8,21.531999999999996
11,143.992,134.501,127.79299999999999,113.761
12,275.442,250.96300000000002,234.918,216.24
13,645.677,562.8960000000001,504.9789999999999,441.346
14,55.194,56.71600000000001,57.272999999999996,52.269000000000005
15,67.608,62.495999999999995,59.044999999999995,52.306
16,43.838,39.808,37.071,32.609
17,109.14099999999999,100.78,94.28899999999999,83.068
18,115.769,110.99600000000001,108.189,100.74799999999999
19,123.27000000000001,113.32100000000001,106.02399999999999,96.988
20,269.0,237.321,215.416,192.47599999999997
21,33.799,32.49,31.665,29.963
22,1966.443,2331.75,2561.1099999999997,2591.526
23,799.0419999999999,731.041,681.6089999999999,611.8389999999999
24,356.309,316.94899999999996,290.691,266.336
25,182.00400000000002,206.30300000000003,224.23000000000002,219.71999999999997
26,118.837,114.75800000000001,111.976,103.23599999999999
27,120.36699999999999,106.538,97.06099999999998,85.862
28,63.57700000000001,69.73500000000001,73.97200000000001,75.027
29,307.797,327.53,345.813,350.984
30,170.265,164.5,161.147,153.082
31,489.379,452.48900000000003,425.271,379.545
32,184.08499999999998,184.914,186.422,174.35799999999998
33,174.19099999999997,178.32100000000003,183.976,191.549
34,218.361,211.618,207.509,194.691
35,1447.56,1497.103,1537.594,1522.614
36,403.45799999999997,382.185,367.928,344.46299999999997
37,43.79900000000001,41.661,40.331,37.951
38,339.64099999999996,317.942,302.32599999999996,276.633
39,28.253999999999998,27.52,27.177999999999997,25.954
40,117.203,105.846,98.116,87.813
41,648.087,604.7429999999999,573.135,524.3689999999999
42,261.663,233.14300000000003,212.877,186.62800000000001
43,53.88499999999999,48.10600000000001,44.161,39.114999999999995
44,147.318,140.715,136.79999999999998,130.04999999999998
45,1128.8870000000002,1093.926,1074.4009999999998,1009.516
46,69.70100000000001,71.029,72.169,69.601
47,549.281,592.173,627.896,656.998
48,89.499,80.012,73.536,65.797
49,829.487,725.438,653.314,572.564
50,222.089,213.81100000000004,209.52999999999997,200.599
51,554.643,503.58000000000004,467.82399999999996,425.26
52,96.53099999999999,90.87400000000001,87.64099999999999,85.338
53,1128.8919999999998,1065.532,1025.443,984.593
54,193.008,168.38300000000004,151.44999999999996,134.882
55,181.31,186.845,191.014,184.25900000000001
56,369.749,378.243,385.151,380.63300000000004
57,101.127,95.868,92.39,90.494
58,86.93799999999999,80.32300000000001,75.57,68.75200000000001
59,262.418,249.954,243.659,249.548
60,581.726,570.028,568.2349999999999,584.1400000000001
61,364.826,348.52,339.613,344.79999999999995
62,1633.375,1807.899,1922.049,1972.5529999999999
63,246.599,259.192,266.216,257.361
64,16.988,17.745,18.575000000000003,19.554000000000002
65,232.514,209.54600000000002,193.216,172.675
66,179.05599999999998,172.79,167.48199999999997,151.346
67,236.994,236.019,236.23499999999999,228.23000000000002
68,279.38,266.92,259.69599999999997,246.54199999999997
69,693.63,715.0840000000001,739.386,807.3340000000001
70,63.785,61.075,59.101,52.973
71,420.46500000000003,374.12300000000005,341.77299999999997,307.334
72,8.225,8.876000000000001,9.388,9.088
73,102.07199999999999,96.0,91.56899999999999,82.899
74,64.962,58.632000000000005,54.38099999999999,49.07599999999999
75,101.392,104.96700000000001,107.07,100.232
76,423.10699999999997,476.235,512.72,521.079
77,253.897,245.40300000000002,239.69299999999998,222.06199999999998
78,2474.5119999999997,2723.566,2919.844,3095.4120000000003
79,169.836,199.04000000000002,219.95,231.489
80,55.995999999999995,52.721000000000004,50.455999999999996,45.053
81,188.85399999999998,190.127,191.88099999999997,185.603
82,1203.943,1091.448,1015.222,923.802
83,113.50399999999999,107.108,103.041,94.543
84,85.071,78.188,73.585,67.613
85,256.221,252.404,251.23799999999997,242.443
86,121.725,117.73500000000001,115.687,110.071
87,595.523,592.821,605.8039999999999,713.673
88,190.531,183.296,178.438,165.89299999999997
89,420.432,399.63000000000005,384.448,352.548
90,55.84,57.53300000000001,59.56699999999999,62.131
91,35.72,36.214000000000006,36.749,35.037
92,542.723,493.49600000000004,459.28099999999995,421.806
93,448.403,468.92600000000004,482.80999999999995,463.20899999999995
94,397.928,366.154,346.085,326.247
95,982.034,1038.268,1085.1029999999998,1075.761
96,285.185,265.97900000000004,253.747,235.517
97,308.411,302.00600000000003,296.195,276.427
98,106.773,108.58700000000002,110.859,106.699
99,245.87300000000002,228.845,216.34499999999997,203.96
100,284.573,287.606,289.317,274.804
101,103.25399999999999,97.985,94.84299999999999,89.87599999999999
102,291.568,293.986,297.58799999999997,302.16499999999996
103,175.447,157.071,144.33599999999998,129.364
104,141.30200000000002,136.24,133.944,129.887
105,259.089,244.964,236.30599999999998,219.901
106,144.94,152.562,158.364,157.105
107,160.42600000000002,166.446,170.05599999999998,161.685
108,471.74300000000005,497.69000000000005,523.5169999999999,572.8919999999999
109,331.624,378.621,410.897,435.422
110,803.563,885.633,948.447,959.097
111,36.294,36.961,37.44,34.656
112,547.908,537.4179999999999,530.0899999999999,526.019
113,1194.856,1221.245,1264.1209999999999,1393.59
114,468.97299999999996,484.82500000000005,499.39300000000003,474.449
115,1464.1200000000001,1265.86,1126.8369999999998,977.3870000000001
116,317.387,302.16700000000003,291.10699999999997,267.268
117,514.3820000000001,456.689,417.193,377.75199999999995
118,165.38500000000002,149.765,139.292,129.028
119,508.288,526.4950000000001,544.137,548.777
120,312.66,298.71400000000006,291.35499999999996,282.31600000000003
121,326.428,312.51800000000003,305.456,300.74
122,598.985,614.2740000000001,628.941,615.1469999999999
123,235.988,207.396,187.54299999999998,163.73499999999999
124,108.613,102.766,99.383,95.34799999999998
125,177.044,167.878,162.815,156.762
126,119.874,113.81,110.41699999999999,107.01199999999999
127,102.842,94.65800000000002,89.137,80.17099999999999
128,4992.652,4361.805,3913.3499999999995,3399.7200000000003
129,129.959,125.10200000000002,122.142,115.28399999999999
130,26.810000000000002,22.75,19.88,16.87
131,196.225,191.077,189.624,198.742
132,76.339,73.675,72.11599999999999,68.473
133,203.047,189.334,179.734,161.067
134,109.10799999999999,96.063,86.89599999999999,77.182
135,61.229,61.857000000000006,62.98,63.114999999999995
136,171.20499999999998,158.93300000000002,150.977,138.70399999999998
137,69.466,63.30700000000001,59.217,54.945
138,164.914,159.286,156.35799999999998,155.557
139,945.6959999999999,1109.078,1217.8719999999998,1257.972
140,103.451,102.45899999999999,100.9,92.08
141,45.226,45.147999999999996,45.307,44.586
142,65.72999999999999,66.336,66.731,61.772999999999996
143,45.403999999999996,48.01200000000001,50.209,47.065
144,152.288,163.555,173.75799999999998,178.70999999999998
145,119.101,117.116,116.66999999999999,118.737
146,58.897,62.65100000000001,65.54899999999999,62.396
147,109.32300000000001,97.034,88.649,80.838
148,116.608,111.482,107.711,103.672
149,33.428,30.054,27.796999999999997,25.788
150,162.563,151.389,145.086,144.17
151,1052.998,1217.051,1322.879,1326.198
152,202.309,176.94799999999998,159.021,139.043
153,179.20999999999998,165.066,155.78699999999998,147.906
154,2613.957,2652.389,2723.506,2951.466
155,25.846,26.133000000000003,25.905,23.81
156,80.93599999999999,73.559,68.65599999999999,63.114999999999995
157,173.317,168.827,166.276,160.509
158,79.97500000000001,70.925,64.7,57.18899999999999
159,62.522999999999996,61.956,61.73,57.855
160,187.029,179.462,172.72899999999998,161.31
161,224.716,211.959,203.21999999999997,182.569
162,120.32399999999998,116.902,114.464,104.774
163,157.721,145.988,138.19299999999998,123.237
164,91.546,83.559,77.827,69.03399999999999
165,99.074,91.18700000000001,85.834,77.142
166,145.808,139.936,135.872,125.104
167,120.35,110.21499999999999,103.103,91.55199999999999
168,1376.748,1547.792,1660.638,1659.4499999999998
169,178.43900000000002,180.797,183.89999999999998,184.683
170,193.99900000000002,180.68500000000003,172.0,159.701
171,349.39500000000004,334.79900000000004,324.118,303.469
172,414.467,362.983,325.79299999999995,284.086
173,244.42999999999998,234.151,225.64,205.466
174,70.729,68.456,66.80799999999999,61.059999999999995
175,114.63300000000001,122.606,129.163,130.126
176,115.60900000000001,125.38900000000001,132.515,137.788
177,70.997,70.10300000000001,69.506,63.848
178,130.50199999999998,124.07900000000001,120.338,116.105
179,814.43,903.102,965.7949999999998,993.419
180,2586.73,2416.4700000000003,2291.705,2123.042
181,45.172999999999995,47.399,50.236999999999995,59.426
182,450.08900000000006,463.10999999999996,487.14399999999995,615.064
183,49.146,46.85,45.468,43.016
184,868.164,811.7629999999999,775.507,726.8729999999999
185,197.446,180.281,168.482,157.193
186,215.148,207.803,202.72899999999998,185.023
187,39.797,37.721000000000004,36.361999999999995,33.086
188,331.91100000000006,342.21200000000005,349.11899999999997,335.11799999999994
189,71.649,76.06800000000001,79.57399999999998,79.58599999999998
190,13.835999999999999,13.877000000000002,14.024999999999999,13.184999999999999
191,216.712,223.12400000000002,229.57899999999998,228.244
192,115.98500000000001,107.46700000000001,101.589,91.47800000000001
193,115.369,114.18900000000002,113.63300000000001,106.53200000000001
194,451.038,512.4440000000001,561.413,531.067
195,233.111,239.64999999999998,246.194,259.873
196,64.86,59.23500000000001,55.032999999999994,48.562
197,144.931,130.696,121.23599999999999,111.19
198,347.574,350.237,352.90999999999997,332.943
199,340.74399999999997,346.669,351.53999999999996,331.972
200,305.137,371.30299999999994,413.348,415.69699999999995
201,109.011,105.858,103.856,96.24799999999999
202,52.273,49.70100000000001,48.078,43.791999999999994
203,973.5600000000001,887.216,824.8749999999999,737.383
204,892.84,964.708,1011.2639999999999,1007.152
205,133.871,146.34300000000002,156.071,156.201
206,65.953,63.49300000000001,61.897,57.11
207,304.854,300.368,296.616,273.371
208,407.813,367.99,340.13800000000003,301.918
209,686.203,707.5120000000001,722.289,686.267
210,1022.703,1068.7289999999998,1090.563,1035.885
211,505.437,487.01,471.539,434.99399999999997
212,119.811,116.58200000000001,114.728,104.256
213,32.214,33.226,33.763,31.349
214,62.56,58.182,55.260999999999996,49.412
215,55.59,49.833000000000006,45.85699999999999,40.062999999999995
216,76.82300000000001,77.263,78.151,73.96600000000001
217,348.73,300.428,266.466,228.447
218,528.566,495.609,473.59399999999994,429.694
219,118.33500000000001,116.77000000000001,116.69099999999999,117.80900000000001
220,2472.6160000000004,2107.212,1849.397,1577.893
221,376.50300000000004,405.84299999999996,424.03299999999996,410.029
222,57.636,57.835,58.132999999999996,55.373000000000005
223,366.274,335.767,313.74299999999994,282.276
