TAZ,university,gradeschool,highschool
0,0,44,0
1,0,175,0
2,0,193,0
3,0,203,0
4,0,275,0
5,0,188,0
6,0,521,0
7,0,324,0
8,0,294,0
9,0,267,0
10,0,170,0
11,0,438,0
12,0,419,0
13,0,873,0
14,0,218,0
15,0,179,0
16,0,131,0
17,0,217,0
18,0,209,0
19,0,156,0
20,0,168,0
21,0,252,0
22,0,346,0
23,0,280,0
24,0,162,0
25,0,303,0
26,0,243,0
27,0,248,0
28,0,60,0
29,0,270,0
30,0,226,0
31,0,205,0
32,0,266,0
33,0,372,0
34,0,239,0
35,0,129,0
36,0,190,0
37,0,181,0
38,0,243,0
39,0,157,0
40,0,168,0
41,0,215,0
42,0,48,0
43,0,137,0
44,0,282,0
45,0,208,0
46,0,103,0
47,0,109,0
48,0,139,0
49,0,271,0
50,0,86,0
51,0,118,0
52,0,106,0
53,0,156,0
54,0,178,0
55,0,246,0
56,0,201,0
57,0,236,0
58,0,197,0
59,0,261,0
60,0,305,0
61,0,425,0
62,0,110,0
63,0,206,0
64,0,207,0
65,0,73,0
66,0,199,0
67,0,190,0
68,0,149,0
69,0,107,0
70,0,153,0
71,0,129,0
72,0,89,0
73,0,207,0
74,0,164,0
75,0,138,0
76,0,215,0
77,0,231,0
78,0,26,0
79,0,147,0
80,0,140,0
81,0,422,0
82,8747,117,0
83,0,172,0
84,0,148,0
85,0,156,0
86,0,182,0
87,0,40,0
88,0,183,0
89,0,220,0
90,0,81,0
91,0,80,0
92,0,196,0
93,0,199,0
94,0,240,0
95,0,104,0
96,0,341,0
97,0,199,0
98,0,188,0
99,0,168,0
100,0,203,0
101,0,348,0
102,0,106,0
103,0,192,0
104,0,346,0
105,0,316,0
106,0,437,0
107,0,121,0
108,0,93,0
109,0,97,0
110,0,55,0
111,0,60,0
112,0,120,0
113,0,27,0
114,0,225,0
115,0,90,0
116,0,201,0
117,0,290,0
118,0,242,0
119,0,193,0
120,0,144,0
121,0,218,0
122,0,173,0
123,0,98,0
124,0,226,0
125,0,273,0
126,0,237,0
127,0,160,0
128,0,80,0
129,11295,32,0
130,0,12,0
131,0,143,0
132,0,103,0
133,0,369,0
134,0,260,0
135,0,459,0
136,0,226,0
137,0,277,0
138,0,269,0
139,0,368,0
140,0,350,0
141,0,77,0
142,0,89,0
143,0,60,0
144,0,63,0
145,0,112,0
146,0,30,0
147,0,82,0
148,0,114,0
149,0,85,0
150,0,155,0
151,571,162,0
152,0,67,0
153,0,287,0
154,0,145,0
155,0,122,0
156,0,122,0
157,0,110,0
158,0,109,0
159,0,198,0
160,0,221,0
161,0,233,0
162,0,540,0
163,0,128,0
164,0,239,0
165,0,158,0
166,0,287,0
167,0,139,0
168,0,475,0
169,0,289,0
170,0,382,0
171,0,381,0
172,0,114,0
173,0,157,0
174,0,77,0
175,0,298,0
176,0,215,0
177,0,208,0
178,0,353,0
179,0,108,0
180,0,216,0
181,0,148,0
182,0,57,0
183,0,96,0
184,0,413,0
185,0,160,0
186,0,279,0
187,0,211,0
188,0,310,0
189,0,152,0
190,0,157,0
191,0,107,0
192,0,643,0
193,0,127,0
194,0,0,0
195,0,167,0
196,0,90,0
197,0,144,0
198,0,691,0
199,0,161,0
200,0,39,0
201,0,65,0
202,0,212,0
203,0,106,0
204,0,333,0
205,0,138,0
206,0,198,0
207,0,255,0
208,0,231,0
209,0,385,0
210,0,125,24715
211,0,416,0
212,0,72,0
213,0,64,0
214,0,80,0
215,0,137,0
216,0,186,0
217,0,43,0
218,0,8,0
219,0,67,0
220,0,129,0
221,0,126,0
222,0,135,0
223,0,70,0
224,0,261,0
225,0,22,29384
226,0,194,0
227,0,56,0
228,0,24,0
229,0,84,0
230,0,27,0
231,0,56,0
232,0,107,0
233,0,41,0
234,0,89,0
235,0,48,0
236,0,112,0
237,0,254,0
238,0,211,0
239,0,69,0
240,0,113,0
241,0,86,0
242,0,245,0
243,0,174,0
244,0,129,0
245,0,126,0
246,0,152,0
247,0,284,0
248,0,408,0
249,0,176,0
250,0,202,0
251,0,221,0
252,0,88,0
253,0,88,0
254,0,127,0
255,0,289,0
256,0,146,0
257,0,164,0
258,0,165,0
259,0,207,0
260,0,728,0
261,0,116,0
262,0,110,0
263,0,125,0
264,0,55,0
265,5259,108,0
266,0,263,0
267,0,81,0
268,0,65,0
269,0,108,0
270,0,336,0
271,0,100,0
272,0,273,0
273,0,123,0
274,0,1,0
275,0,179,0
276,0,65,0
277,0,116,0
278,0,26,0
279,0,495,0
280,0,106,0
281,0,142,0
282,0,0,0
283,0,20,0
284,0,68,0
285,0,108,0
286,0,0,0
287,0,35,0
288,0,131,0
289,0,87,0
290,0,61,0
291,0,46,0
292,0,155,0
293,0,73,0
294,0,60,0
295,0,74,0
296,0,91,0
297,0,22,0
298,0,34,0
299,0,51,0
300,0,216,0
301,688,268,0
302,0,192,0
303,0,191,0
304,0,393,0
305,0,201,0
306,0,63,0
307,0,282,0
308,0,238,0
309,0,274,0
310,0,211,0
311,0,154,0
312,0,106,0
313,0,157,0
314,0,403,0
315,0,0,0
316,0,84,0
317,0,0,0
318,0,2,0
319,0,0,0
320,0,62,0
321,0,324,0
322,0,111,0
323,0,339,0
324,0,153,0
325,0,275,0
326,0,182,0
327,0,102,0
328,0,297,0
329,0,101,0
330,0,88,0
331,0,318,0
332,0,101,0
333,0,40,0
334,0,101,0
335,0,388,0
336,0,95,0
337,0,81,0
338,0,0,0
339,0,3,0
