TAZ,work_low,work_med,work_high,work_veryhigh
0,2,4,7,7
1,26,47,56,192
2,2,4,7,18
3,5,6,15,22
4,13,30,36,132
5,15,35,49,125
6,39,63,127,271
7,17,24,26,71
8,67,143,252,580
9,25,27,44,108
10,1,2,11,28
11,20,35,51,117
12,42,62,116,223
13,72,140,177,429
14,6,14,22,55
15,11,15,22,61
16,5,15,17,47
17,20,31,26,93
18,10,19,30,100
19,8,33,39,100
20,23,71,70,191
21,3,8,7,40
22,223,488,849,2270
23,77,155,195,544
24,35,69,116,286
25,16,44,78,220
26,12,27,41,98
27,13,31,26,83
28,8,16,30,63
29,35,77,124,332
30,22,60,68,162
31,50,104,138,376
32,23,34,80,171
33,25,36,75,187
34,30,46,68,161
35,140,306,500,1404
36,43,76,120,340
37,6,15,15,40
38,41,70,90,256
39,1,12,8,24
40,10,21,42,73
41,58,92,183,404
42,22,29,73,103
43,3,11,15,31
44,17,28,44,109
45,111,240,380,861
46,13,25,26,61
47,51,132,195,611
48,7,26,28,64
49,74,144,231,529
50,26,48,71,179
51,40,96,131,324
52,7,15,20,63
53,103,203,307,839
54,18,20,44,77
55,10,37,55,145
56,18,55,101,241
57,15,8,19,61
58,5,15,20,50
59,25,47,58,179
60,52,90,167,456
61,23,59,109,269
62,128,306,526,1500
63,21,45,53,205
64,1,3,10,17
65,22,34,50,148
66,14,25,55,133
67,25,32,77,196
68,22,49,83,216
69,78,134,209,619
70,7,8,20,47
71,32,69,100,254
72,2,2,5,5
73,13,25,36,61
74,9,10,25,53
75,12,31,40,114
76,66,144,187,506
77,23,67,85,213
78,281,646,1025,3060
79,18,51,80,228
80,3,10,13,59
81,21,58,77,187
82,118,255,350,861
83,10,22,32,81
84,4,20,24,69
85,32,61,84,215
86,9,29,33,109
87,69,112,177,617
88,25,44,41,143
89,44,89,124,312
90,4,15,18,54
91,4,5,9,26
92,54,95,140,330
93,47,93,146,399
94,45,85,93,305
95,96,200,299,904
96,35,56,88,237
97,28,76,106,303
98,12,29,29,98
99,22,40,89,190
100,26,82,95,276
101,17,15,37,102
102,33,63,108,311
103,24,31,58,116
104,16,44,60,147
105,42,50,106,242
106,19,48,61,135
107,16,46,58,158
108,44,108,185,473
109,31,71,112,397
110,70,160,306,766
111,0,6,8,39
112,39,87,165,421
113,98,227,350,1070
114,44,89,169,397
115,135,238,320,758
116,33,71,104,287
117,73,97,174,408
118,19,37,35,136
119,46,115,192,513
120,32,71,93,252
121,33,65,92,251
122,57,117,199,548
123,30,42,57,139
124,13,24,38,74
125,17,34,52,149
126,14,32,35,98
127,10,20,29,75
128,527,875,1185,3092
129,12,23,34,95
130,1,4,5,15
131,22,43,55,176
132,7,16,17,47
133,16,45,78,152
134,16,23,32,63
135,2,10,24,52
136,19,31,47,121
137,10,8,22,64
138,10,25,51,145
139,88,223,408,972
140,10,31,27,71
141,4,5,15,27
142,5,17,20,58
143,2,9,8,31
144,12,32,37,122
145,13,17,23,93
146,0,8,16,37
147,14,11,25,36
148,13,7,28,99
149,2,3,9,17
150,16,25,33,107
151,70,204,373,1047
152,15,28,35,107
153,20,23,48,108
154,177,380,674,2007
155,1,4,7,23
156,11,13,18,55
157,13,38,47,121
158,7,11,22,44
159,5,10,15,56
160,17,33,54,121
161,22,39,69,159
162,11,29,41,76
163,8,23,32,78
164,7,16,26,59
165,9,22,44,60
166,22,36,34,114
167,10,35,24,75
168,154,342,505,1252
169,31,39,62,142
170,13,40,61,139
171,45,83,78,250
172,39,73,121,210
173,31,42,75,153
174,5,18,15,62
175,13,17,42,106
176,14,25,30,112
177,6,14,28,52
178,15,18,37,109
179,56,144,277,637
180,192,343,624,1419
181,2,6,12,37
182,47,74,150,434
183,7,4,17,26
184,71,160,242,530
185,25,47,56,126
186,23,43,60,140
187,2,8,10,29
188,35,69,103,273
189,10,13,17,52
190,1,4,4,13
191,19,54,76,156
192,11,21,33,62
193,10,25,27,80
194,55,103,135,327
195,19,46,56,136
196,5,11,10,33
197,12,23,22,53
198,31,57,111,180
199,30,73,93,208
200,28,78,83,265
201,16,28,32,59
202,5,6,5,34
203,97,146,256,504
204,83,225,305,724
205,12,22,46,106
206,5,11,22,40
207,28,66,67,171
