participant_id,tour_id,household_id,person_id,participant_num
27742053501,277420535,2592840,6766354,1
27742053502,277420535,2592840,6766355,2
26788097704,267880977,2497256,6533684,1
26788097705,267880977,2497256,6533688,2
20469153301,204691533,1925070,4992476,1
20469153302,204691533,1925070,4992478,2
20469153304,204691533,1925070,4992480,3
20469153303,204691533,1925070,4992482,4
25914773101,259147731,2413815,6320676,1
25914773102,259147731,2413815,6320677,2
9820711401,98207114,899756,2395295,1
9820711403,98207114,899756,2395298,2
9820711402,98207114,899756,2395304,3
7010234601,70102346,657148,1709813,1
7010234602,70102346,657148,1709816,2
15900408902,159004089,1532478,3878145,1
15900408901,159004089,1532478,3878148,2
7022366902,70223669,658504,1712770,1
7022366901,70223669,658504,1712772,2
28094723206,280947232,2627003,6852367,1
28094723205,280947232,2627003,6852370,2
28094723201,280947232,2627003,6852371,3
28094723202,280947232,2627003,6852372,4
5270982602,52709826,492396,1285604,1
5270982601,52709826,492396,1285605,2
2315969101,23159691,223109,564870,1
2315969102,23159691,223109,564871,2
1992282102,19922821,192149,485921,1
1992282101,19922821,192149,485922,2
23608835104,236088351,2198813,5758256,1
23608835102,236088351,2198813,5758258,2
2799826303,27998263,267565,682873,1
2799826301,27998263,267565,682884,2
2799826302,27998263,267565,682895,3
6362484002,63624840,592040,1551817,1
6362484003,63624840,592040,1551821,2
6362484001,63624840,592040,1551825,3
2097663804,20976638,203307,511624,1
2097663805,20976638,203307,511626,2
23893088101,238930881,2227333,5827582,1
23893088103,238930881,2227333,5827588,2
13766772402,137667724,1301640,3357747,1
13766772401,137667724,1301640,3357749,2
743048401,7430484,70786,181231,1
743048404,7430484,70786,181232,2
743048403,7430484,70786,181233,3
18030013905,180300139,1727975,4397562,1
18030013904,180300139,1727975,4397568,2
5824801803,58248018,542072,1420685,1
5824801804,58248018,542072,1420686,2
2098824703,20988247,202622,511904,1
2098824704,20988247,202622,511906,2
20002520202,200025202,1880245,4878661,1
20002520201,200025202,1880245,4878663,2
7349620901,73496209,688810,1792590,1
7349620902,73496209,688810,1792591,2
1522589601,15225896,139369,371363,1
1522589603,15225896,139369,371383,2
10169321503,101693215,936386,2480320,1
10169321502,101693215,936386,2480321,2
10169321501,101693215,936386,2480322,3
18014823404,180148234,1727072,4393865,1
18014823403,180148234,1727072,4393868,2
19008909401,190089094,1795894,4636319,1
19008909402,190089094,1795894,4636321,2
19008909404,190089094,1795894,4636325,3
9070734905,90707349,837032,2212378,1
9070734904,90707349,837032,2212390,2
5463874503,54638745,509334,1332655,1
5463874505,54638745,509334,1332656,2
25786336702,257863367,2401310,6289342,1
25786336701,257863367,2401310,6289350,2
13680287404,136802874,1291588,3336668,1
13680287403,136802874,1291588,3336681,2
11556208201,115562082,1077528,2818587,1
11556208202,115562082,1077528,2818589,2
11556208203,115562082,1077528,2818591,3
27403565101,274035651,2561435,6683796,1
27403565104,274035651,2561435,6683799,2
27403565105,274035651,2561435,6683800,3
20857017801,208570178,1961219,5087077,1
20857017802,208570178,1961219,5087080,2
19639698502,196396985,1846370,4790175,1
19639698503,196396985,1846370,4790180,2
18032978602,180329786,1728241,4398284,1
18032978604,180329786,1728241,4398286,2
27425209201,274252092,2563355,6689075,1
27425209203,274252092,2563355,6689076,2
27425209202,274252092,2563355,6689077,3
5656157103,56561571,526140,1379548,1
5656157102,56561571,526140,1379551,2
23158569003,231585690,2160411,5648433,1
23158569002,231585690,2160411,5648435,2
17050979001,170509790,1642893,4158775,1
17050979003,170509790,1642893,4158776,2
17050979002,170509790,1642893,4158778,3
2190561802,21905618,211046,534282,1
2190561801,21905618,211046,534283,2
15826038404,158260384,1525899,3860006,1
15826038403,158260384,1525899,3860007,2
15826038402,158260384,1525899,3860008,3
4375698002,43756980,417075,1067231,1
4375698003,43756980,417075,1067237,2
4332951206,43329512,413765,1056814,1
4332951202,43329512,413765,1056816,2
4332951201,43329512,413765,1056817,3
4332951204,43329512,413765,1056818,4
4332951205,43329512,413765,1056819,5
4332951203,43329512,413765,1056820,6
23890976604,238909766,2227326,5827058,1
23890976603,238909766,2227326,5827064,2
23890976601,238909766,2227326,5827067,3
18724689002,187246890,1773489,4566996,1
18724689001,187246890,1773489,4566997,2
23372314301,233723143,2176102,5700564,1
23372314302,233723143,2176102,5700566,2
11941842301,119418423,1127920,2912644,1
11941842302,119418423,1127920,2912645,2
18194571506,181945715,1736832,4437704,1
18194571504,181945715,1736832,4437710,2
1496698309,14966983,137097,365006,1
1496698308,14966983,137097,365024,2
1496698303,14966983,137097,365030,3
1496698304,14966983,137097,365036,4
1496698301,14966983,137097,365048,5
1496698302,14966983,137097,365054,6
20800207405,208002074,1956160,5073220,1
20800207402,208002074,1956160,5073222,2
20800207403,208002074,1956160,5073223,3
16629618503,166296185,1599128,4056003,1
16629618501,166296185,1599128,4056004,2
4153637704,41536377,399732,1013090,1
4153637702,41536377,399732,1013094,2
10281805201,102818052,948914,2507757,1
10281805203,102818052,948914,2507758,2
10281805205,102818052,948914,2507759,3
10281805204,102818052,948914,2507760,4
21672076904,216720769,2037653,5285868,1
21672076902,216720769,2037653,5285870,2
21672076901,216720769,2037653,5285872,3
5138421404,51384214,480795,1253271,1
5138421402,51384214,480795,1253272,2
5138421401,51384214,480795,1253273,3
27587335501,275873355,2578502,6728618,1
27587335502,275873355,2578502,6728619,2
9542345601,95423456,876491,2327401,1
9542345603,95423456,876491,2327404,2
9542345604,95423456,876491,2327407,3
27057648102,270576481,2524373,6599427,1
27057648104,270576481,2524373,6599429,2
26638977001,266389770,2483096,6497311,1
26638977003,266389770,2483096,6497313,2
7699498501,76994985,722713,1877926,1
7699498502,76994985,722713,1877928,2
20843122501,208431225,1960357,5083688,1
20843122503,208431225,1960357,5083690,2
27496159703,274961597,2570522,6706382,1
27496159704,274961597,2570522,6706384,2
24732497102,247324971,2306865,6032304,1
24732497104,247324971,2306865,6032312,2
24732497101,247324971,2306865,6032316,3
12814969501,128149695,1208709,3125602,1
12814969502,128149695,1208709,3125603,2
13362639501,133626395,1258587,3259180,1
13362639503,133626395,1258587,3259183,2
