person_id,Unnamed: 0,edu,work_at_home,p_hispanic,household_id,MAR,hispanic.1,worker,earning,hispanic,person_age,sex,age,PNUM,school_zone_id,work_zone_id,hours,student,race_id,relate,race,person_sex,TAZ,ptype,pemploy,pstudent,home_x,home_y,age_16_to_19,age_16_p,adult,male,female,has_non_worker,has_retiree,has_preschool_kid,has_driving_kid,has_school_kid,has_full_time,has_part_time,has_university,student_is_employed,nonstudent_to_school,is_student,is_gradeschool,is_highschool,is_university,school_segment,is_worker,home_taz,value_of_time,_hh_vot,school_taz,distance_to_school,roundtrip_auto_time_to_school,workplace_taz,workplace_location_logsum,distance_to_work,workplace_in_cbd,work_taz_area_type,roundtrip_auto_time_to_work,work_auto_savings,work_auto_savings_ratio,free_parking_at_work,job_sector,telework_option,telework,cdap_activity,travel_active,under16_not_at_school,has_preschool_kid_at_home,has_school_kid_at_home,mandatory_tour_frequency,work_and_school_and_worker,work_and_school_and_student,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_non_escort_tours
2190,2190,24.0,1,no,836,1,0,1,150000.0,0,above 60,1,67,1,-1,331,45.0,0,1,0,white,male,1005,1,1,3,-122.2264358,37.8550502,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,True,1005,5.809499761220455,5.809499761220455,-1,,0.0,751,13.719892897575766,31.07,False,4.0,78.49,1278.11,1.0,False,True,False,False,M,True,False,False,False,work1,False,False,1,1,0,0,0,0,0,0,0,0,0,0
2192,2192,20.0,0,no,836,1,0,1,10000.0,0,35 to 60,2,58,2,-1,991,10.0,0,6,1,asian,female,1005,1,1,3,-122.2264358,37.8550502,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,True,1005,5.809499761220455,5.809499761220455,-1,,0.0,991,13.72672865230903,4.17,True,1.0,20.48,146.32,1.0,False,False,True,False,M,True,False,False,False,work1,False,False,1,1,0,2,1,0,0,0,0,0,1,1
21333,21333,21.0,0,no,10120,5,0,1,42500.0,0,20 to 35,1,25,1,-1,810,40.0,0,9,0,other,male,996,1,1,3,-122.27236,37.8371623,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,996,4.054270579878228,4.054270579878228,-1,,0.0,810,13.245026269367692,20.03,False,4.0,55.78,129.1719,1.0,False,False,False,False,M,True,False,False,False,work1,False,False,1,1,0,0,0,0,0,0,0,0,0,0
32207,32207,19.0,0,no,16465,5,0,0,0.0,0,20 to 35,1,25,2,976,-1,0.0,1,1,13,white,male,976,3,3,2,-122.2617287,37.8276727,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,3,False,976,1.3114385241593625,1.3114385241593625,976,0.33,2.08,-1,,,False,,0.0,0.0,0.0,False,False,False,False,M,True,False,False,False,school1,False,False,1,0,0,0,0,0,0,0,0,0,0,0
32209,32209,21.0,0,yes,16465,5,1,1,84000.0,1,20 to 35,2,27,1,-1,971,32.0,0,8,0,other,female,976,1,1,3,-122.2617287,37.8276727,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,True,976,1.3114385241593625,1.3114385241593625,-1,,0.0,971,15.115213927184074,1.89,True,0.0,9.280001,24.849401,0.20707835,False,False,False,False,M,True,False,False,False,work1,False,False,1,1,0,0,0,0,0,0,0,0,0,0
36475,36475,22.0,0,no,18933,3,0,1,33400.0,0,above 60,2,69,1,-1,946,15.0,0,1,0,white,female,979,1,1,3,-122.2642432,37.8182879,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,979,4.56138675497715,4.56138675497715,-1,,0.0,945,14.105823306985034,1.17,True,0.0,6.82,39.98,0.33316666,False,True,False,False,M,True,False,False,False,work1,False,False,1,1,0,0,0,0,0,0,0,0,0,0
37919,37919,22.0,0,no,19383,5,0,1,50000.0,0,20 to 35,1,29,1,-1,872,70.0,0,6,0,asian,male,979,1,1,3,-122.2694954,37.8140674,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,979,10.466531785628076,10.466531785628076,-1,,0.0,870,14.231648749263833,9.43,False,3.0,30.779999,57.797005,0.4816417,False,True,False,False,M,True,False,False,False,work1,False,False,1,1,0,4,1,0,1,0,0,0,0,1
37934,37934,21.0,0,no,19352,5,0,1,20000.0,0,20 to 35,1,25,1,-1,971,40.0,0,6,0,asian,male,979,1,1,3,-122.2687072,37.8176178,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,979,3.2393814630589697,3.2393814630589697,-1,,0.0,971,13.326787557789451,0.96,True,0.0,5.55,32.85,0.27374998,False,False,False,False,M,True,False,False,False,work1,False,False,1,1,0,0,0,0,0,0,0,0,0,0
60775,60775,12.0,0,no,27646,1,0,1,15300.0,0,35 to 60,2,49,1,-1,951,40.0,0,2,0,black,female,898,1,1,3,-122.1938869,37.770364,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,True,898,4.754787491328729,4.754787491328729,-1,,0.0,947,12.87420548775514,3.53,False,2.0,15.51,33.75,0.28125,False,False,False,False,M,True,False,False,False,work1,False,False,1,1,0,32,1,1,0,0,0,0,0,0
60777,60777,14.0,0,no,27646,1,0,1,20800.0,0,35 to 60,1,58,2,-1,732,40.0,0,2,1,black,male,898,1,1,3,-122.1938869,37.770364,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,True,898,4.754787491328729,4.754787491328729,-1,,0.0,732,12.78515079307278,19.18,False,3.0,48.25,97.321014,0.81100845,False,True,False,False,M,True,False,False,False,work1,False,False,1,1,0,8,1,0,0,0,1,0,0,1
