trip_id,person_id,number_of_participants,trip_mode,PlanElementIndex,ActivityElement,ActivityType,x,y,departure_time
,2190.0,,,1,activity,Home,-122.2264358,37.8550502,7.608
718633.0,2190.0,1.0,DRIVEALONEFREE,2,leg,,,,
,2190.0,,,3,activity,work,-122.01403216829142,37.475124198198465,16.44
718637.0,2190.0,1.0,DRIVEALONEFREE,4,leg,,,,
,2190.0,,,5,activity,Home,-122.2264358,37.8550502,
,2192.0,,,1,activity,Home,-122.2264358,37.8550502,5.272
719289.0,2192.0,1.0,DRIVE_HVY,2,leg,,,,
,2192.0,,,3,activity,work,-122.30065963226652,37.8464676255991,15.753
719293.0,2192.0,1.0,DRIVE_HVY,4,leg,,,,
,2192.0,,,5,activity,Home,-122.2264358,37.8550502,20.042
719265.0,2192.0,1.0,SHARED3FREE,6,leg,,,,
,2192.0,,,7,activity,social,-122.2521786003288,37.793977872946705,22.808
719269.0,2192.0,1.0,SHARED3FREE,8,leg,,,,
,2192.0,,,9,activity,Home,-122.2264358,37.8550502,
,3234.0,,,1,activity,Home,-122.2501169,37.8483564,7.297
1061065.0,3234.0,1.0,DRIVEALONEFREE,2,leg,,,,
,3234.0,,,3,activity,work,-122.2501169,37.8483564,12.796
1060785.0,3234.0,1.0,DRIVEALONEFREE,4,leg,,,,
,3234.0,,,5,activity,atwork,-122.27623812279023,37.80225502706285,13.79
1060789.0,3234.0,1.0,DRIVEALONEFREE,6,leg,,,,
,3234.0,,,7,activity,Work,-122.27245579298835,37.79837404264204,14.218
1061069.0,3234.0,1.0,DRIVEALONEFREE,8,leg,,,,
,3234.0,,,9,activity,Home,-122.24855006344903,37.850570555054865,18.049
1061001.0,3234.0,1.0,TNC_SINGLE,10,leg,,,,
,3234.0,,,11,activity,shopping,-122.30302126582484,37.839265753057994,18.178
1061002.0,3234.0,1.0,TNC_SINGLE,12,leg,,,,
,3234.0,,,13,activity,univ,-122.27023836977831,37.86740870791388,18.529
1061005.0,3234.0,1.0,TNC_SINGLE,14,leg,,,,
,3234.0,,,15,activity,Home,-122.2501169,37.8483564,
,3235.0,,,1,activity,Home,-122.2554338164412,37.84545175549901,6.308
1061393.0,3235.0,1.0,DRIVEALONEFREE,2,leg,,,,
,3235.0,,,3,activity,work,-122.2501169,37.8483564,13.112
1061113.0,3235.0,1.0,DRIVEALONEFREE,4,leg,,,,
,3235.0,,,5,activity,atwork,-122.29642137195171,37.846903657475686,13.95
1061117.0,3235.0,1.0,DRIVEALONEFREE,6,leg,,,,
,3235.0,,,7,activity,Work,-122.30142762652365,37.838860476627524,16.515
1061397.0,3235.0,1.0,DRIVEALONEFREE,8,leg,,,,
,3235.0,,,9,activity,Home,-122.2554338164412,37.84545175549901,
,11552.0,,,1,activity,Home,-122.25436814942803,37.84852212743178,7.514
3789129.0,11552.0,1.0,SHARED2FREE,2,leg,,,,
,11552.0,,,3,activity,escort,-122.13364116557922,37.82732153873673,7.635
3789133.0,11552.0,1.0,DRIVEALONEFREE,4,leg,,,,
,11552.0,,,5,activity,Home,-122.2573078,37.8463662,7.869
3789369.0,11552.0,1.0,WALK_HVY,6,leg,,,,
,11552.0,,,7,activity,work,-122.2573078,37.8463662,9.793
3789089.0,11552.0,1.0,SHARED3FREE,8,leg,,,,
,11552.0,,,9,activity,atwork,-122.40515530543215,37.7864068394923,9.98
3789093.0,11552.0,1.0,SHARED3FREE,10,leg,,,,
,11552.0,,,11,activity,Work,-122.42003195502103,37.77115989962522,19.482
3789373.0,11552.0,1.0,WALK_HVY,12,leg,,,,
,11552.0,,,13,activity,Home,-122.25436814942803,37.84852212743178,
,11556.0,,,1,activity,Home,-122.2573078,37.8463662,11.198
3790441.0,11556.0,1.0,SHARED2FREE,2,leg,,,,
,11556.0,,,3,activity,escort,-122.26973111027422,37.83808134617758,12.197
3790445.0,11556.0,1.0,DRIVEALONEFREE,4,leg,,,,
,11556.0,,,5,activity,Home,-122.2573078,37.8463662,
,12089.0,,,1,activity,Home,-122.25420033834214,37.85320884818362,6.526
3965505.0,12089.0,1.0,WALK_HVY,2,leg,,,,
,12089.0,,,3,activity,work,-122.2583337,37.8486628,13.312
3965225.0,12089.0,1.0,TNC_SINGLE,4,leg,,,,
,12089.0,,,5,activity,atwork,-122.26151365020561,37.80021954725345,13.388
3965229.0,12089.0,1.0,TNC_SINGLE,6,leg,,,,
,12089.0,,,7,activity,Work,-122.31889517129905,37.81325217796231,21.407
3965509.0,12089.0,1.0,WALK_HVY,8,leg,,,,
,12089.0,,,9,activity,Home,-122.25420033834214,37.85320884818362,
,21333.0,,,1,activity,Home,-122.27236,37.8371623,6.602
6997537.0,21333.0,1.0,DRIVEALONEFREE,2,leg,,,,
,21333.0,,,3,activity,work,-122.10843786748026,37.59007826195052,16.161
6997541.0,21333.0,1.0,DRIVEALONEFREE,4,leg,,,,
,21333.0,,,5,activity,othmaint,-122.26751160362295,37.849758097072154,17.494
6997542.0,21333.0,1.0,WALK,6,leg,,,,
,21333.0,,,7,activity,Home,-122.27236,37.8371623,
,29393.0,,,1,activity,Home,-122.2684672,37.8276469,12.019
9640977.0,29393.0,1.0,DRIVEALONEFREE,2,leg,,,,
,29393.0,,,3,activity,escort,-122.25513243439698,37.81881412732253,12.479
9640981.0,29393.0,1.0,SHARED2FREE,4,leg,,,,
,29393.0,,,5,activity,Home,-122.2684672,37.8276469,12.529
9640953.0,29393.0,1.0,BIKE,6,leg,,,,
,29393.0,,,7,activity,eatout,-122.27389196670738,37.801804943541825,20.891
9640957.0,29393.0,1.0,BIKE,8,leg,,,,
,29393.0,,,9,activity,Home,-122.2684672,37.8276469,
,31334.0,,,1,activity,Home,-122.26236885298124,37.82714763772079,11.538
10277865.0,31334.0,1.0,WALK,2,leg,,,,
,31334.0,,,3,activity,work,-122.2617287,37.8276727,12.163
10277585.0,31334.0,1.0,SHARED2FREE,4,leg,,,,
,31334.0,,,5,activity,atwork,-122.24984493236433,37.82918394304574,12.937
10277589.0,31334.0,1.0,WALK,6,leg,,,,
,31334.0,,,7,activity,Work,-122.26387951467905,37.826334633866615,17.135
10277869.0,31334.0,1.0,WALK,8,leg,,,,
,31334.0,,,9,activity,eatout,-122.27197888970989,37.82996804038808,19.592
10277870.0,31334.0,1.0,WALK,10,leg,,,,
,31334.0,,,11,activity,shopping,-122.26130366920663,37.83317275723812,20.718
10277871.0,31334.0,1.0,WALK,12,leg,,,,
,31334.0,,,13,activity,Home,-122.26236885298124,37.82714763772079,
,31337.0,,,1,activity,Home,-122.2617287,37.8276727,8.968
10278761.0,31337.0,1.0,SHARED2FREE,2,leg,,,,
,31337.0,,,3,activity,othmaint,-122.25060169474823,37.80925630143724,13.007
10278765.0,31337.0,1.0,SHARED2FREE,4,leg,,,,
,31337.0,,,5,activity,shopping,-122.25013545718983,37.84629874363521,13.974
10278766.0,31337.0,1.0,SHARED2FREE,6,leg,,,,
,31337.0,,,7,activity,Home,-122.2617287,37.8276727,
,32207.0,,,1,activity,Home,-122.2617287,37.8276727,18.111
10564145.0,32207.0,1.0,WALK,2,leg,,,,
,32207.0,,,3,activity,univ,-122.2656720026068,37.825547084177515,18.714
10564149.0,32207.0,1.0,WALK,4,leg,,,,
,32207.0,,,5,activity,Home,-122.2617287,37.8276727,
,32209.0,,,1,activity,Home,-122.26350565047716,37.8297880667145,8.281
10564865.0,32209.0,1.0,WALK,2,leg,,,,
,32209.0,,,3,activity,work,-122.2617287,37.8276727,10.327
10564585.0,32209.0,1.0,WALK,4,leg,,,,
,32209.0,,,5,activity,atwork,-122.26841285123837,37.810461339742595,10.805
10564589.0,32209.0,1.0,WALK,6,leg,,,,
,32209.0,,,7,activity,Work,-122.26689039238673,37.80394613922491,16.848
10564869.0,32209.0,1.0,WALK,8,leg,,,,
,32209.0,,,9,activity,shopping,-122.27078957220986,37.813070501632595,17.342
10564870.0,32209.0,1.0,WALK,10,leg,,,,
,32209.0,,,11,activity,escort,-122.26635823302527,37.81710628803579,17.773
10564871.0,32209.0,1.0,WALK,12,leg,,,,
,32209.0,,,13,activity,Home,-122.26350565047716,37.8297880667145,
,36475.0,,,1,activity,Home,-122.2642432,37.8182879,17.167
11964113.0,36475.0,1.0,BIKE,2,leg,,,,
,36475.0,,,3,activity,work,-122.2651733066928,37.80484767425233,20.412
11964117.0,36475.0,1.0,BIKE,4,leg,,,,
,36475.0,,,5,activity,Home,-122.2642432,37.8182879,
,37919.0,,,1,activity,Home,-122.2694954,37.8140674,13.855
12437745.0,37919.0,1.0,SHARED2FREE,2,leg,,,,
,37919.0,,,3,activity,work,-122.16479955012603,37.73465170163154,18.081
12437749.0,37919.0,1.0,DRIVEALONEFREE,4,leg,,,,
,37919.0,,,5,activity,escort,-122.27620538441634,37.8404430677125,18.093
12437750.0,37919.0,1.0,SHARED2FREE,6,leg,,,,
,37919.0,,,7,activity,Home,-122.2694954,37.8140674,18.784
12437481.0,37919.0,1.0,BIKE,8,leg,,,,
,37919.0,,,9,activity,eatout,-122.25403778532335,37.82258330927308,20.575
12437485.0,37919.0,1.0,BIKE,10,leg,,,,
,37919.0,,,11,activity,shopping,-122.28990415298158,37.830323360392185,20.918
12437486.0,37919.0,1.0,BIKE,12,leg,,,,
,37919.0,,,13,activity,Home,-122.2694954,37.8140674,
,37934.0,,,1,activity,Home,-122.2687072,37.8176178,7.37
12442665.0,37934.0,1.0,WALK,2,leg,,,,
,37934.0,,,3,activity,work,-122.26411629127045,37.81094572006229,21.456
12442669.0,37934.0,1.0,WALK,4,leg,,,,
,37934.0,,,5,activity,Home,-122.2687072,37.8176178,
,60775.0,,,1,activity,Home,-122.1938869,37.770364,8.416
19934513.0,60775.0,1.0,DRIVEALONEFREE,2,leg,,,,
,60775.0,,,3,activity,work,-122.1938869,37.770364,13.073
19934233.0,60775.0,1.0,DRIVEALONEFREE,4,leg,,,,
,60775.0,,,5,activity,atwork,-122.2732308483372,37.804548590877815,13.317
19934237.0,60775.0,1.0,DRIVEALONEFREE,6,leg,,,,
