tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,tdd,start,end,duration,composition,destination_logsum,tour_mode,mode_choice_logsum,atwork_subtour_frequency,parent_tour_id,stop_frequency,primary_purpose
89829,2190,work,1,1,1,1,mandatory,1,751.0,1005.0,836,46.0,7.0,16.0,9.0,,,DRIVEALONEFREE,-2.6999799004963303,no_subtours,,0out_0in,work
89911,2192,work,1,1,1,1,mandatory,1,991.0,1005.0,836,10.0,5.0,15.0,10.0,,,DRIVE_HVY,-0.7739592067649992,no_subtours,,0out_0in,work
874692,21333,work,1,1,1,1,mandatory,1,810.0,996.0,10120,30.0,6.0,17.0,11.0,,,DRIVEALONEFREE,-2.3078980502230046,no_subtours,,0out_1in,work
1320518,32207,school,1,1,1,1,mandatory,1,976.0,976.0,16465,169.0,18.0,18.0,0.0,,,WALK,5.558110292180102,,,0out_0in,univ
1320608,32209,work,1,1,1,1,mandatory,1,971.0,976.0,16465,63.0,8.0,17.0,9.0,,,WALK,4.1946414683064965,eat,,0out_2in,work
1495514,36475,work,1,1,1,1,mandatory,1,945.0,979.0,18933,165.0,17.0,20.0,3.0,,,BIKE,-0.22904811219526328,no_subtours,,0out_0in,work
1554718,37919,work,1,1,1,1,mandatory,1,870.0,979.0,19383,129.0,13.0,18.0,5.0,,,SHARED2FREE,-0.665201299679458,no_subtours,,0out_1in,work
1555333,37934,work,1,1,1,1,mandatory,1,971.0,979.0,19352,51.0,7.0,21.0,14.0,,,WALK,-0.6523500644144112,no_subtours,,0out_0in,work
2491814,60775,work,1,1,1,1,mandatory,1,947.0,898.0,27646,63.0,8.0,17.0,9.0,,,DRIVEALONEFREE,-0.4442959831300396,eat,,0out_0in,work
2491896,60777,work,1,1,1,1,mandatory,1,732.0,898.0,27646,32.0,6.0,19.0,13.0,,,DRIVEALONEFREE,-1.8426223158845156,no_subtours,,0out_0in,work
2509198,61199,work,1,1,1,1,mandatory,1,894.0,898.0,27392,81.0,9.0,20.0,11.0,,,TNC_SINGLE,4.087664769714192,no_subtours,,0out_1in,work
6178288,150689,work,1,1,1,1,mandatory,1,896.0,888.0,58679,31.0,6.0,18.0,12.0,,,SHARED2FREE,-0.2802069514205769,no_subtours,,0out_0in,work
7430510,181231,work,1,1,1,1,mandatory,1,13.0,1039.0,70786,50.0,7.0,20.0,13.0,,,DRIVE_HVY,-0.20676035305570503,no_subtours,,0out_0in,work
7430633,181234,work,1,1,1,1,mandatory,1,1427.0,1039.0,70786,48.0,7.0,18.0,11.0,,,DRIVEALONEFREE,-1.0922964054197846,eat,,0out_1in,work
7630836,186117,work,1,1,1,2,mandatory,1,106.0,1038.0,72394,43.0,7.0,13.0,6.0,,,SHARED3FREE,-1.6144501107504319,no_subtours,,0out_0in,work
7630828,186117,school,1,1,2,2,mandatory,1,1019.0,1038.0,72394,148.0,15.0,18.0,3.0,,,WALK_LOC,-0.4559190419528183,,,0out_3in,univ
8215250,200371,work,1,1,1,1,mandatory,1,945.0,1033.0,77895,29.0,6.0,16.0,10.0,,,WALK_LOC,4.18317980653295,no_subtours,,0out_0in,work
9403143,229344,work,1,1,1,1,mandatory,1,973.0,1021.0,92406,47.0,7.0,17.0,10.0,,,DRIVEALONEFREE,0.2143974383496592,maint,,0out_0in,work
10880086,265367,work,1,1,1,1,mandatory,1,831.0,833.0,104910,106.0,11.0,18.0,7.0,,,BIKE,-1.0738798597294366,no_subtours,,0out_0in,work
10880160,265369,school,1,1,1,1,mandatory,1,833.0,833.0,104910,61.0,8.0,15.0,7.0,,,WALK,-0.401846546948948,,,0out_0in,school
10933386,266667,work,1,1,1,1,mandatory,1,873.0,833.0,105191,79.0,9.0,18.0,9.0,,,DRIVEALONEFREE,-0.4147529352791624,no_subtours,,0out_0in,work
10933460,266669,school,1,1,1,1,mandatory,1,833.0,833.0,105191,46.0,7.0,16.0,9.0,,,WALK,-0.21551768556026876,,,0out_0in,school
11817215,288224,school,1,1,1,1,mandatory,1,821.0,823.0,112601,74.0,9.0,13.0,4.0,,,DRIVEALONEFREE,0.008494194740606517,,,2out_0in,univ
12359612,301453,work,2,1,1,2,mandatory,1,810.0,825.0,117824,25.0,6.0,12.0,6.0,,,SHARED3FREE,-0.4955908778748665,no_subtours,,0out_0in,work
12359613,301453,work,2,2,2,2,mandatory,1,810.0,825.0,117824,128.0,13.0,17.0,4.0,,,DRIVEALONEFREE,-0.4915429037991307,no_subtours,,0out_1in,work
12359645,301454,school,1,1,1,1,mandatory,1,825.0,825.0,117824,61.0,8.0,15.0,7.0,,,SHARED3FREE,0.007330866255626184,,,0out_0in,school
12359686,301455,school,1,1,1,1,mandatory,1,877.0,825.0,117824,150.0,15.0,20.0,5.0,,,SHARED3FREE,-3.7307722076348697,,,0out_2in,school
12359727,301456,school,1,1,1,1,mandatory,1,817.0,825.0,117824,46.0,7.0,16.0,9.0,,,SHARED3FREE,-1.0283649636680898,,,0out_0in,school
12359776,301457,work,1,1,1,1,mandatory,1,418.0,825.0,117824,48.0,7.0,18.0,11.0,,,DRIVEALONEFREE,-3.554438093579448,no_subtours,,0out_0in,work
13844304,337665,work,1,1,1,1,mandatory,1,808.0,811.0,129182,121.0,12.0,21.0,9.0,,,DRIVEALONEFREE,-0.7518833841808443,no_subtours,,0out_0in,work
15109031,368512,work,2,1,1,2,mandatory,1,1073.0,1020.0,137950,59.0,8.0,13.0,5.0,,,DRIVEALONEFREE,-1.8555966300451385,no_subtours,,0out_1in,work
15109032,368512,work,2,2,2,2,mandatory,1,1073.0,1020.0,137950,136.0,14.0,15.0,1.0,,,DRIVEALONEFREE,-1.7451077444936116,no_subtours,,0out_1in,work
15433382,376423,work,1,1,1,1,mandatory,1,1441.0,1018.0,142408,50.0,7.0,20.0,13.0,,,DRIVEALONEFREE,-3.855669842158882,business1,,0out_1in,work
15438220,376541,work,1,1,1,1,mandatory,1,1158.0,1018.0,142561,59.0,8.0,13.0,5.0,,,DRIVEALONEFREE,-0.7782632838761792,eat,,1out_0in,work
16545876,403557,work,1,1,1,1,mandatory,1,87.0,1009.0,154995,49.0,7.0,19.0,12.0,,,DRIVEALONEFREE,-1.5917495577397804,no_subtours,,0out_0in,work
16704423,407424,work,1,1,1,1,mandatory,1,991.0,1009.0,156810,44.0,7.0,14.0,7.0,,,TNC_SINGLE,4.878423703304317,no_subtours,,1out_2in,work
17274323,421324,work,1,1,1,1,mandatory,1,977.0,994.0,163968,109.0,11.0,21.0,10.0,,,WALK,-1.4969366863296212,no_subtours,,0out_0in,work
19196239,468200,work,1,1,1,1,mandatory,1,1136.0,959.0,184205,48.0,7.0,18.0,11.0,,,DRIVEALONEFREE,-0.7036342284075038,no_subtours,,0out_0in,work
19224652,468893,work,1,1,1,1,mandatory,1,971.0,956.0,184862,46.0,7.0,16.0,9.0,,,WALK_LOC,-1.4650821283993216,no_subtours,,0out_0in,work
20976574,511623,school,1,1,1,1,mandatory,1,878.0,961.0,203307,65.0,8.0,19.0,11.0,,,SHARED3FREE,-2.5460472302926864,,,0out_1in,school
20976615,511624,school,1,1,1,1,mandatory,1,961.0,961.0,203307,60.0,8.0,14.0,6.0,,,SHARED3FREE,-0.2861513413978223,,,0out_0in,school
20976697,511626,school,1,1,1,1,mandatory,1,961.0,961.0,203307,44.0,7.0,14.0,7.0,,,WALK,-0.28941810601880974,,,0out_0in,school
20976787,511628,work,1,1,1,1,mandatory,1,17.0,961.0,203307,49.0,7.0,19.0,12.0,,,DRIVE_HVY,-1.8104744440130072,no_subtours,,0out_0in,work
20988095,511904,school,1,1,1,1,mandatory,1,963.0,961.0,202622,50.0,7.0,20.0,13.0,,,SHARED3FREE,-0.5549215237497407,,,0out_1in,school
20988177,511906,school,1,1,1,1,mandatory,1,906.0,961.0,202622,62.0,8.0,16.0,8.0,,,SHARED3FREE,-1.8965769692631937,,,0out_0in,school
20988267,511908,work,1,1,1,1,mandatory,1,961.0,961.0,202622,63.0,8.0,17.0,9.0,,,WALK,1.709820657530702,no_subtours,,0out_0in,work
21047061,513342,work,1,1,1,1,mandatory,1,784.0,844.0,203819,48.0,7.0,18.0,11.0,,,DRIVEALONEFREE,-0.32981622590089554,no_subtours,,0out_0in,work
21047102,513343,work,1,1,1,1,mandatory,1,742.0,844.0,203819,48.0,7.0,18.0,11.0,,,DRIVEALONEFREE,-0.0280916247686133,eat,,0out_0in,work
21047143,513344,work,1,1,1,1,mandatory,1,969.0,844.0,203819,67.0,8.0,21.0,13.0,,,DRIVEALONEFREE,0.017535203860526472,no_subtours,,1out_1in,work
21047258,513347,school,1,1,1,1,mandatory,1,904.0,844.0,203819,43.0,7.0,13.0,6.0,,,DRIVE_HVY,0.699462830410149,,,0out_0in,school
21047299,513348,school,1,1,1,1,mandatory,1,18.0,844.0,203819,40.0,7.0,10.0,3.0,,,SHARED3FREE,-2.0988451804073107,,,0out_0in,school
21047504,513353,school,1,1,1,1,mandatory,1,846.0,844.0,203819,101.0,11.0,13.0,2.0,,,SHARED2FREE,0.6283630824397293,,,0out_0in,school
21343532,520573,work,1,1,1,1,mandatory,1,1137.0,844.0,206189,47.0,7.0,17.0,10.0,,,DRIVEALONEFREE,-1.552056445099708,no_subtours,,0out_0in,work
21343688,520577,school,1,1,1,1,mandatory,1,823.0,844.0,206189,56.0,8.0,10.0,2.0,,,SHARED3FREE,-1.5982639446932352,,,2out_2in,school
21461079,523440,work,1,1,1,1,mandatory,1,838.0,845.0,207464,172.0,18.0,21.0,3.0,,,DRIVEALONEFREE,-0.10308542044918619,no_subtours,,0out_0in,work
21575838,526239,work,1,1,1,1,mandatory,1,1017.0,845.0,208374,48.0,7.0,18.0,11.0,,,SHARED2FREE,-1.3283726602524237,no_subtours,,0out_0in,work
21576240,526249,school,1,1,1,1,mandatory,1,854.0,845.0,208374,139.0,14.0,18.0,4.0,,,SHARED3FREE,-1.3379379462946652,,,1out_1in,school
23159709,564870,work,1,1,1,1,mandatory,1,810.0,842.0,223109,65.0,8.0,19.0,11.0,,,DRIVEALONEFREE,-0.24377752852955065,no_subtours,,1out_1in,work
25581374,623935,work,1,1,1,1,mandatory,1,875.0,862.0,246740,64.0,8.0,18.0,10.0,,,DRIVEALONEFREE,-0.5162136349701298,business1,,0out_1in,work
26719821,651702,work,1,1,1,1,mandatory,1,810.0,857.0,256834,80.0,9.0,19.0,10.0,,,DRIVEALONEFREE,-0.3611643658023211,no_subtours,,1out_1in,work
27727765,676286,work,1,1,1,1,mandatory,1,1166.0,821.0,265147,42.0,7.0,12.0,5.0,,,DRIVEALONEFREE,-0.7536530786358995,no_subtours,,0out_0in,work
27727847,676288,work,1,1,1,1,mandatory,1,737.0,821.0,265147,29.0,6.0,16.0,10.0,,,DRIVEALONEFREE,-0.37024829459600384,eat,,0out_0in,work
27997824,682873,school,1,1,1,1,mandatory,1,805.0,820.0,267565,59.0,8.0,13.0,5.0,,,SHARED2FREE,-1.5027311670358603,,,0out_1in,school
28196641,687722,work,1,1,1,1,mandatory,1,21.0,820.0,268457,49.0,7.0,19.0,12.0,,,DRIVE_HVY,-2.339400465947273,no_subtours,,0out_0in,work
28196682,687723,work,1,1,1,1,mandatory,1,93.0,820.0,268457,48.0,7.0,18.0,11.0,,,DRIVE_HVY,-3.5220434374377154,no_subtours,,0out_0in,work
28275853,689654,work,1,1,1,1,mandatory,1,871.0,843.0,269745,68.0,8.0,22.0,14.0,,,DRIVEALONEFREE,-0.27176303810882035,eat,,0out_0in,work
28276017,689658,work,1,1,1,1,mandatory,1,806.0,843.0,269745,64.0,8.0,18.0,10.0,,,DRIVEALONEFREE,-0.22466114045110844,no_subtours,,2out_0in,work
28276173,689662,school,1,1,1,1,mandatory,1,821.0,843.0,269745,156.0,16.0,18.0,2.0,,,DRIVEALONEFREE,-0.027412535846977816,,,0out_0in,univ
28621565,698086,work,1,1,1,1,mandatory,1,863.0,839.0,273112,165.0,17.0,20.0,3.0,,,DRIVEALONEFREE,0.06718938176915963,no_subtours,,0out_2in,work
29500318,719519,work,1,1,1,1,mandatory,1,138.0,946.0,284622,47.0,7.0,17.0,10.0,,,SHARED3FREE,-0.9764483727127494,no_subtours,,0out_0in,work
30498422,743863,work,1,1,1,2,mandatory,1,942.0,939.0,299244,58.0,8.0,12.0,4.0,,,DRIVEALONEFREE,0.35118225090282984,eat,,0out_0in,work
30498414,743863,school,1,1,2,2,mandatory,1,946.0,939.0,299244,170.0,18.0,19.0,1.0,,,DRIVEALONEFREE,0.26363386419176016,,,0out_0in,univ
31859704,777065,work,1,1,1,1,mandatory,1,24.0,912.0,315467,48.0,7.0,18.0,11.0,,,DRIVE_HVY,-3.803745340862129,eat,,0out_0in,work
32351007,789048,work,1,1,1,1,mandatory,1,972.0,937.0,321390,108.0,11.0,20.0,9.0,,,DRIVEALONEFREE,-0.32842290335707186,no_subtours,,0out_1in,work
32351048,789049,work,1,1,1,1,mandatory,1,943.0,937.0,321390,81.0,9.0,20.0,11.0,,,DRIVEALONEFREE,0.15211907314796094,no_subtours,,0out_2in,work
35458479,864840,work,1,1,1,1,mandatory,1,979.0,910.0,350962,50.0,7.0,20.0,13.0,,,DRIVEALONEFREE,-0.22912344807685994,no_subtours,,0out_1in,work
35458561,864842,work,1,1,1,1,mandatory,1,973.0,910.0,350962,46.0,7.0,16.0,9.0,,,SHARED2FREE,-0.1217098460636475,no_subtours,,0out_0in,work
35458635,864844,school,1,1,1,1,mandatory,1,817.0,910.0,350962,59.0,8.0,13.0,5.0,,,SHARED2FREE,-2.379076547196531,,,0out_0in,school
36067575,879696,work,1,1,1,1,mandatory,1,971.0,906.0,357154,63.0,8.0,17.0,9.0,,,SHARED3FREE,-1.231012392112026,no_subtours,,0out_1in,work
36067690,879699,school,1,1,1,1,mandatory,1,925.0,906.0,357154,47.0,7.0,17.0,10.0,,,SHARED3FREE,-1.8646227759945306,,,0out_0in,school
36067739,879700,work,1,1,1,1,mandatory,1,796.0,906.0,357154,66.0,8.0,20.0,12.0,,,DRIVEALONEFREE,-5.173526839568991,no_subtours,,1out_1in,work
36641657,893698,work,2,1,1,2,mandatory,1,403.0,804.0,361553,115.0,12.0,15.0,3.0,,,DRIVEALONEFREE,-1.8617918663026705,no_subtours,,0out_0in,work
36641658,893698,work,2,2,2,2,mandatory,1,403.0,804.0,361553,155.0,16.0,17.0,1.0,,,SHARED2FREE,-1.8134202857046369,no_subtours,,0out_1in,work
36641698,893699,work,1,1,1,1,mandatory,1,1005.0,804.0,361553,31.0,6.0,18.0,12.0,,,DRIVEALONEFREE,-1.756260688053839,no_subtours,,0out_0in,work
36641731,893700,school,1,1,1,1,mandatory,1,816.0,804.0,361553,45.0,7.0,15.0,8.0,,,DRIVEALONEFREE,-1.2986561849271547,,,0out_0in,school
36641780,893701,work,1,1,1,1,mandatory,1,796.0,804.0,361553,46.0,7.0,16.0,9.0,,,SHARED3FREE,-0.21870072015521125,no_subtours,,0out_0in,work
38487723,938724,work,1,1,1,1,mandatory,1,857.0,793.0,375065,170.0,18.0,19.0,1.0,,,DRIVEALONEFREE,-0.28497050629670717,no_subtours,,0out_0in,work
38487805,938726,work,1,1,1,1,mandatory,1,715.0,793.0,375065,9.0,5.0,14.0,9.0,,,SHARED2FREE,-1.0100447080466877,no_subtours,,1out_0in,work
38487887,938728,work,1,1,1,1,mandatory,1,905.0,793.0,375065,27.0,6.0,14.0,8.0,,,SHARED3FREE,-0.5477664695429078,no_subtours,,0out_0in,work
38488051,938732,work,1,1,1,1,mandatory,1,387.0,793.0,375065,14.0,5.0,19.0,14.0,,,DRIVEALONEFREE,-1.0441598326396313,no_subtours,,1out_0in,work
39830801,971482,work,1,1,1,1,mandatory,1,399.0,801.0,385159,11.0,5.0,16.0,11.0,,,SHARED3FREE,-2.4696428061198317,no_subtours,,0out_2in,work
