trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum
718633,2190,836,89829,work,1,True,1,work,751,1005,,7.0,DRIVEALONEFREE,-2.518936349667873
718637,2190,836,89829,work,1,False,1,Home,1005,751,,16.0,DRIVEALONEFREE,-2.3478343331542812
719265,2192,836,89908,social,1,True,1,social,934,1005,,20.0,SHARED3FREE,0.6545843954137763
719269,2192,836,89908,social,1,False,1,Home,1005,934,,22.0,SHARED3FREE,0.5949649886961381
719289,2192,836,89911,work,1,True,1,work,991,1005,,5.0,DRIVE_HVY,-2.4889563628813884
719293,2192,836,89911,work,1,False,1,Home,1005,991,,15.0,DRIVE_HVY,-1.4886952049284432
6997537,21333,10120,874692,work,1,True,1,work,810,996,,6.0,DRIVEALONEFREE,-1.983652928223458
6997541,21333,10120,874692,work,1,False,2,othmaint,1001,810,7.934491288120941,16.0,DRIVEALONEFREE,-2.1293609579772474
6997542,21333,10120,874692,work,2,False,2,Home,996,1001,,17.0,WALK,-0.49364330315765304
10564145,32207,16465,1320518,univ,1,True,1,univ,976,976,,18.0,WALK,-0.7313695826134591
10564149,32207,16465,1320518,univ,1,False,1,Home,976,976,,18.0,WALK,-0.7313695826134591
10564585,32209,16465,1320573,atwork,1,True,1,atwork,970,971,,10.0,WALK,-0.31466241463839273
10564589,32209,16465,1320573,atwork,1,False,1,Work,971,970,,10.0,WALK,-0.31466241463839273
10564865,32209,16465,1320608,work,1,True,1,work,971,976,,8.0,WALK,-5.1007680866780225
10564869,32209,16465,1320608,work,1,False,3,shopping,979,971,2.845874605791834,16.0,WALK,-1.1507837590297196
10564870,32209,16465,1320608,work,2,False,3,escort,979,979,4.951353923534427,17.0,WALK,-0.6538827788233939
10564871,32209,16465,1320608,work,3,False,3,Home,976,979,,17.0,WALK,-2.369798409817276
11964113,36475,18933,1495514,work,1,True,1,work,945,979,,17.0,BIKE,-0.8543999330986689
11964117,36475,18933,1495514,work,1,False,1,Home,979,945,,20.0,BIKE,-0.8544004150816399
12437481,37919,19383,1554685,eatout,1,True,1,eatout,973,979,,18.0,BIKE,-0.7225520818789739
12437485,37919,19383,1554685,eatout,1,False,2,shopping,991,973,7.721799958548831,20.0,BIKE,-1.516567648062902
12437486,37919,19383,1554685,eatout,2,False,2,Home,979,991,,20.0,BIKE,-1.571941298837193
12437745,37919,19383,1554718,work,1,True,1,work,870,979,,13.0,SHARED2FREE,-0.39232153534201236
12437749,37919,19383,1554718,work,1,False,2,escort,996,870,12.476574785557773,18.0,DRIVEALONEFREE,-0.5448812855343489
12437750,37919,19383,1554718,work,2,False,2,Home,979,996,,18.0,SHARED2FREE,-0.08961469702678876
12442665,37934,19352,1555333,work,1,True,1,work,971,979,,7.0,WALK,-1.1504064623891475
12442669,37934,19352,1555333,work,1,False,1,Home,979,971,,21.0,WALK,-1.150406259574811
19934233,60775,27646,2491779,atwork,1,True,1,atwork,969,947,,13.0,DRIVEALONEFREE,-0.28710764361883523
19934237,60775,27646,2491779,atwork,1,False,1,Work,947,969,,13.0,DRIVEALONEFREE,-0.30812071775727207
19934273,60775,27646,2491784,escort,1,True,1,escort,924,898,,18.0,SHARED3FREE,0.7320895675969384
19934277,60775,27646,2491784,escort,1,False,2,escort,927,924,16.187531198397735,19.0,DRIVEALONEFREE,0.8822631864802474
19934278,60775,27646,2491784,escort,2,False,2,Home,898,927,,19.0,SHARED3FREE,0.7434671573632909
19934513,60775,27646,2491814,work,1,True,1,work,947,898,,8.0,DRIVEALONEFREE,-0.37082217674211365
19934517,60775,27646,2491814,work,1,False,1,Home,898,947,,17.0,DRIVEALONEFREE,-1.0500392197200115
