expression,person
household_id,203307.0
ptype_p1,1.0
M_p1,3.077594211110596
N_p1,0.622662391
H_p1,0.0
ptype_p2,7.0
M_p2,3.0015635289999993
N_p2,1.3868756584702089
H_p2,0.0
ptype_p3,7.0
M_p3,3.0015635289999993
N_p3,1.3868756584702089
H_p3,0.0
ptype_p4,7.0
M_p4,3.0015635289999993
N_p4,1.3868756584702089
H_p4,0.0
ptype_p5,4.0
M_p5,-996.2471899433136
N_p5,2.1252748105372032
H_p5,-0.5602
p1_p2,17.0
p1_p3,17.0
p1_p4,17.0
p1_p5,14.0
p2_p3,77.0
p2_p4,77.0
p2_p5,47.0
p3_p4,77.0
p3_p5,47.0
p4_p5,47.0
p1_p2_p3,177.0
p1_p2_p4,177.0
p1_p2_p5,147.0
p1_p3_p4,177.0
p1_p3_p5,147.0
p1_p4_p5,147.0
p2_p3_p4,777.0
p2_p3_p5,477.0
p2_p4_p5,477.0
p3_p4_p5,477.0
