expression,household
household_id,203307.0
HHHHH,1.2656673955360353e-05
HHHHM,0.0
HHHHN,0.035152797163810964
HHHMH,0.000517261314361073
HHHMM,0.0
HHHMN,0.000582904287792588
HHHNH,0.00010291056601432311
HHHNM,0.0
HHHNN,0.00020396229135533786
HHMHH,0.000517261314361073
HHMHM,0.0
HHMHN,0.000582904287792588
HHMMH,0.00016583805161130518
HHMMM,0.0
HHMMN,0.00042060179458704356
HHMNH,1.2468729237470378e-05
HHMNM,0.0
HHMNN,5.561754224292659e-05
HHNHH,0.00010291056601432311
HHNHM,0.0
HHNHN,0.00020396229135533786
HHNMH,1.2468729237470378e-05
HHNMM,0.0
HHNMN,5.561754224292659e-05
HHNNH,1.172280369184929e-05
HHNNM,0.0
HHNNN,9.196525005760036e-05
HMHHH,0.000517261314361073
HMHHM,0.0
HMHHN,0.000582904287792588
HMHMH,0.00016583805161130518
HMHMM,0.0
HMHMN,0.00042060179458704356
HMHNH,1.2468729237470378e-05
HMHNM,0.0
HMHNN,5.561754224292659e-05
HMMHH,0.00016583805161130518
HMMHM,0.0
HMMHN,0.00042060179458704356
HMMMH,0.00231363520513637
HMMMM,0.0
HMMMN,0.013206310453412997
HMMNH,6.573867270224857e-05
HMMNM,0.0
HMMNN,0.000659948755260047
HMNHH,1.2468729237470378e-05
HMNHM,0.0
HMNHN,5.561754224292659e-05
HMNMH,6.573867270224857e-05
HMNMM,0.0
HMNMN,0.000659948755260047
HMNNH,2.3357064987166947e-05
HMNNM,0.0
HMNNN,0.000412391985408882
HNHHH,0.00010291056601432311
HNHHM,0.0
HNHHN,0.00020396229135533786
HNHMH,1.2468729237470378e-05
HNHMM,0.0
HNHMN,5.561754224292659e-05
HNHNH,1.172280369184929e-05
HNHNM,0.0
HNHNN,9.196525005760036e-05
HNMHH,1.2468729237470378e-05
HNMHM,0.0
HNMHN,5.561754224292659e-05
HNMMH,6.573867270224857e-05
HNMMM,0.0
HNMMN,0.000659948755260047
HNMNH,2.3357064987166947e-05
HNMNM,0.0
HNMNN,0.000412391985408882
HNNHH,1.172280369184929e-05
HNNHM,0.0
HNNHN,9.196525005760036e-05
HNNMH,2.3357064987166947e-05
HNNMM,0.0
HNNMN,0.000412391985408882
HNNNH,0.00010377360350141584
HNNNM,0.0
HNNNN,0.0032224152899274377
MHHHH,0.006569407157078912
MHHHM,0.0
MHHHN,0.008451115158814259
MHHMH,0.0002822638866278435
MHHMM,0.0
MHHMN,0.0008172272533860198
MHHNH,4.3200606350124075e-05
MHHNM,0.0
MHHNN,0.00021997839600898452
MHMHH,0.0002822638866278435
MHMHM,0.0
MHMHN,0.0008172272533860198
MHMMH,0.000527741157008232
MHMMM,0.0
MHMMN,0.0034388099340224272
MHMNH,3.052414653406995e-05
MHMNM,0.0
MHMNN,0.00034981095170520785
MHNHH,4.3200606350124075e-05
MHNHM,0.0
MHNHN,0.00021997839600898452
MHNMH,3.052414653406995e-05
MHNMM,0.0
MHNMN,0.00034981095170520785
MHNNH,2.2076864158246033e-05
MHNNM,0.0
MHNNN,0.00044496917052245935
MMHHH,0.0002822638866278435
MMHHM,0.0
MMHHN,0.0008172272533860198
MMHMH,0.000527741157008232
MMHMM,0.0
MMHMN,0.0034388099340224272
MMHNH,3.052414653406995e-05
MMHNM,0.0
MMHNN,0.00034981095170520785
MMMHH,0.000527741157008232
MMMHM,0.0
MMMHN,0.0034388099340224272
MMMMH,0.042936152238753716
MMMMM,0.0
MMMMN,0.6296656669365741
MMMNH,0.0009384988109282918
MMMNM,0.0
MMMNN,0.02420601414290953
MMNHH,3.052414653406995e-05
MMNHM,0.0
MMNHN,0.00034981095170520785
MMNMH,0.0009384988109282918
MMNMM,0.0
MMNMN,0.02420601414290953
MMNNH,0.00025651668686643665
MMNNM,0.0
MMNNN,0.011636110652211533
MNHHH,4.3200606350124075e-05
MNHHM,0.0
MNHHN,0.00021997839600898452
MNHMH,3.052414653406995e-05
MNHMM,0.0
MNHMN,0.00034981095170520785
MNHNH,2.2076864158246033e-05
MNHNM,0.0
MNHNN,0.00044496917052245935
MNMHH,3.052414653406995e-05
MNMHM,0.0
MNMHN,0.00034981095170520785
MNMMH,0.0009384988109282918
MNMMM,0.0
MNMMN,0.02420601414290953
MNMNH,0.00025651668686643665
MNMNM,0.0
MNMNN,0.011636110652211533
MNNHH,2.2076864158246033e-05
MNNHM,0.0
MNNHN,0.00044496917052245935
MNNMH,0.00025651668686643665
MNNMM,0.0
MNNMN,0.011636110652211533
MNNNH,0.0008767359361258924
MNNNM,0.0
MNNNN,0.06994613036238165
NHHHH,0.0005641087502219702
NHHHM,0.0
NHHHN,0.0007417274539757964
NHHMH,1.8645607236938184e-05
NHHMM,0.0
NHHMN,5.51769554282446e-05
NHHNH,6.764732444810381e-06
NHHNM,0.0
NHHNN,3.520744343464102e-05
NHMHH,1.8645607236938184e-05
NHMHM,0.0
NHMHN,5.51769554282446e-05
NHMMH,2.6818021631295113e-05
NHMMM,0.0
NHMMN,0.00017861076142928266
NHMNH,3.676959691492073e-06
NHMNM,0.0
NHMNN,4.306975671525478e-05
NHNHH,6.764732444810381e-06
NHNHM,0.0
NHNHN,3.520744343464102e-05
NHNMH,3.676959691492073e-06
NHNMM,0.0
NHNMN,4.306975671525478e-05
NHNNH,6.304088362766659e-06
NHNNM,0.0
NHNNN,0.00012986989997531813
NMHHH,1.8645607236938184e-05
NMHHM,0.0
NMHHN,5.51769554282446e-05
NMHMH,2.6818021631295113e-05
NMHMM,0.0
NMHMN,0.00017861076142928266
NMHNH,3.676959691492073e-06
NMHNM,0.0
NMHNN,4.306975671525478e-05
NMMHH,2.6818021631295113e-05
NMMHM,0.0
NMMHN,0.00017861076142928266
NMMMH,0.0016784694902384626
NMMMM,0.0
NMMMN,0.025159037376085807
NMMNH,8.696882915875783e-05
NMMNM,0.0
NMMNN,0.0022926980239962153
NMNHH,3.676959691492073e-06
NMNHM,0.0
NMNHN,4.306975671525478e-05
NMNMH,8.696882915875783e-05
NMNMM,0.0
NMNMN,0.0022926980239962153
NMNNH,5.634885373476851e-05
NMNNM,0.0
NMNNN,0.00261258833706199
NNHHH,6.764732444810381e-06
NNHHM,0.0
NNHHN,3.520744343464102e-05
NNHMH,3.676959691492073e-06
NNHMM,0.0
NNHMN,4.306975671525478e-05
NNHNH,6.304088362766659e-06
NNHNM,0.0
NNHNN,0.00012986989997531813
NNMHH,3.676959691492073e-06
NNMHM,0.0
NNMHN,4.306975671525478e-05
NNMMH,8.696882915875783e-05
NNMMM,0.0
NNMMN,0.0022926980239962153
NNMNH,5.634885373476851e-05
NNMNM,0.0
NNMNN,0.00261258833706199
NNNHH,6.304088362766659e-06
NNNHM,0.0
NNNHN,0.00012986989997531813
NNNMH,5.634885373476841e-05
NNNMM,0.0
NNNMN,0.002612588337061985
NNNNH,0.00045653895381577494
NNNNM,0.0
NNNNN,0.0011782774212567904
