expression,household
household_id,203307.0
HHHHH,7.099000000000002
HHHHM,-1982.3441899433137
HHHHN,15.028274810537205
HHHMH,10.809363528999999
HHHMM,-1986.4436264143137
HHHMN,10.9288383395372
HHHNH,9.19467565847021
HHHNM,-1988.0583142848436
HHHNN,9.87875046900741
HHMHH,10.809363528999999
HHMHM,-1986.4436264143137
HHMHN,10.9288383395372
HHMMH,9.671827057999998
HHMMM,-1986.7699628853136
HHMMN,10.602501868537201
HHMNH,7.084039187470208
HHMNM,-1989.3577507558434
HHMNN,8.579313998007411
HHNHH,9.19467565847021
HHNHM,-1988.0583142848436
HHNHN,9.87875046900741
HHNMH,7.084039187470208
HHNMM,-1989.3577507558434
HHNMN,8.579313998007411
HHNNH,7.0223513169404175
HHNNM,-1989.4194386263732
HHNNN,9.082226127477622
HMHHH,10.809363528999999
HMHHM,-1986.4436264143137
HMHHN,10.9288383395372
HMHMH,9.671827057999998
HMHMM,-1986.7699628853136
HMHMN,10.602501868537201
HMHNH,7.084039187470208
HMHNM,-1989.3577507558434
HMHNN,8.579313998007411
HMMHH,9.671827057999998
HMMHM,-1986.7699628853136
HMMHN,10.602501868537201
HMMMH,12.307390587
HMMMM,-1983.3231993563136
HMMMN,14.049265397537203
HMMNH,8.746502716470207
HMMNM,-1986.8840872268433
HMMNN,11.052977527007412
HMNHH,7.084039187470208
HMNHM,-1989.3577507558434
HMNHN,8.579313998007411
HMNMH,8.746502716470207
HMNMM,-1986.8840872268433
HMNMN,11.052977527007412
HMNNH,7.711714845940417
HMNNM,-1987.918875097373
HMNNN,10.582789656477622
HNHHH,9.19467565847021
HNHHM,-1988.0583142848436
HNHHN,9.87875046900741
HNHMH,7.084039187470208
HNHMM,-1989.3577507558434
HNHMN,8.579313998007411
HNHNH,7.0223513169404175
HNHNM,-1989.4194386263732
HNHNN,9.082226127477622
HNMHH,7.084039187470208
HNMHM,-1989.3577507558434
HNMHN,8.579313998007411
HNMMH,8.746502716470207
HNMMM,-1986.8840872268433
HNMMN,11.052977527007412
HNMNH,7.711714845940417
HNMNM,-1987.918875097373
HNMNN,10.582789656477622
HNNHH,7.0223513169404175
HNNHM,-1989.4194386263732
HNNHN,9.082226127477622
HNNMH,7.711714845940417
HNNMM,-1987.918875097373
HNNMN,10.582789656477622
HNNNH,9.203026975410626
HNNNM,-1986.427562967903
HNNNN,12.638701785947834
MHHHH,13.350994211110596
MHHHM,-1983.769595732203
MHHHN,13.602869021647802
MHHMH,10.203657740110597
MHHMM,-1986.105732203203
MHHMN,11.266732550647799
MHHNH,8.326669869580805
MHHNM,-1987.9827200737327
MHHNN,9.954344680118009
MHMHH,10.203657740110597
MHMHM,-1986.105732203203
MHMHN,11.266732550647799
MHMMH,10.829421269110593
MHMMM,-1984.668768674203
MHMMN,12.703696079647797
MHMNH,7.979333398580804
MHMNM,-1987.518856544733
MHMNN,10.418208209118008
MHNHH,8.326669869580805
MHNHM,-1987.9827200737327
MHNHN,9.954344680118009
MHNMH,7.979333398580804
MHNMM,-1987.518856544733
MHNMN,10.418208209118008
MHNNH,7.655345528051014
MHNNM,-1987.8428444152626
MHNNN,10.65882033858822
MMHHH,10.203657740110597
MMHHM,-1986.105732203203
MMHHN,11.266732550647799
MMHMH,10.829421269110593
MMHMM,-1984.668768674203
MMHMN,12.703696079647797
MMHNH,7.979333398580804
MMHNM,-1987.518856544733
MMHNN,10.418208209118008
MMMHH,10.829421269110593
MMMHM,-1984.668768674203
MMMHN,12.703696079647797
MMMMH,15.228284798110593
MMMMM,-1980.9867051452031
MMMMN,17.913759608647794
MMMNH,11.405096927580804
MMMNM,-1983.2818930157327
MMMNN,14.655171738118007
MMNHH,7.979333398580804
MMNHM,-1987.518856544733
MMNHN,10.418208209118008
MMNMH,11.405096927580804
MMNMM,-1983.2818930157327
MMNMN,14.655171738118007
MMNNH,10.108009057051014
MMNNM,-1984.5789808862628
MMNNN,13.922683867588217
MNHHH,8.326669869580805
MNHHM,-1987.9827200737327
MNHHN,9.954344680118009
MNHMH,7.979333398580804
MNHMM,-1987.518856544733
MNHMN,10.418208209118008
MNHNH,7.655345528051014
MNHNM,-1987.8428444152626
MNHNN,10.65882033858822
MNMHH,7.979333398580804
MNMHM,-1987.518856544733
MNMHN,10.418208209118008
MNMMH,11.405096927580804
MNMMM,-1983.2818930157327
MNMMN,14.655171738118007
MNMNH,10.108009057051014
MNMNM,-1984.5789808862628
MNMNN,13.922683867588217
MNNHH,7.655345528051014
MNNHM,-1987.8428444152626
MNNHN,10.65882033858822
MNNMH,10.108009057051014
MNNMM,-1984.5789808862628
MNNMN,13.922683867588217
MNNNH,11.337021186521225
MNNNM,-1983.3499687567924
MNNNN,15.71629599705843
NHHHH,10.896062391000001
NHHHM,-1986.2245275523137
NHHHN,11.169797201537204
NHHMH,7.486425919999999
NHHMM,-1988.8229640233137
NHHMN,8.571360730537203
NHHNH,6.4725380494702085
NHHNM,-1989.8368518938435
NHHNN,8.122072860007414
NHMHH,7.486425919999999
NHMHM,-1988.8229640233137
NHMHN,8.571360730537203
NHMMH,7.849889448999999
NHMMM,-1987.6483004943136
NHMMN,9.746024259537203
NHMNH,5.8629015784702085
NHMNM,-1989.6352883648433
NHMNN,8.323636389007412
NHNHH,6.4725380494702085
NHNHM,-1989.8368518938435
NHNHN,8.122072860007414
NHNMH,5.8629015784702085
NHNMM,-1989.6352883648433
NHNMN,8.323636389007412
NHNNH,6.402013707940418
NHNNM,-1989.0961762353732
NHNNN,9.427348518477622
NMHHH,7.486425919999999
NMHHM,-1988.8229640233137
NMHHN,8.571360730537203
NMHMH,7.849889448999999
NMHMM,-1987.6483004943136
NMHMN,9.746024259537203
NMHNH,5.8629015784702085
NMHNM,-1989.6352883648433
NMHNN,8.323636389007412
NMMHH,7.849889448999999
NMMHM,-1987.6483004943136
NMMHN,9.746024259537203
NMMMH,11.986452977999999
NMMMM,-1982.7005369653134
NMMMN,14.693787788537202
NMMNH,9.026365107470209
NMMNM,-1985.6606248358435
NMMNN,12.298299918007412
NMNHH,5.8629015784702085
NMNHM,-1989.6352883648433
NMNHN,8.323636389007412
NMNMH,9.026365107470209
NMNMM,-1985.6606248358435
NMNMN,12.298299918007412
NMNNH,8.592377236940418
NMNNM,-1986.094612706373
NMNNN,12.428912047477622
NNHHH,6.4725380494702085
NNHHM,-1989.8368518938435
NNHHN,8.122072860007414
NNHMH,5.8629015784702085
NNHMM,-1989.6352883648433
NNHMN,8.323636389007412
NNHNH,6.402013707940418
NNHNM,-1989.0961762353732
NNHNN,9.427348518477622
NNMHH,5.8629015784702085
NNMHM,-1989.6352883648433
NNMHN,8.323636389007412
NNMMH,9.026365107470209
NNMMM,-1985.6606248358435
NNMMN,12.298299918007412
NNMNH,8.592377236940418
NNMNM,-1986.094612706373
NNMNN,12.428912047477622
NNNHH,6.402013707940418
NNNHM,-1989.0961762353732
NNNHN,9.427348518477622
NNNMH,8.592377236940417
NNNMM,-1986.094612706373
NNNMN,12.42891204747762
NNNNH,10.684489366410627
NNNNM,-1984.002500576903
NNNNN,11.63262417694783
