label,value
household_id,203307
gt2,1
hh_workers,two or more
hispanic_status_of_head,0
num_workers,2.0
race_of_head,6
hh_income,gt60-lt100
age_of_head,34
recent_mover,0
seniors,1.0
VEHICL,3
hh_age_of_head,lt35
income,80000.0
hh_size,four or more
hh_children,yes
lcm_county_id,6001
tenure_mover,rent not recent
serialno,2012000354796
tenure,2
sf_detached,no
hh_race_of_head,asian
hh_cars,two or more
hh_seniors,yes
block_id,60014287001014
gt55,0
hispanic_head,no
hh_type,7
hhsize,6
TAZ,961
HHT,4
sample_rate,0.0
chunk_id,598
income_in_thousands,80.0
income_segment,3
median_value_of_time,10.44
hh_value_of_time,7.268461794470672
num_non_workers,4.0
num_drivers,3
num_adults,3
num_children,3
num_young_children,0
num_children_5_to_15,3
num_children_16_to_17,0
num_college_age,0
num_young_adults,1
non_family,True
family,False
home_is_urban,False
home_is_rural,False
auto_ownership,3
av,0
hh_work_auto_savings_ratio,1.8466615676879883
num_under16_not_at_school,0
num_travel_active,6
num_travel_active_adults,3
num_travel_active_preschoolers,0
num_travel_active_children,3
num_travel_active_non_preschoolers,6
participates_in_jtf_model,True
joint_tour_frequency,1_Eat
num_hh_joint_tours,1
