label,value_1,value_2,value_3
participant_id,2097663803,2097663804,2097663805
tour_id,20976638,20976638,20976638
point_person_id,511625,511625,511625
tour_type,eatout,eatout,eatout
tour_type_count,1,1,1
tour_type_num,1,1,1
tour_num,1,1,1
tour_count,1,1,1
tour_category,joint,joint,joint
number_of_participants,1,1,1
destination,,,
origin,961,961,961
household_id,203307,203307,203307
tdd,,,
start,,,
end,,,
duration,,,
composition,children,children,children
person_id,511623,511624,511626
Unnamed: 0,512354,512355,512357
edu,5.0,5.0,4.0
work_at_home,0,0,0
p_hispanic,no,no,no
MAR,5,5,5
hispanic.1,0,0,0
worker,0,0,0
earning,0.0,0.0,0.0
hispanic,0,0,0
person_age,19 and under,19 and under,19 and under
sex,1,1,2
age,9,9,7
PNUM,3,4,5
school_zone_id,961,904,947
work_zone_id,-1,-1,-1
hours,0.0,0.0,0.0
student,1,1,1
race_id,6,6,6
relate,2,2,2
race,asian,asian,asian
person_sex,male,male,female
TAZ,961,961,961
ptype,7,7,7
pemploy,4,4,4
pstudent,1,1,1
home_x,-122.2909233,-122.2909233,-122.2909233
home_y,37.786775,37.786775,37.786775
age_16_to_19,False,False,False
age_16_p,False,False,False
adult,False,False,False
male,True,True,False
female,False,False,True
has_non_worker,False,False,False
has_retiree,True,True,True
has_preschool_kid,False,False,False
has_driving_kid,False,False,False
has_school_kid,True,True,True
has_full_time,True,True,True
has_part_time,False,False,False
has_university,False,False,False
student_is_employed,False,False,False
nonstudent_to_school,False,False,False
is_student,True,True,True
is_gradeschool,True,True,True
is_highschool,False,False,False
is_university,False,False,False
school_segment,1,1,1
is_worker,False,False,False
home_taz,961,961,961
value_of_time,4.8480640169119384,4.8480640169119384,4.8480640169119384
_hh_vot,7.268461794470672,7.268461794470672,7.268461794470672
school_taz,878,961,961
distance_to_school,8.119999885559082,0.7599999904632568,0.7599999904632568
roundtrip_auto_time_to_school,34.13999938964844,4.019999980926514,4.019999980926514
workplace_taz,-1,-1,-1
workplace_location_logsum,,,
distance_to_work,,,
workplace_in_cbd,False,False,False
work_taz_area_type,,,
roundtrip_auto_time_to_work,0.0,0.0,0.0
work_auto_savings,0.0,0.0,0.0
work_auto_savings_ratio,0.0,0.0,0.0
free_parking_at_work,False,False,False
job_sector,False,False,False
telework_option,False,False,False
telework,False,False,False
cdap_activity,M,M,M
travel_active,True,True,True
under16_not_at_school,False,False,False
has_preschool_kid_at_home,False,False,False
has_school_kid_at_home,False,False,False
mandatory_tour_frequency,school1,school1,school1
work_and_school_and_worker,False,False,False
work_and_school_and_student,False,False,False
num_mand,1,1,1
num_work_tours,0,0,0
gt2,1,1,1
hh_workers,two or more,two or more,two or more
hispanic_status_of_head,0,0,0
num_workers,2.0,2.0,2.0
race_of_head,6,6,6
hh_income,gt60-lt100,gt60-lt100,gt60-lt100
age_of_head,34,34,34
recent_mover,0,0,0
seniors,1.0,1.0,1.0
VEHICL,3,3,3
hh_age_of_head,lt35,lt35,lt35
income,80000.0,80000.0,80000.0
hh_size,four or more,four or more,four or more
hh_children,yes,yes,yes
lcm_county_id,6001,6001,6001
tenure_mover,rent not recent,rent not recent,rent not recent
serialno,2012000354796,2012000354796,2012000354796
tenure,2,2,2
sf_detached,no,no,no
hh_race_of_head,asian,asian,asian
hh_cars,two or more,two or more,two or more
hh_seniors,yes,yes,yes
block_id,60014287001014,60014287001014,60014287001014
gt55,0,0,0
hispanic_head,no,no,no
hh_type,7,7,7
hhsize,6,6,6
HHT,4,4,4
sample_rate,0.0,0.0,0.0
chunk_id,598,598,598
income_in_thousands,80.0,80.0,80.0
income_segment,3,3,3
median_value_of_time,10.44,10.44,10.44
hh_value_of_time,7.268461794470672,7.268461794470672,7.268461794470672
num_non_workers,4.0,4.0,4.0
num_drivers,3,3,3
num_adults,3,3,3
num_children,3,3,3
num_young_children,0,0,0
num_children_5_to_15,3,3,3
num_children_16_to_17,0,0,0
num_college_age,0,0,0
num_young_adults,1,1,1
non_family,True,True,True
family,False,False,False
home_is_urban,False,False,False
home_is_rural,False,False,False
auto_ownership,3,3,3
av,0,0,0
hh_work_auto_savings_ratio,1.8466615676879883,1.8466615676879883,1.8466615676879883
num_under16_not_at_school,0,0,0
num_travel_active,6,6,6
num_travel_active_adults,3,3,3
num_travel_active_preschoolers,0,0,0
num_travel_active_children,3,3,3
num_travel_active_non_preschoolers,6,6,6
participates_in_jtf_model,True,True,True
joint_tour_frequency,1_Eat,1_Eat,1_Eat
num_hh_joint_tours,1,1,1
auPkRetail,9.62110189736206,9.62110189736206,9.62110189736206
auPkTotal,12.291746139526367,12.291746139526367,12.291746139526367
auOpRetail,9.904668024659404,9.904668024659404,9.904668024659404
auOpTotal,12.563990592956543,12.563990592956543,12.563990592956543
trPkRetail,0.9307435586428149,0.9307435586428149,0.9307435586428149
trPkTotal,3.4397530555725098,3.4397530555725098,3.4397530555725098
trOpRetail,0.2078692618802925,0.2078692618802925,0.2078692618802925
trOpTotal,1.8007595539093018,1.8007595539093018,1.8007595539093018
nmRetail,2.881488873037887,2.881488873037887,2.881488873037887
nmTotal,6.3904337882995605,6.3904337882995605,6.3904337882995605
objectid,579,579,579
district,18,18,18
county,Alameda,Alameda,Alameda
gacres,727.484331445,727.484331445,727.484331445
Shape__Are,0.000187754811122,0.000187754811122,0.000187754811122
Shape__Len,0.06535867388971,0.06535867388971,0.06535867388971
