alternative,utility
tour_id,20976638.0
0,-24.32987031713128
1,-23.897171419113874
2,-21.635412473231554
3,-21.226969830691814
4,-21.193470925092697
5,-18.815439861267805
6,0.21316001564264297
7,0.25817885994911194
8,2.9674077853560448
9,2.3314766958355904
10,1.606175608932972
11,-0.11380543559789658
12,0.22516337782144547
13,0.6578622832894325
14,-0.48817869275808334
15,-1.2354797348380089
16,0.5025499649345875
17,0.9835188500583172
18,2.5758478082716465
19,2.412286687642336
20,0.13056563213467598
21,0.5632645674049854
22,0.9022333808243275
23,-0.15865759178996086
24,-0.9911086373031139
25,-15.321690142154694
26,-15.957621224224567
27,-13.892922297120094
28,-15.612903386354446
29,-15.741944462060928
30,-15.309245526790619
31,-16.463866591453552
32,-17.211167633533478
33,-16.169450122863054
34,-16.333011236041784
35,-15.824732277542353
36,-15.392033386975527
37,-15.521074462682009
38,-16.581965405493975
39,-17.422996539622545
40,-16.54484013468027
41,-18.264821216464043
42,-15.603862278163433
43,-15.171163387596607
44,-16.793794341385365
45,-17.541095353662968
46,-19.76803958043456
47,-19.335340682417154
48,-16.674381744116545
49,-17.735272731631994
50,-19.04431375488639
51,-19.54716958105564
52,-19.114470683038235
53,-17.9471016228199
54,-18.694402679800987
55,-19.32629958167672
56,-20.38719056174159
57,-18.906231570988894
58,-21.889720372855663
59,-22.63702142238617
60,-22.848850321024656
61,-999.0
62,-999.0
63,-999.0
64,-999.0
65,-999.0
66,-999.0
67,-999.0
68,-999.0
69,-999.0
70,-999.0
71,-999.0
72,-999.0
73,-999.0
74,-999.0
75,-999.0
76,-999.0
77,-999.0
78,-999.0
79,-999.0
80,-999.0
81,-999.0
82,-999.0
83,-999.0
84,-999.0
85,-999.0
86,-999.0
87,-999.0
88,-999.0
89,-999.0
90,-999.0
91,-999.0
92,-999.0
93,-999.0
94,-999.0
95,-999.0
96,-999.0
97,-999.0
98,-999.0
99,-999.0
100,-999.0
101,-999.0
102,-999.0
103,-999.0
104,-999.0
105,-999.0
106,-999.0
107,-999.0
108,-999.0
109,-999.0
110,-999.0
111,-999.0
112,-999.0
113,-999.0
114,-999.0
115,-999.0
116,-999.0
117,-999.0
118,-999.0
119,-999.0
120,-999.0
121,-999.0
122,-999.0
123,-999.0
124,-999.0
125,-999.0
126,-999.0
127,-999.0
128,-999.0
129,-999.0
130,-999.0
131,-999.0
132,-999.0
133,-999.0
134,-999.0
135,-999.0
136,-999.0
137,-999.0
138,-999.0
139,-999.0
140,-999.0
141,-999.0
142,-999.0
143,-999.0
144,-999.0
145,-999.0
146,-999.0
147,-999.0
148,-999.0
149,-999.0
150,-999.0
151,-999.0
152,-999.0
153,-999.0
154,-999.0
155,-999.0
156,-999.0
157,-999.0
158,-999.0
159,-999.0
160,-999.0
161,-999.0
162,-999.0
163,-999.0
164,-999.0
165,-999.0
166,-999.0
167,-999.0
168,-999.0
169,-999.0
170,-999.0
171,-999.0
172,-999.0
173,-999.0
174,-999.0
175,-999.0
176,-999.0
177,-999.0
178,-999.0
179,-999.0
180,-999.0
181,-999.0
182,-999.0
183,-999.0
184,-999.0
185,-999.0
186,-999.0
187,-999.0
188,-999.0
189,-999.0
