label,value_1,value_2,value_3
tour_id,20976574,20976615,20976697
person_id,511623,511624,511626
tour_type,school,school,school
tour_type_count,1,1,1
tour_type_num,1,1,1
tour_num,1,1,1
tour_count,1,1,1
tour_category,mandatory,mandatory,mandatory
number_of_participants,1,1,1
destination,878,961,961
origin,961,961,961
household_id,203307,203307,203307
mandatory_tour_seg,school,school,school
hhsize,6,6,6
density_index,1.5849827236327831,1.5849827236327831,1.5849827236327831
age,9,9,7
age_16_p,False,False,False
age_16_to_19,False,False,False
auto_ownership,3,3,3
num_workers,2.0,2.0,2.0
value_of_time,4.8480640169119384,4.8480640169119384,4.8480640169119384
free_parking_at_work,False,False,False
ptype,7,7,7
roundtrip_auto_time_to_work,0.0,0.0,0.0
income_in_thousands,80.0,80.0,80.0
work_and_school_and_worker,False,False,False
work_and_school_and_student,False,False,False
workplace_in_cbd,False,False,False
home_is_rural,False,False,False
mandatory_tour_frequency,school1,school1,school1
is_worker,False,False,False
is_student,True,True,True
is_university,False,False,False
workplace_taz,-1,-1,-1
school_taz,878,961,961
TAZ,961,961,961
start_previous,5,5,5
end_previous,5,5,5
