alternative,probability_1,probability_2,probability_3
tour_id,20976574.0,20976615.0,20976697.0
0,4.7988805946250223e-05,4.382821123852055e-05,4.382821123852055e-05
1,4.871538228213844e-05,4.505234118669594e-05,4.505234118669594e-05
2,4.835818721722053e-05,4.631177739661156e-05,4.631177739661156e-05
3,9.53677373261177e-05,9.248571796227858e-05,9.248571796227858e-05
4,9.681386673894054e-05,9.507572985691261e-05,9.507572985691261e-05
5,0.0003864157860420069,0.00038428463533664254,0.00038428463533664254
6,0.0003922812304141283,0.00039506531032546536,0.00039506531032546536
7,0.000708581198008211,0.0007165007496422214,0.0007165007496422214
8,0.0014458961688278307,0.0014806473426170167,0.0014806473426170167
9,0.0007656809767718791,0.0007940667761810257,0.0007940667761810257
10,0.0010344730205030636,0.00108650098029151,0.00108650098029151
11,0.0003842168831104154,0.00040869217631140015,0.00040869217631140015
12,0.00019710577918425178,0.00020736824043769746,0.00020736824043769746
13,0.0001893040244583933,0.0002017092065045429,0.0002017092065045429
14,9.532663415764045e-05,0.00010287509640965799,0.00010287509640965799
15,9.678018152416055e-05,0.00010578392582369725,0.00010578392582369725
16,9.72437934507337e-05,0.00010877759541574972,0.00010877759541574972
17,4.087485076106299e-05,4.6311137585776794e-05,4.6311137585776794e-05
18,4.149901559098886e-05,4.7624002338535354e-05,4.7624002338535354e-05
19,0.0004344088759828551,0.0003967459411636512,0.0003967459411636512
20,0.0004312203801931538,0.000407827127793704,0.000407827127793704
21,0.0004377526245835403,0.0004192279171555889,0.0004192279171555889
22,0.0008632969868695834,0.000837208094518137,0.000837208094518137
23,0.0028830910241497594,0.0028313297732864796,0.0028313297732864796
24,0.0034979500732848752,0.003478658266285043,0.003478658266285043
25,0.003581632089220218,0.003576248127334649,0.003576248127334649
26,0.012892781649672646,0.013036879531845671,0.013036879531845671
27,0.01308868010160386,0.013403258012997474,0.013403258012997474
28,0.01189118876263682,0.012332026277466525,0.012332026277466525
29,0.006345470929975684,0.006664611110376902,0.006664611110376902
30,0.004311213385475082,0.004478437824766451,0.004478437824766451
31,0.00168792398177584,0.0017758070186579989,0.0017758070186579989
32,0.0009250524993999326,0.0009856716261730351,0.0009856716261730351
33,0.0008629249088221001,0.0009312558234518726,0.0009312558234518726
34,0.0008670526070885727,0.0009575874083134334,0.0009575874083134334
35,0.00036444879662476487,0.00040767500261176224,0.00040767500261176224
36,0.0003700112479349527,0.0004192221253985299,0.0004192221253985299
37,0.0021849280330942925,0.0020000754837839097,0.0020000754837839097
38,0.0022183233706551202,0.002055937957499452,0.002055937957499452
39,0.002252249133622407,0.0021134116123819975,0.0021134116123819975
40,0.014614116920025082,0.013884471525138888,0.013884471525138888
41,0.014837880127901095,0.014273298548306763,0.014273298548306763
42,0.017956402939296817,0.017536610694623506,0.017536610694623506
43,0.03664203088017098,0.036237630665200804,0.036237630665200804
44,0.0656245552333361,0.06572151200894925,0.06572151200894925
45,0.11430201322302916,0.11592121954497978,0.11592121954497978
46,0.041017610785915,0.042126393425602864,0.042126393425602864
47,0.04001973577062391,0.04067056311705742,0.04067056311705742
48,0.020751931812532372,0.02135773641327229,0.02135773641327229
49,0.0046364230853163475,0.004832562170122946,0.004832562170122946
50,0.004707248060276966,0.004968967417254378,0.004968967417254378
51,0.00432568589682154,0.0046946464938095065,0.0046946464938095065
52,0.001818204465372826,0.0019986106750011674,0.0019986106750011674
53,0.001845940932099326,0.0020551710640916063,0.0020551710640916063
54,0.0020294321993922573,0.001857735141169724,0.001857735141169724
55,0.0020604508747577503,0.0019096220231076485,0.0019096220231076485
56,0.006882019200791582,0.006457784389152405,0.006457784389152405
57,0.013574066968777899,0.01289634860181491,0.01289634860181491
58,0.013746191870728203,0.01325750378352275,0.01325750378352275
59,0.033523936489252115,0.0327401999805157,0.0327401999805157
60,0.03403430968572099,0.033658689617109695,0.033658689617109695
61,0.10457369474520574,0.10472819679433044,0.10472819679433044
62,0.07194112643883828,0.07296024695520854,0.07296024695520854
63,0.04719988493689929,0.04736561364089003,0.04736561364089003
64,0.03516465865073276,0.03573652952986774,0.03573652952986774
65,0.010405039407213067,0.010708790441127079,0.010708790441127079
66,0.004306460513493957,0.004488640872863561,0.004488640872863561
67,0.004307111182423592,0.004615338501573349,0.004615338501573349
68,0.0016634443357528591,0.0018053282889142748,0.0018053282889142748
69,0.001688807425790008,0.0018563745791445117,0.0018563745791445117
70,0.0002728077875785069,0.000249727295112952,0.000249727295112952
71,0.0009111849185573424,0.0008444844810023564,0.0008444844810023564
72,0.0009251200571287823,0.0008680920074054521,0.0008680920074054521
73,0.0018201601479566956,0.001733600329666533,0.001733600329666533
74,0.0037141793864939312,0.003582137346269776,0.003582137346269776
75,0.004506477697207147,0.004401123390196092,0.004401123390196092
76,0.007849063322399645,0.007762437040541164,0.007762437040541164
77,0.009525562115281341,0.009539635624584627,0.009539635624584627
78,0.011981040006881855,0.011872440206676478,0.011872440206676478
