alternative,utility_1,utility_2,utility_3
tour_id,20976574.0,20976615.0,20976697.0
0,-12.87861685806438,-8.225785154377938,-8.225785154377938
1,-12.86358979415622,-8.19823790529352,-8.19823790529352
2,-12.870949092446729,-8.170666556463285,-8.170666556463285
3,-12.191844294228563,-7.479008624436036,-7.479008624436036
4,-12.176794396863237,-7.451389126196953,-7.451389126196953
5,-10.792670676671761,-6.0546793407631805,-6.0546793407631805
6,-10.777605625231253,-6.02701176279599,-6.02701176279599
7,-10.186319974241396,-5.43168356310225,-5.43168356310225
8,-9.473100037970928,-4.705828191836062,-4.705828191836062
9,-10.108819028742722,-5.32889529793114,-5.32889529793114
10,-9.807937215221791,-5.015345154682436,-5.015345154682436
11,-10.79837743940652,-5.993100609102845,-5.993100609102845
12,-11.465844097515903,-6.671566704486209,-6.671566704486209
13,-11.506230314647183,-6.699235768163071,-6.699235768163071
14,-12.192275383712683,-7.372547260475432,-7.372547260475432
15,-12.177142395321063,-7.3446642785766825,-7.3446642785766825
16,-12.172363472417668,-7.316757467896757,-7.316757467896757
17,-13.039069654216338,-8.170680371853027,-8.170680371853027
18,-13.023914926065348,-8.142725971670423,-8.142725971670423
19,-10.675598431169238,-6.022766727482796,-6.022766727482796
20,-10.682965349944933,-5.99521947839838,-5.99521947839838
21,-10.667930665551587,-5.967648129568143,-5.967648129568143
22,-9.988825867333421,-5.275990197540894,-5.275990197540894
23,-8.782966362462297,-4.057561091796013,-4.057561091796013
24,-8.58965224977662,-3.8516609138680393,-3.8516609138680393
25,-8.566010765969873,-3.8239933359008482,-3.8239933359008482
26,-7.285161760625979,-2.530525349486832,-2.530525349486832
27,-7.270081611075787,-2.502809764940921,-2.502809764940921
28,-7.366031667597702,-2.586107936786121,-2.586107936786121
29,-7.994088034284979,-3.201495973745622,-3.201495973745622
30,-8.380609960892906,-3.5990332918554544,-3.5990332918554544
31,-9.318329992672764,-4.52405259964307,-4.52405259964307
32,-9.919734140311704,-5.112739593827591,-5.112739593827591
33,-9.989256956817542,-5.169528833580291,-5.169528833580291
34,-9.98448498023239,-5.141645851681541,-5.141645851681541
35,-10.851198566392736,-5.995592561871824,-5.995592561871824
36,-10.836051227321196,-5.967661944957887,-5.967661944957887
37,-9.060246462133286,-4.405122655903816,-4.405122655903816
38,-9.045077681235139,-4.377575406819401,-4.377575406819401
39,-9.029900021462158,-4.350004057989164,-4.350004057989164
40,-7.159841379453302,-2.4675365184561158,-2.4675365184561158
41,-7.144645974328233,-2.4399170202170337,-2.4399170202170337
42,-6.953882592300826,-2.23401684228906,-2.23401684228906
43,-6.240633387117338,-1.5082094776015929,-1.5082094776015929
44,-5.657879409847422,-0.9128812779078525,-0.9128812779078525
45,-5.102985169193993,-0.34539675911206336,-0.34539675911206336
46,-6.127827847493561,-1.3576331111654696,-1.3576331111654696
47,-6.1524566266388545,-1.3928030118143933,-1.3928030118143933
48,-6.8091900115970825,-2.036893542328477,-2.036893542328477
49,-8.307886171172576,-3.522930780623752,-3.522930780623752
50,-8.29272589201653,-3.495095522248612,-3.495095522248612
51,-8.37725863666903,-3.5518847620013108,-3.5518847620013108
52,-9.24397989670636,-4.40585530097277,-4.40585530097277
53,-9.228840215550086,-4.3779484902928445,-4.3779484902928445
54,-9.134073304143307,-4.478949497913837,-4.478949497913837
55,-9.11890452324516,-4.451402248829422,-4.451402248829422
56,-7.912917255966381,-3.2330212924933863,-3.2330212924933863
57,-7.233668221463323,-2.541363360466137,-2.541363360466137
58,-7.221067522442089,-2.513743862227055,-2.513743862227055
59,-6.329569647590572,-1.6097038975788052,-1.6097038975788052
60,-6.314460229127359,-1.582036319611614,-1.582036319611614
61,-5.191937317607565,-0.44693918566799573,-0.44693918566799573
62,-5.565981257162343,-0.8083928470804128,-0.8083928470804128
63,-5.987437898528479,-1.2404110628232417,-1.2404110628232417
64,-6.281787790700878,-1.5221341758764164,-1.5221341758764164
65,-7.499539106166766,-2.72724263689816,-2.72724263689816
66,-8.381713013182598,-3.596757622633773,-3.596757622633773
67,-8.38156193324646,-3.568922364258633,-3.568922364258633
68,-9.33293899954926,-4.507565124881541,-4.507565124881541
69,-9.317806738716381,-4.479682142982791,-4.479682142982791
70,-11.14081715991771,-6.48569335368824,-6.48569335368824
71,-9.934838771513764,-5.267336497098026,-5.267336497098026
72,-9.919661111740783,-5.239765148267789,-5.239765148267789
73,-9.242904862739147,-4.54810721624054,-4.54810721624054
74,-8.529671591496216,-3.8223479312811817,-3.8223479312811817
75,-8.336313503364973,-3.616447753353208,-3.616447753353208
76,-7.781435150651884,-3.0490112411361388,-3.0490112411361388
77,-7.587850419340296,-2.8428522874007265,-2.8428522874007265
78,-7.358503952493395,-2.6240878125025664,-2.6240878125025664
79,-8.049686076354885,-3.302659240649646,-3.302659240649646
80,-8.905053899034943,-4.145400284210481,-4.145400284210481
81,-9.506282961941167,-4.733986492672562,-4.733986492672562
82,-10.403423163649977,-5.603501478408176,-5.603501478408176
83,-11.27015930989107,-6.457519740903244,-6.457519740903244
84,-11.339682855323662,-6.514308980655944,-6.514308980655944
85,-10.855176324155686,-6.200052517926216,-6.200052517926216
86,-10.840007543257538,-6.1725052688418005,-6.1725052688418005
87,-10.827221634832362,-6.144933920011564,-6.144933920011564
88,-9.449933847762646,-4.755136201264039,-4.755136201264039
89,-9.43484036323999,-4.727516703024956,-4.727516703024956
90,-8.70171334085887,-3.9818475908471043,-3.9818475908471043
91,-9.075773168353987,-4.343349258838241,-4.343349258838241
92,-8.278793704143816,-3.5569721687922518,-3.5569721687922518
93,-8.319177046289171,-3.5847609062983428,-3.5847609062983428
94,-9.57137710065832,-4.8243502649530825,-4.8243502649530825
95,-9.810222670778717,-5.050569055954256,-5.050569055954256
96,-10.426375494012635,-5.6391552644163365,-5.6391552644163365
97,-12.19044545626396,-7.390523771022159,-7.390523771022159
98,-12.175328081634845,-7.3626885126470185,-7.3626885126470185
99,-10.855176324155686,-6.200052517926216,-6.200052517926216
100,-10.842299139566595,-6.1725052688418005,-6.1725052688418005
101,-10.129081848112087,-5.446794133291288,-5.446794133291288
102,-9.449933847762646,-4.755136201264039,-4.755136201264039
103,-8.895071428990112,-4.187747768775078,-4.187747768775078
104,-9.090882586817198,-4.371016836805433,-4.371016836805433
105,-8.861543397533673,-4.152300368485992,-4.152300368485992
106,-8.334298026195817,-3.6124764908442537,-3.6124764908442537
107,-8.935699298848833,-4.201283158858004,-4.201283158858004
108,-9.57137710065832,-4.8243502649530825,-4.8243502649530825
109,-9.825104263790116,-5.050569055954256,-5.050569055954256
110,-11.308229014882844,-6.521008785286545,-6.521008785286545
111,-12.19044545626396,-7.390523771022159,-7.390523771022159
112,-10.842293331349865,-6.200052517926216,-6.200052517926216
113,-10.129050423774665,-5.474365482121525,-5.474365482121525
114,-10.113938999575737,-5.446794133291288,-5.446794133291288
115,-8.894987846712045,-4.215367267014161,-4.215367267014161
116,-9.26902908857161,-4.576917014733406,-4.576917014733406
117,-8.861696660631345,-4.179967946453184,-4.179967946453184
118,-8.902063380806467,-4.207804690537994,-4.207804690537994
119,-8.935803229585696,-4.228998743403915,-4.228998743403915
120,-8.92064925152749,-4.201283158858004,-4.201283158858004
121,-9.574781710011525,-4.8243502649530825,-4.8243502649530825
122,-10.69552259946418,-5.9324225768244645,-5.9324225768244645
123,-11.296793824750909,-6.521008785286545,-6.521008785286545
124,-10.786848733151928,-6.144607919728279,-6.144607919728279
125,-10.771745612297003,-6.1170606706438635,-6.1170606706438635
126,-10.216865253848198,-5.549720387563748,-5.549720387563748
127,-9.926852281192712,-5.247231701494828,-5.247231701494828
128,-9.697777879632637,-5.028563312903496,-5.028563312903496
129,-9.559896171205686,-4.878167457027524,-4.878167457027524
130,-10.161280821888468,-5.467022131619995,-5.467022131619995
131,-9.578498418108035,-4.871693931926255,-4.871693931926255
132,-9.581757659119038,-4.843978347380343,-4.843978347380343
133,-11.099330419404073,-6.34889897434563,-6.34889897434563
134,-11.338217787986519,-6.575117765346803,-6.575117765346803
135,-10.786848733151928,-6.144607919728279,-6.144607919728279
136,-10.231976678047126,-5.577291736393986,-5.577291736393986
137,-10.606034499806526,-5.938889633522076,-5.938889633522076
138,-9.712899067451648,-5.056182811142579,-5.056182811142579
139,-9.75328220168464,-5.084067634955498,-5.084067634955498
140,-10.176418423765348,-5.494689709587186,-5.494689709587186
141,-10.161280821888468,-5.467022131619995,-5.467022131619995
142,-9.596837559240292,-4.871693931926255,-4.871693931926255
143,-10.463611179989247,-5.725831868250552,-5.725831868250552
144,-11.099330419404073,-6.34889897434563,-6.34889897434563
145,-10.24707979890205,-5.604838985478401,-5.604838985478401
146,-10.621145924005454,-5.966460982352314,-5.966460982352314
147,-10.392074534044525,-5.747840743169827,-5.747840743169827
148,-9.76840338950365,-5.111687133194581,-5.111687133194581
149,-10.369804454244301,-5.70058988751516,-5.70058988751516
150,-10.176418423765348,-5.494689709587186,-5.494689709587186
151,-10.179546527652704,-5.467022131619995,-5.467022131619995
152,-10.4786910801105,-5.753547452796464,-5.753547452796464
153,-10.463611179989247,-5.725831868250552,-5.725831868250552
154,-10.110319593871608,-5.46807878044796,-5.46807878044796
155,-9.88124981896291,-5.249482641011295,-5.249482641011295
156,-9.921649405107758,-5.27741561423306,-5.27741561423306
157,-9.858996191074542,-5.202279934765473,-5.202279934765473
158,-9.843875003255532,-5.17466043652639,-5.17466043652639
159,-9.668681880355313,-4.968760258598417,-4.968760258598417
160,-10.535470597534143,-5.822946201501434,-5.822946201501434
161,-9.952761629121731,-5.227618001807693,-5.227618001807693
162,-9.914546135739677,-5.277029890095711,-5.277029890095711
163,-9.95491968434964,-5.304986963063297,-5.304986963063297
164,-10.55630262213489,-5.893937866792722,-5.893937866792722
165,-9.877092272965522,-5.202279934765473,-5.202279934765473
166,-9.883913310991598,-5.17466043652639,-5.17466043652639
167,-10.572452976995923,-5.850613779468626,-5.850613779468626
168,-10.557388182653856,-5.822946201501434,-5.822946201501434
169,-9.970050457791679,-5.332534212147713,-5.332534212147713
170,-10.571441936909302,-5.921509215622959,-5.921509215622959
171,-10.55630262213489,-5.893937866792722,-5.893937866792722
172,-9.898962949818971,-5.202279934765473,-5.202279934765473
173,-10.765766831861807,-6.056513957396599,-6.056513957396599
174,-10.572452976995923,-5.850613779468626,-5.850613779468626
175,-12.714355532006614,-8.076839286362649,-8.076839286362649
176,-12.699224758564576,-8.049292037278232,-8.049292037278232
177,-12.705850310439498,-8.021720688447996,-8.021720688447996
178,-12.908599292344453,-8.211916277290955,-8.211916277290955
179,-12.89354965351708,-8.184296779051873,-8.184296779051873
180,-12.714355532006614,-8.076839286362649,-8.076839286362649
