label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28
tour_id,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638,20976638
alt_dest,5,12,36,73,82,85,106,166,200,284,858,860,875,889,933,958,960,961,969,971,973,974,986,1005,1014,1097,1146,1453
prob,0.022793184965848923,0.005690291523933411,0.002396913943812251,0.0017812205478549004,0.0022133763413876295,0.0006487169885076582,0.00950758345425129,0.0014014100888743997,0.003707486903294921,0.0008119423873722553,0.0027421896811574697,0.0017961276462301612,0.009075415320694447,0.0016738116974011064,0.0007487297407351434,0.00031023132032714784,0.007650476414710283,0.01090645045042038,0.014299098402261734,0.020447973161935806,0.026883749291300774,0.004830122459679842,0.0006546422373503447,0.01129299495369196,0.0136222830042243,0.0003408868797123432,0.007737146690487862,0.0007490788120776415
pick_count,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
person_id,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624,511624
hhsize,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
density_index,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831,1.5849827236327831
age,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
age_16_p,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
age_16_to_19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
auto_ownership,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
num_workers,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
value_of_time,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384,4.8480640169119384
free_parking_at_work,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TAZ,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961,961
in_period,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD
out_period,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD
duration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
number_of_participants,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
is_joint,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
_parent_tour_mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
