TAZ,size_term,TAZ,tour_type,TAZ_chooser,person_id
1,255.642,1,eatout,961,511624
2,331.602,2,eatout,961,511624
3,71.97,3,eatout,961,511624
4,435.52599999999995,4,eatout,961,511624
5,5825.292,5,eatout,961,511624
6,462.90000000000003,6,eatout,961,511624
7,329.554,7,eatout,961,511624
8,600.088,8,eatout,961,511624
9,1175.864,9,eatout,961,511624
10,527.95,10,eatout,961,511624
11,2899.044,11,eatout,961,511624
12,1407.454,12,eatout,961,511624
13,769.024,13,eatout,961,511624
14,126.576,14,eatout,961,511624
15,134.376,15,eatout,961,511624
16,335.602,16,eatout,961,511624
17,325.202,17,eatout,961,511624
18,497.75800000000004,18,eatout,961,511624
19,1377.844,19,eatout,961,511624
20,496.356,20,eatout,961,511624
21,717.686,21,eatout,961,511624
22,438.922,22,eatout,961,511624
23,184.44400000000002,23,eatout,961,511624
24,607.374,24,eatout,961,511624
25,298.466,25,eatout,961,511624
26,167.88,26,eatout,961,511624
27,295.674,27,eatout,961,511624
28,122.55199999999999,28,eatout,961,511624
29,38.966,29,eatout,961,511624
30,157.948,30,eatout,961,511624
31,230.538,31,eatout,961,511624
32,768.204,32,eatout,961,511624
33,173.072,33,eatout,961,511624
34,179.808,34,eatout,961,511624
35,26.966,35,eatout,961,511624
36,645.188,36,eatout,961,511624
37,168.68,37,eatout,961,511624
38,120.706,38,eatout,961,511624
39,81.346,39,eatout,961,511624
40,93.1,40,eatout,961,511624
41,1989.328,41,eatout,961,511624
42,101.78200000000001,42,eatout,961,511624
43,920.0740000000001,43,eatout,961,511624
44,275.926,44,eatout,961,511624
45,419.52200000000005,45,eatout,961,511624
46,181.262,46,eatout,961,511624
47,1178.3200000000002,47,eatout,961,511624
48,126.148,48,eatout,961,511624
49,82.468,49,eatout,961,511624
50,390.89,50,eatout,961,511624
51,254.846,51,eatout,961,511624
52,209.574,52,eatout,961,511624
53,462.28000000000003,53,eatout,961,511624
54,158.362,54,eatout,961,511624
55,47.004000000000005,55,eatout,961,511624
56,560.892,56,eatout,961,511624
57,16.996000000000002,57,eatout,961,511624
58,70.674,58,eatout,961,511624
59,101.5,59,eatout,961,511624
60,8.870000000000001,60,eatout,961,511624
61,31.708000000000002,61,eatout,961,511624
62,148.55,62,eatout,961,511624
63,54.386,63,eatout,961,511624
64,68.032,64,eatout,961,511624
65,270.752,65,eatout,961,511624
66,311.198,66,eatout,961,511624
67,264.392,67,eatout,961,511624
68,44.519999999999996,68,eatout,961,511624
69,1881.758,69,eatout,961,511624
70,690.3320000000001,70,eatout,961,511624
71,867.894,71,eatout,961,511624
72,144.07,72,eatout,961,511624
73,539.134,73,eatout,961,511624
74,623.994,74,eatout,961,511624
