TAZ,size_term,TAZ,tour_type,TAZ_chooser,person_id
1,97.65300000000002,1,escort,961,511625
2,132.00300000000001,2,escort,961,511625
3,28.569000000000003,3,escort,961,511625
4,179.03700000000003,4,escort,961,511625
5,1913.1090000000002,5,escort,961,511625
6,299.703,6,escort,961,511625
7,269.88,7,escort,961,511625
8,469.185,8,escort,961,511625
9,1031.9540000000002,9,escort,961,511625
10,424.43100000000004,10,escort,961,511625
11,1114.422,11,escort,961,511625
12,675.8100000000001,12,escort,961,511625
13,292.341,13,escort,961,511625
14,59.519999999999996,14,escort,961,511625
15,69.138,15,escort,961,511625
16,281.10300000000007,16,escort,961,511625
17,331.227,17,escort,961,511625
18,567.885,18,escort,961,511625
19,445.641,19,escort,961,511625
20,418.254,20,escort,961,511625
21,322.971,21,escort,961,511625
22,204.246,22,escort,961,511625
23,137.27700000000002,23,escort,961,511625
24,277.964,24,escort,961,511625
25,299.66700000000003,25,escort,961,511625
26,150.441,26,escort,961,511625
27,398.833,27,escort,961,511625
28,149.904,28,escort,961,511625
29,95.676,29,escort,961,511625
30,322.92,30,escort,961,511625
31,186.144,31,escort,961,511625
32,517.104,32,escort,961,511625
33,300.27700000000004,33,escort,961,511625
34,161.898,34,escort,961,511625
35,217.728,35,escort,961,511625
36,645.1080000000001,36,escort,961,511625
37,273.56000000000006,37,escort,961,511625
38,230.35000000000002,38,escort,961,511625
39,204.282,39,escort,961,511625
40,462.834,40,escort,961,511625
41,814.739,41,escort,961,511625
42,236.404,42,escort,961,511625
43,484.85400000000004,43,escort,961,511625
44,374.303,44,escort,961,511625
45,331.28700000000003,45,escort,961,511625
46,195.258,46,escort,961,511625
47,678.4440000000001,47,escort,961,511625
48,211.911,48,escort,961,511625
49,224.27100000000002,49,escort,961,511625
50,362.808,50,escort,961,511625
51,394.485,51,escort,961,511625
52,293.688,52,escort,961,511625
53,256.701,53,escort,961,511625
54,441.29400000000004,54,escort,961,511625
55,167.304,55,escort,961,511625
56,313.521,56,escort,961,511625
57,284.57700000000006,57,escort,961,511625
58,504.21500000000003,58,escort,961,511625
59,918.7850000000001,59,escort,961,511625
60,244.50400000000002,60,escort,961,511625
61,214.314,61,escort,961,511625
62,632.98,62,escort,961,511625
63,435.913,63,escort,961,511625
64,406.05199999999996,64,escort,961,511625
65,501.02500000000003,65,escort,961,511625
66,247.71,66,escort,961,511625
67,293.091,67,escort,961,511625
68,166.95000000000002,68,escort,961,511625
69,1289.121,69,escort,961,511625
70,645.2660000000001,70,escort,961,511625
71,711.4860000000001,71,escort,961,511625
72,153.352,72,escort,961,511625
73,305.38800000000003,73,escort,961,511625
74,349.15500000000003,74,escort,961,511625
75,282.471,75,escort,961,511625
76,160.40900000000002,76,escort,961,511625
77,559.442,77,escort,961,511625
78,226.824,78,escort,961,511625
79,824.2980000000002,79,escort,961,511625
80,144.633,80,escort,961,511625
81,376.65700000000004,81,escort,961,511625
82,329.72100000000006,82,escort,961,511625
83,196.34400000000002,83,escort,961,511625
84,105.57300000000001,84,escort,961,511625
85,241.073,85,escort,961,511625
86,590.36,86,escort,961,511625
87,454.07900000000006,87,escort,961,511625
88,403.36800000000005,88,escort,961,511625
89,394.994,89,escort,961,511625
90,1488.2500000000002,90,escort,961,511625
91,545.994,91,escort,961,511625
92,222.82,92,escort,961,511625
93,466.4170000000001,93,escort,961,511625
94,169.20700000000002,94,escort,961,511625
95,212.15800000000002,95,escort,961,511625
96,115.81500000000001,96,escort,961,511625
97,306.55400000000003,97,escort,961,511625
98,332.574,98,escort,961,511625
99,204.375,99,escort,961,511625
100,551.831,100,escort,961,511625
101,454.47900000000004,101,escort,961,511625
102,252.03000000000003,102,escort,961,511625
103,349.55600000000004,103,escort,961,511625
104,307.072,104,escort,961,511625
105,372.111,105,escort,961,511625
106,1760.957,106,escort,961,511625
107,686.313,107,escort,961,511625
108,125.25,108,escort,961,511625
109,550.749,109,escort,961,511625
110,58.779,110,escort,961,511625
111,97.47300000000001,111,escort,961,511625
112,183.61800000000002,112,escort,961,511625
113,388.62800000000004,113,escort,961,511625
114,207.642,114,escort,961,511625
115,117.32400000000001,115,escort,961,511625
116,449.39700000000005,116,escort,961,511625
117,495.8230000000001,117,escort,961,511625
118,286.13100000000003,118,escort,961,511625
119,171.2,119,escort,961,511625
120,410.31899999999996,120,escort,961,511625
121,315.09000000000003,121,escort,961,511625
122,383.0150000000001,122,escort,961,511625
123,351.663,123,escort,961,511625
124,442.69100000000003,124,escort,961,511625
125,306.726,125,escort,961,511625
126,377.271,126,escort,961,511625
127,343.916,127,escort,961,511625
128,353.98199999999997,128,escort,961,511625
129,178.961,129,escort,961,511625
130,486.74300000000005,130,escort,961,511625
131,489.35400000000004,131,escort,961,511625
132,298.77000000000004,132,escort,961,511625
133,1222.4870000000003,133,escort,961,511625
134,1140.468,134,escort,961,511625
135,664.677,135,escort,961,511625
136,353.04900000000004,136,escort,961,511625
137,534.03,137,escort,961,511625
138,1364.074,138,escort,961,511625
139,532.6500000000001,139,escort,961,511625
140,379.732,140,escort,961,511625
141,248.76,141,escort,961,511625
142,212.28900000000002,142,escort,961,511625
143,108.92099999999999,143,escort,961,511625
144,483.148,144,escort,961,511625
145,655.753,145,escort,961,511625
146,5.949,146,escort,961,511625
147,481.095,147,escort,961,511625
148,371.116,148,escort,961,511625
149,321.27900000000005,149,escort,961,511625
150,485.15700000000004,150,escort,961,511625
151,173.05800000000002,151,escort,961,511625
152,613.147,152,escort,961,511625
153,270.603,153,escort,961,511625
154,311.40000000000003,154,escort,961,511625
155,335.37,155,escort,961,511625
156,238.54500000000002,156,escort,961,511625
157,469.683,157,escort,961,511625
158,261.362,158,escort,961,511625
159,415.396,159,escort,961,511625
160,424.118,160,escort,961,511625
161,362.07000000000005,161,escort,961,511625
162,298.422,162,escort,961,511625
163,491.09100000000007,163,escort,961,511625
164,636.0840000000001,164,escort,961,511625
165,922.062,165,escort,961,511625
166,971.715,166,escort,961,511625
167,631.643,167,escort,961,511625
168,1068.411,168,escort,961,511625
169,1160.298,169,escort,961,511625
170,614.3430000000001,170,escort,961,511625
171,230.55,171,escort,961,511625
172,672.812,172,escort,961,511625
173,273.387,173,escort,961,511625
174,444.281,174,escort,961,511625
175,118.503,175,escort,961,511625
176,331.105,176,escort,961,511625
177,789.6690000000001,177,escort,961,511625
178,543.422,178,escort,961,511625
179,794.2139999999999,179,escort,961,511625
180,306.576,180,escort,961,511625
181,394.07700000000006,181,escort,961,511625
182,453.837,182,escort,961,511625
183,920.6950000000002,183,escort,961,511625
184,842.282,184,escort,961,511625
185,1385.691,185,escort,961,511625
186,773.966,186,escort,961,511625
187,476.274,187,escort,961,511625
188,1320.709,188,escort,961,511625
189,412.269,189,escort,961,511625
190,126.786,190,escort,961,511625
191,377.6,191,escort,961,511625
192,829.417,192,escort,961,511625
193,688.6780000000001,193,escort,961,511625
194,1463.4550000000002,194,escort,961,511625
195,506.08000000000004,195,escort,961,511625
196,631.724,196,escort,961,511625
197,379.863,197,escort,961,511625
198,596.9110000000001,198,escort,961,511625
199,498.141,199,escort,961,511625
200,1172.643,200,escort,961,511625
201,824.686,201,escort,961,511625
202,1048.98,202,escort,961,511625
203,697.783,203,escort,961,511625
204,636.388,204,escort,961,511625
205,773.1930000000001,205,escort,961,511625
206,413.26800000000003,206,escort,961,511625
207,517.037,207,escort,961,511625
208,633.4730000000001,208,escort,961,511625
209,949.5600000000002,209,escort,961,511625
210,435.942,210,escort,961,511625
211,992.076,211,escort,961,511625
212,1328.363,212,escort,961,511625
213,847.6710000000002,213,escort,961,511625
214,857.4159999999999,214,escort,961,511625
215,599.655,215,escort,961,511625
216,1124.827,216,escort,961,511625
217,396.10800000000006,217,escort,961,511625
218,529.58,218,escort,961,511625
219,581.892,219,escort,961,511625
220,607.6980000000001,220,escort,961,511625
221,325.725,221,escort,961,511625
222,398.121,222,escort,961,511625
223,650.341,223,escort,961,511625
224,480.05100000000004,224,escort,961,511625
225,425.939,225,escort,961,511625
226,769.18,226,escort,961,511625
227,582.988,227,escort,961,511625
228,68.71600000000001,228,escort,961,511625
229,652.037,229,escort,961,511625
230,990.2560000000001,230,escort,961,511625
231,517.066,231,escort,961,511625
232,506.541,232,escort,961,511625
233,622.63,233,escort,961,511625
234,660.0120000000001,234,escort,961,511625
235,411.009,235,escort,961,511625
236,814.166,236,escort,961,511625
237,944.811,237,escort,961,511625
238,572.889,238,escort,961,511625
239,182.14200000000002,239,escort,961,511625
240,717.019,240,escort,961,511625
241,384.078,241,escort,961,511625
242,279.759,242,escort,961,511625
243,247.038,243,escort,961,511625
244,769.094,244,escort,961,511625
245,561.999,245,escort,961,511625
246,1604.4910000000002,246,escort,961,511625
247,514.98,247,escort,961,511625
248,607.7510000000001,248,escort,961,511625
249,977.387,249,escort,961,511625
250,736.673,250,escort,961,511625
251,530.406,251,escort,961,511625
252,974.6360000000001,252,escort,961,511625
253,356.61400000000003,253,escort,961,511625
254,952.4010000000001,254,escort,961,511625
255,844.762,255,escort,961,511625
256,345.381,256,escort,961,511625
257,730.053,257,escort,961,511625
258,477.933,258,escort,961,511625
259,663.817,259,escort,961,511625
260,1031.294,260,escort,961,511625
261,406.148,261,escort,961,511625
262,484.71700000000004,262,escort,961,511625
263,261.48,263,escort,961,511625
264,478.744,264,escort,961,511625
265,379.89300000000003,265,escort,961,511625
266,1156.923,266,escort,961,511625
267,411.39,267,escort,961,511625
268,470.56500000000005,268,escort,961,511625
269,542.058,269,escort,961,511625
270,235.506,270,escort,961,511625
271,265.80300000000005,271,escort,961,511625
272,389.70300000000003,272,escort,961,511625
273,274.497,273,escort,961,511625
274,428.607,274,escort,961,511625
275,510.692,275,escort,961,511625
276,203.955,276,escort,961,511625
277,550.357,277,escort,961,511625
278,626.587,278,escort,961,511625
279,505.06600000000003,279,escort,961,511625
280,602.1890000000001,280,escort,961,511625
281,509.95300000000003,281,escort,961,511625
282,317.27000000000004,282,escort,961,511625
283,556.018,283,escort,961,511625
284,867.873,284,escort,961,511625
285,500.23300000000006,285,escort,961,511625
286,768.611,286,escort,961,511625
287,265.512,287,escort,961,511625
288,895.472,288,escort,961,511625
289,677.5100000000001,289,escort,961,511625
290,217.548,290,escort,961,511625
291,333.168,291,escort,961,511625
292,366.68300000000005,292,escort,961,511625
293,706.405,293,escort,961,511625
294,629.274,294,escort,961,511625
295,649.6320000000001,295,escort,961,511625
296,1178.059,296,escort,961,511625
297,454.289,297,escort,961,511625
298,1229.1660000000002,298,escort,961,511625
299,480.733,299,escort,961,511625
300,356.649,300,escort,961,511625
301,971.859,301,escort,961,511625
302,603.231,302,escort,961,511625
303,592.2750000000001,303,escort,961,511625
304,577.97,304,escort,961,511625
305,217.437,305,escort,961,511625
306,629.369,306,escort,961,511625
307,760.7950000000001,307,escort,961,511625
308,611.265,308,escort,961,511625
309,950.7800000000002,309,escort,961,511625
310,691.6080000000001,310,escort,961,511625
311,660.728,311,escort,961,511625
312,925.8140000000001,312,escort,961,511625
313,560.937,313,escort,961,511625
314,931.566,314,escort,961,511625
315,1364.3070000000002,315,escort,961,511625
316,390.418,316,escort,961,511625
317,938.191,317,escort,961,511625
318,391.2460000000001,318,escort,961,511625
319,347.99,319,escort,961,511625
320,513.0870000000001,320,escort,961,511625
321,501.307,321,escort,961,511625
322,766.763,322,escort,961,511625
323,602.157,323,escort,961,511625
324,514.581,324,escort,961,511625
325,1017.9960000000001,325,escort,961,511625
326,426.048,326,escort,961,511625
327,793.95,327,escort,961,511625
328,421.297,328,escort,961,511625
329,929.2610000000002,329,escort,961,511625
330,796.1370000000001,330,escort,961,511625
331,920.7880000000001,331,escort,961,511625
332,887.268,332,escort,961,511625
333,1658.4240000000002,333,escort,961,511625
334,957.6930000000001,334,escort,961,511625
335,859.2030000000001,335,escort,961,511625
336,641.74,336,escort,961,511625
337,286.98300000000006,337,escort,961,511625
338,266.805,338,escort,961,511625
339,930.2070000000001,339,escort,961,511625
340,416.922,340,escort,961,511625
341,691.062,341,escort,961,511625
342,658.321,342,escort,961,511625
343,383.40700000000004,343,escort,961,511625
344,578.493,344,escort,961,511625
345,495.3,345,escort,961,511625
346,499.70000000000005,346,escort,961,511625
347,908.4630000000001,347,escort,961,511625
348,8.814,348,escort,961,511625
349,1996.258,349,escort,961,511625
350,289.346,350,escort,961,511625
351,728.634,351,escort,961,511625
352,132.83200000000002,352,escort,961,511625
353,185.505,353,escort,961,511625
354,107.559,354,escort,961,511625
355,3179.2920000000004,355,escort,961,511625
356,1043.413,356,escort,961,511625
357,638.287,357,escort,961,511625
358,902.5029999999999,358,escort,961,511625
359,407.04,359,escort,961,511625
360,589.403,360,escort,961,511625
361,877.899,361,escort,961,511625
362,683.644,362,escort,961,511625
363,654.528,363,escort,961,511625
364,295.82500000000005,364,escort,961,511625
365,318.525,365,escort,961,511625
366,603.51,366,escort,961,511625
367,925.3330000000001,367,escort,961,511625
368,527.1070000000001,368,escort,961,511625
369,804.2760000000001,369,escort,961,511625
370,885.545,370,escort,961,511625
371,772.8430000000001,371,escort,961,511625
372,1026.276,372,escort,961,511625
373,410.18600000000004,373,escort,961,511625
374,350.76,374,escort,961,511625
375,199.776,375,escort,961,511625
376,565.634,376,escort,961,511625
377,394.84200000000004,377,escort,961,511625
378,276.576,378,escort,961,511625
379,569.518,379,escort,961,511625
380,297.97499999999997,380,escort,961,511625
381,843.273,381,escort,961,511625
382,509.8660000000001,382,escort,961,511625
383,982.2150000000001,383,escort,961,511625
384,640.27,384,escort,961,511625
385,302.31600000000003,385,escort,961,511625
386,360.54900000000004,386,escort,961,511625
387,405.318,387,escort,961,511625
388,1362.807,388,escort,961,511625
389,747.803,389,escort,961,511625
390,305.947,390,escort,961,511625
391,650.532,391,escort,961,511625
392,322.077,392,escort,961,511625
393,446.56100000000004,393,escort,961,511625
394,436.11600000000004,394,escort,961,511625
395,293.63100000000003,395,escort,961,511625
396,89.49600000000001,396,escort,961,511625
397,251.382,397,escort,961,511625
398,225.723,398,escort,961,511625
399,37.71,399,escort,961,511625
400,312.372,400,escort,961,511625
401,1636.296,401,escort,961,511625
402,140.397,402,escort,961,511625
403,25.164,403,escort,961,511625
404,360.27000000000004,404,escort,961,511625
405,218.262,405,escort,961,511625
406,96.99000000000001,406,escort,961,511625
407,456.26700000000005,407,escort,961,511625
408,186.82800000000003,408,escort,961,511625
409,77.025,409,escort,961,511625
410,192.804,410,escort,961,511625
411,1.5720000000000003,411,escort,961,511625
412,935.22,412,escort,961,511625
413,1086.8290000000002,413,escort,961,511625
414,563.079,414,escort,961,511625
415,662.6580000000001,415,escort,961,511625
416,844.565,416,escort,961,511625
417,20.583,417,escort,961,511625
418,123.50399999999999,418,escort,961,511625
419,394.977,419,escort,961,511625
420,344.07700000000006,420,escort,961,511625
421,397.386,421,escort,961,511625
422,362.211,422,escort,961,511625
423,573.745,423,escort,961,511625
424,967.272,424,escort,961,511625
425,531.898,425,escort,961,511625
426,215.925,426,escort,961,511625
